,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
19,6,4,11,11,3,4,5,13,2,4,2,5,10,5,6,10,3,3,1,5,4,1,4,3,7,6,6,5,3,6,2,6,7,8,5,9,8,2,7,2,0
20,15,3,7,8,6,4,3,12,8,0,1,4,21,7,9,5,3,7,6,9,4,2,8,5,4,9,5,6,2,6,2,7,6,6,3,1,6,12,10,6,0
21,5,0,7,9,6,2,1,1,2,0,5,5,19,4,4,7,4,3,2,4,3,10,6,5,2,2,13,3,5,5,2,1,9,1,6,3,9,4,10,0,0
22,2,0,3,3,2,1,0,4,0,0,2,0,4,2,2,1,2,2,1,2,2,4,0,0,2,0,38,0,2,1,0,2,2,5,1,0,4,3,3,0,0
23,5,1,3,4,6,2,0,7,0,2,1,1,16,7,0,2,1,3,1,3,5,0,2,2,2,9,12,1,2,2,1,2,6,1,2,4,7,7,4,1,0
24,7,1,5,6,2,1,0,2,4,0,1,0,1,2,3,1,1,2,1,7,5,2,2,0,0,4,55,0,2,1,0,7,0,6,6,1,4,3,7,5,0
25,6,0,5,7,4,1,3,12,6,0,7,13,25,4,4,4,2,5,4,3,16,1,1,9,2,10,3,0,6,1,0,3,9,2,4,9,3,7,5,2,0
26,1,3,6,6,1,4,1,7,3,0,6,6,20,5,3,3,0,6,1,4,10,2,6,3,1,4,2,1,9,3,2,0,2,1,2,12,8,11,2,2,0
27,4,1,3,3,3,5,0,21,7,1,0,3,11,4,1,6,1,1,3,4,12,7,4,5,2,3,5,1,2,2,1,5,3,4,4,16,5,9,17,6,0
28,4,2,4,2,3,2,1,18,2,0,0,0,18,7,2,5,3,2,1,6,14,4,3,2,2,9,11,0,1,1,3,2,3,4,11,5,8,7,10,1,0
29,3,14,2,3,6,5,1,9,1,7,6,6,16,3,1,4,1,2,4,6,6,2,7,4,7,5,2,1,4,8,1,4,6,8,5,13,10,2,4,4,0
30,0,3,14,12,8,3,4,3,31,8,16,12,14,14,18,5,18,12,2,16,3,28,15,0,3,2,38,16,10,3,9,11,1,5,30,1,6,7,17,4,0
31,4,1,5,8,4,2,2,6,3,4,5,11,16,3,2,4,1,7,6,5,12,2,8,1,1,9,0,4,5,1,1,4,3,2,1,8,2,3,5,0,0
32,2,5,7,6,8,1,7,3,2,3,2,1,7,6,11,3,4,5,1,3,15,4,8,7,3,4,4,2,3,3,7,4,6,13,12,10,4,1,15,5,0
33,3,1,6,7,1,2,1,9,4,7,3,2,15,1,4,2,2,2,1,1,4,3,3,0,2,4,6,1,3,3,0,2,1,0,2,3,9,4,5,2,0
34,14,8,5,5,3,6,3,7,5,14,4,2,10,2,3,8,2,4,3,2,7,1,12,9,5,8,6,2,2,0,6,4,8,6,0,9,8,3,7,2,0
35,3,1,5,12,3,2,1,4,4,2,5,5,11,7,5,2,3,2,3,6,8,11,12,2,4,2,11,1,7,2,1,1,2,8,8,3,2,8,7,8,0
36,12,2,12,8,4,3,3,7,1,0,1,2,15,2,10,5,7,4,1,3,15,4,5,4,2,2,2,4,3,4,2,2,5,2,13,1,11,5,21,3,0
37,0,2,0,0,1,1,2,1,1,0,3,3,5,1,1,0,1,1,3,1,4,0,5,1,1,5,1,0,1,1,5,2,5,2,1,0,3,3,0,2,0
38,6,12,7,6,8,2,0,7,1,4,1,2,17,8,10,3,3,5,4,3,12,2,4,6,5,1,24,5,3,1,3,2,6,6,4,9,10,2,5,5,0
39,10,1,9,5,6,8,4,9,5,7,4,5,11,6,7,3,7,6,0,9,7,8,3,11,1,9,15,0,7,3,2,4,8,6,6,11,6,12,4,5,0
40,3,10,13,17,3,2,0,1,7,3,11,11,11,6,6,2,3,3,3,4,7,15,1,6,3,5,1,6,6,3,3,3,2,2,9,2,2,1,11,7,0
41,10,0,6,5,3,6,4,10,3,2,2,2,14,2,7,1,6,3,3,4,6,1,9,6,7,10,19,3,3,3,4,3,9,9,0,15,10,7,12,7,0
42,1,0,3,3,2,0,0,6,3,1,0,0,15,5,2,3,5,3,2,5,8,4,3,1,2,1,14,0,1,0,3,0,2,3,3,2,6,8,8,3,0
43,7,6,12,11,5,5,6,11,7,0,3,4,12,7,14,4,3,4,3,4,5,15,6,0,7,3,6,6,3,4,4,6,6,8,8,8,5,4,5,3,0
44,3,7,12,8,3,11,8,19,5,4,6,7,15,6,7,3,5,6,5,0,13,11,2,7,6,6,5,11,9,6,7,5,5,9,6,7,4,5,6,5,0
45,6,3,7,6,2,3,2,7,2,1,5,2,15,3,6,5,1,1,4,1,7,4,1,15,3,4,28,2,5,2,2,4,14,8,8,14,5,9,7,7,0
46,7,3,6,5,2,5,0,13,2,3,4,6,12,1,5,2,2,5,5,5,10,4,5,10,2,7,7,0,1,11,0,5,5,2,4,10,3,7,6,2,0
47,4,10,6,9,2,1,2,7,2,6,6,5,11,3,3,4,2,6,0,1,8,5,2,2,2,10,5,1,3,3,1,4,4,3,5,6,8,6,5,1,0
48,1,2,13,16,1,4,2,0,12,5,20,9,10,14,13,3,8,7,5,12,1,22,9,0,2,7,8,2,18,1,5,8,0,6,24,0,4,8,14,3,0
49,2,8,5,4,4,2,0,7,2,6,3,2,6,3,2,5,5,1,7,1,10,8,10,1,3,3,2,7,2,1,4,5,6,2,6,4,7,4,9,7,0
50,8,3,6,5,0,5,0,10,7,5,10,9,8,4,8,3,3,1,10,8,2,2,4,9,0,4,24,7,3,4,7,1,5,4,6,6,4,10,8,3,0
51,10,4,5,7,3,0,0,14,1,1,2,1,11,5,4,5,2,6,2,5,7,7,7,3,7,8,15,6,4,8,3,2,6,8,5,12,8,3,13,7,0
52,4,6,7,11,3,5,8,10,2,1,3,3,16,3,4,4,1,11,2,2,11,5,7,4,6,5,3,1,2,4,4,5,9,4,3,16,12,4,8,6,0
53,8,6,3,4,11,6,0,21,7,2,5,8,11,5,4,10,0,6,1,10,8,4,3,9,4,9,26,4,8,4,5,7,6,6,3,8,8,7,7,7,0
54,2,0,0,2,5,0,5,12,0,0,3,2,13,3,1,1,1,2,3,3,15,2,6,7,3,9,1,4,2,3,0,3,9,3,0,16,7,0,1,3,0
55,5,2,5,0,8,7,1,5,3,3,1,1,19,0,3,6,7,4,7,3,6,7,3,3,2,6,8,3,6,7,7,11,1,8,7,5,7,5,15,4,0
56,6,3,3,4,5,1,5,13,5,3,3,0,22,6,3,0,3,1,6,3,6,1,10,12,1,1,13,3,4,5,4,2,13,4,2,7,8,5,6,2,0
57,2,2,9,7,3,3,2,15,2,0,3,4,20,4,9,4,2,10,3,6,8,2,11,6,2,8,12,4,3,3,1,2,3,3,6,8,7,7,2,8,0
58,5,4,9,10,16,6,2,8,6,4,4,6,12,7,1,4,6,6,4,4,3,2,7,4,3,3,1,3,3,6,1,4,2,5,3,4,9,8,5,7,0
59,0,1,3,5,5,4,1,9,7,4,5,3,2,2,3,6,1,7,1,5,7,9,3,0,6,0,11,1,6,4,1,3,1,4,3,0,1,1,1,6,0
60,0,4,2,9,5,3,0,0,2,1,3,2,2,3,2,1,0,4,1,1,1,1,0,1,3,0,0,6,1,2,0,1,0,4,0,3,2,0,0,3,1
61,2,2,3,3,4,2,1,0,1,0,4,2,3,5,4,1,0,4,0,2,2,0,3,1,4,0,1,4,0,1,1,1,1,4,0,2,0,0,2,1,1
62,0,4,8,10,3,3,2,2,1,0,5,2,2,3,8,0,1,5,0,0,1,0,1,1,7,1,0,4,2,1,0,2,3,5,2,5,0,2,0,3,1
63,2,2,5,6,2,1,0,0,2,0,4,3,3,3,4,3,1,3,1,3,0,0,2,1,8,2,0,4,2,1,0,5,0,6,0,3,0,2,0,1,1
64,1,3,4,6,3,2,1,0,3,0,4,1,0,4,4,1,0,2,0,1,2,0,0,2,8,4,0,5,1,1,1,1,1,1,0,1,0,1,1,1,1
65,0,4,2,6,4,0,5,3,0,1,4,3,0,2,8,0,1,1,1,2,1,1,0,2,6,2,0,3,1,1,0,2,2,7,1,0,0,1,1,5,1
66,0,2,4,3,3,0,0,0,1,0,2,1,0,1,4,0,0,2,3,0,0,0,3,1,9,2,0,2,3,0,0,0,4,3,0,2,0,1,1,2,1
67,2,3,4,4,4,3,2,1,3,0,3,1,1,3,5,1,0,1,0,1,0,1,0,0,6,0,0,5,3,2,0,1,0,5,0,1,0,3,1,3,1
68,2,3,5,4,2,5,0,2,1,0,3,0,2,6,3,1,0,4,0,1,3,0,3,0,3,1,1,7,1,4,1,2,1,2,1,3,2,2,0,1,1
69,0,1,4,4,4,1,1,5,2,0,5,1,3,2,5,1,1,5,3,1,1,0,1,3,4,2,0,3,2,1,0,2,1,3,0,1,0,3,2,6,1
70,2,0,3,5,5,1,2,1,2,1,2,1,2,3,2,1,0,3,0,2,2,0,3,4,8,1,1,4,2,0,1,2,2,10,1,0,0,0,0,5,1
71,0,3,1,1,2,1,1,3,1,0,2,0,2,1,3,2,1,2,0,2,4,0,0,1,5,2,1,2,1,1,0,2,0,4,1,0,4,3,0,3,1
72,0,7,0,7,7,0,1,0,1,1,1,0,5,2,3,3,1,3,3,1,0,0,1,2,7,0,0,4,2,2,0,4,0,4,0,0,1,1,1,7,1
73,0,0,6,2,1,1,0,1,0,0,3,1,3,1,3,0,1,2,4,1,1,0,4,1,3,1,0,2,2,0,0,2,0,5,0,0,0,2,0,1,1
74,0,3,5,1,5,1,2,0,2,3,1,1,0,1,3,1,0,3,3,0,1,0,3,4,12,0,0,4,0,0,0,0,1,3,0,1,0,1,0,7,1
75,3,4,2,4,5,1,2,2,0,2,3,1,0,2,1,4,0,3,1,0,4,0,3,2,8,0,0,3,2,5,1,0,2,5,0,0,0,0,0,2,1
76,1,3,3,5,2,2,1,0,2,1,2,0,3,1,4,2,1,0,0,0,3,0,1,2,9,0,1,1,2,1,0,1,2,3,2,0,0,0,0,5,1
77,0,0,1,1,3,3,1,1,3,2,2,2,3,0,3,1,0,0,1,0,1,1,0,4,10,0,0,1,4,1,1,4,2,2,0,3,1,0,0,3,1
78,2,4,4,3,9,2,0,4,2,0,1,3,0,2,3,2,0,5,3,0,0,0,3,2,4,3,0,1,2,3,0,0,2,1,1,1,0,0,0,11,1
79,1,2,2,6,4,3,1,0,3,0,2,1,0,1,6,3,1,2,4,1,4,0,1,9,7,2,0,2,2,1,0,1,2,6,0,3,0,1,3,6,1
80,0,0,8,7,3,2,1,0,0,0,4,1,1,1,4,3,0,4,1,1,0,1,0,2,5,1,0,1,1,0,0,1,1,0,0,1,0,2,0,5,1
81,1,1,4,3,3,1,2,1,3,0,3,1,0,1,3,1,1,0,3,1,3,1,1,1,7,1,1,0,1,0,0,1,1,4,2,2,1,0,0,5,1
82,0,0,2,6,5,3,2,0,3,1,3,0,0,1,3,3,2,1,1,3,1,0,0,2,6,1,1,0,3,1,0,2,1,4,1,2,0,2,0,4,1
83,0,3,2,3,5,2,0,0,2,0,3,2,1,2,3,0,2,3,0,0,2,0,1,1,3,3,1,3,3,4,1,3,0,7,1,1,1,0,0,7,1
84,1,3,2,5,4,2,4,3,1,3,2,2,2,2,4,2,2,1,1,2,2,7,0,4,5,5,0,4,1,2,0,4,1,7,4,2,0,2,3,1,1
85,8,7,4,2,8,8,7,14,1,8,7,8,7,2,6,6,2,4,4,3,5,4,2,11,9,6,4,10,4,9,3,7,10,14,3,10,1,3,1,4,1
86,0,4,2,7,4,2,2,3,3,1,3,0,2,7,4,4,4,5,4,0,6,7,5,2,3,2,0,2,4,2,6,1,6,6,8,2,2,1,9,4,1
87,1,1,8,5,7,1,1,7,3,2,5,2,3,0,4,5,8,5,1,4,1,7,1,2,3,2,4,5,3,1,4,3,1,2,8,4,2,1,5,4,1
88,1,2,5,6,2,0,5,1,0,5,4,1,4,1,1,7,0,2,2,2,2,2,1,3,1,1,0,4,3,1,0,3,2,5,7,3,2,2,5,2,1
89,4,8,8,16,6,5,6,6,1,0,5,2,7,4,2,3,5,3,0,0,4,8,5,4,10,10,1,7,1,2,3,2,3,5,3,4,1,2,4,5,1
90,4,8,8,10,2,1,1,4,0,7,5,1,2,0,3,5,0,2,2,3,0,2,1,5,4,1,0,4,5,2,0,3,2,6,2,0,1,1,1,1,1
91,3,6,4,5,3,5,5,5,1,3,1,1,2,1,1,5,1,3,1,1,2,6,5,6,4,0,1,8,3,4,0,3,1,5,3,1,2,4,4,1,1
92,3,7,8,12,2,6,8,9,7,11,3,0,9,10,8,7,4,6,2,1,1,7,5,1,4,3,3,12,6,1,4,8,1,7,3,4,2,3,1,2,1
93,4,4,3,6,3,3,6,1,1,4,1,4,2,3,1,7,2,1,1,3,0,1,1,6,3,0,0,6,2,5,0,4,2,7,1,1,1,0,0,0,1
94,9,5,0,2,17,3,1,3,7,7,0,4,18,9,0,5,2,2,2,4,9,0,4,7,5,4,1,3,0,3,3,3,0,1,1,8,2,5,2,7,1
95,1,1,3,4,3,0,1,1,0,4,3,2,3,2,4,1,0,1,0,0,2,3,1,0,2,3,0,1,3,1,0,1,0,6,2,0,4,2,2,3,1
96,1,0,7,4,3,2,4,1,0,1,2,1,4,0,5,0,1,2,2,1,0,2,3,1,3,2,0,2,1,3,2,1,0,4,3,0,0,3,1,4,1
97,0,1,3,3,3,1,4,1,0,4,4,2,3,1,4,2,1,3,1,2,4,0,5,1,3,3,3,0,1,1,0,2,0,3,2,0,0,6,3,5,1
98,3,8,6,4,5,1,2,1,2,2,4,2,3,3,3,9,10,5,3,3,6,8,2,0,4,4,2,2,2,2,4,3,1,1,10,2,0,2,4,4,1
99,0,11,0,5,0,2,0,2,9,2,6,0,4,1,3,2,4,3,4,2,3,3,1,4,7,2,5,3,4,2,5,1,2,5,2,4,0,0,4,4,1
100,0,3,2,4,6,3,4,6,1,2,4,2,1,1,2,11,4,2,2,0,7,2,4,2,5,2,1,6,3,9,7,5,1,2,4,3,0,1,2,3,1
101,0,6,8,6,6,2,3,7,4,1,2,0,6,2,2,6,6,2,1,3,3,2,4,1,6,3,0,7,6,2,9,3,3,1,3,0,0,4,7,3,1
102,0,3,1,0,8,2,4,2,1,0,5,0,5,5,4,6,1,0,5,1,3,3,3,2,9,4,3,1,0,1,4,4,4,5,3,5,1,3,6,6,1
103,0,6,5,5,2,3,3,3,4,7,5,5,1,2,8,2,3,5,5,4,1,3,3,2,5,4,2,1,3,5,3,5,0,4,4,1,1,5,3,4,1
104,0,2,6,10,5,3,1,4,2,4,6,4,6,1,7,2,2,6,3,2,1,2,0,0,3,2,3,1,2,2,3,3,1,5,2,2,0,9,2,2,1
105,0,1,7,14,3,1,0,4,1,1,4,1,9,0,8,4,3,5,3,3,0,2,5,1,6,1,0,3,2,2,2,5,3,6,5,1,6,2,2,5,1
106,2,0,3,8,2,5,1,3,4,0,2,0,3,1,4,5,2,1,1,0,2,1,4,0,6,2,1,2,2,2,2,4,0,1,3,0,0,1,0,1,1
107,2,0,1,5,1,1,0,2,0,0,2,4,1,0,3,0,0,2,1,1,0,0,1,7,2,3,0,1,1,0,0,1,1,2,0,2,0,4,0,1,1
108,1,1,4,6,1,0,1,2,1,1,5,0,3,0,3,0,0,2,1,1,1,3,0,2,6,1,1,2,1,0,0,2,0,7,4,1,2,5,1,2,1
109,11,10,2,7,4,7,2,13,1,2,2,3,3,0,0,3,0,0,3,0,4,0,2,1,5,2,0,5,2,3,1,2,6,4,0,1,0,6,0,2,1
110,1,2,4,4,3,1,3,1,0,1,1,2,4,0,5,0,2,4,3,3,3,4,0,0,6,2,1,2,1,2,1,0,0,3,7,0,0,1,1,3,1
111,5,3,8,7,2,6,1,8,1,4,3,5,4,3,1,5,3,0,2,2,1,2,9,2,3,4,2,2,5,4,1,5,4,2,1,1,3,3,0,1,1
112,1,2,8,7,4,0,2,1,1,1,2,2,3,0,1,3,0,0,0,1,1,4,0,0,1,3,0,3,2,1,0,4,0,4,3,1,2,0,2,10,1
113,6,4,8,5,4,3,1,12,4,11,2,4,18,7,0,5,3,3,6,5,0,0,7,2,3,5,10,8,1,2,0,8,1,1,0,4,0,10,4,2,1
114,2,1,1,5,7,0,1,8,3,1,2,0,0,3,3,6,3,0,4,2,3,5,4,1,5,0,8,4,2,0,2,6,0,3,5,0,1,0,6,2,1
115,2,11,2,1,1,4,0,9,5,5,2,10,1,0,0,4,1,1,3,1,0,3,1,2,3,1,2,1,3,3,1,3,1,2,1,0,0,4,0,0,1
116,1,0,0,3,2,0,3,7,2,3,5,2,6,3,2,5,5,1,2,1,5,1,4,1,5,1,1,6,3,0,2,2,0,3,1,0,3,2,3,4,1
117,2,11,0,1,1,2,0,6,5,6,0,8,0,1,0,5,1,1,2,5,1,2,2,2,2,1,5,2,2,3,0,0,1,0,1,0,0,3,0,3,1
118,0,5,4,2,6,1,5,4,0,0,4,2,0,0,5,3,1,0,3,3,3,1,2,1,6,1,0,3,4,1,4,5,1,6,5,1,0,0,1,6,1
119,0,4,4,7,5,2,2,8,2,0,5,4,3,1,1,4,6,3,6,1,2,1,2,1,6,0,1,6,4,2,3,5,2,5,3,4,0,0,4,5,1
120,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,2
121,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,19,4,0,0,0,2
122,0,0,1,1,1,0,0,1,1,3,9,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,3,8,0,2,0,0,3,2,0,0,2,7,0,2
123,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,2
124,0,0,2,0,0,0,0,0,0,0,0,0,4,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2
125,0,4,3,1,9,0,0,6,4,3,2,7,23,1,0,12,0,11,1,5,23,1,4,4,0,8,109,1,0,4,0,1,5,1,10,7,17,5,1,20,2
126,0,4,3,1,1,2,2,2,3,11,1,2,0,2,1,6,5,2,4,4,0,5,2,2,2,1,0,16,1,2,4,0,3,0,3,4,0,4,4,2,2
127,8,1,0,2,0,2,0,13,1,5,2,1,9,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,2,1,7,1,3,0,2
128,0,0,0,5,11,5,30,3,2,14,1,0,9,3,8,9,12,5,5,4,6,8,4,6,2,1,0,12,2,5,5,1,1,3,5,15,9,3,6,6,2
129,2,0,2,0,3,2,0,6,3,2,2,2,9,4,15,2,4,1,1,7,5,6,2,5,5,0,28,1,1,1,8,0,2,2,6,7,10,4,11,6,2
130,1,1,3,2,4,5,2,10,2,3,6,3,8,7,10,5,5,1,3,4,6,6,1,4,1,1,9,2,2,2,6,0,2,0,5,9,8,3,10,4,2
131,2,0,0,4,2,2,1,5,1,2,1,0,4,1,9,3,5,6,1,2,6,2,2,1,3,0,12,1,3,2,7,0,0,2,1,3,12,2,7,0,2
132,10,6,1,2,1,1,0,6,7,1,1,13,11,3,1,11,6,0,3,9,4,1,9,0,0,4,2,11,0,2,0,5,0,2,1,0,5,7,1,10,2
133,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,1,0,0,0,0,1,3,0,0,1,0,0,0,0,1,5,1,0,0,0,1,0,2
134,2,17,0,0,2,0,1,14,4,3,0,8,17,6,1,5,4,4,4,5,0,3,2,1,2,3,3,37,2,2,2,3,2,6,1,5,8,6,5,0,2
135,1,2,5,4,2,4,0,1,0,1,5,1,7,0,0,0,1,5,2,0,2,0,3,0,1,0,0,0,3,0,1,0,0,0,1,0,4,1,5,4,2
136,0,0,2,0,5,0,1,1,1,0,1,3,7,0,6,1,2,6,4,0,1,2,1,0,15,0,0,0,1,0,1,0,0,16,0,4,4,0,3,1,2
137,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,13,1,0,0,1,0,0,0,1,0,1,0,0,0,2
138,4,2,0,1,1,0,0,3,3,0,0,3,5,2,3,2,5,1,2,2,0,0,2,1,2,2,22,1,0,1,4,1,2,2,2,0,10,6,5,3,2
139,3,2,3,1,3,5,9,9,2,3,7,3,6,0,1,7,8,5,4,6,10,7,3,0,1,3,8,8,5,1,7,4,1,5,3,4,6,7,15,6,2
140,6,1,2,0,7,2,4,21,6,1,0,2,7,2,2,19,2,2,3,4,12,7,1,1,1,5,29,3,0,0,4,0,4,0,4,3,9,5,8,11,2
141,0,0,2,3,8,0,0,2,2,2,2,1,0,6,1,2,3,0,3,5,7,4,5,0,0,1,1,4,3,0,3,1,0,0,0,0,2,6,1,3,2
142,9,1,1,1,3,1,2,4,3,3,0,2,10,0,4,3,0,4,1,7,6,3,2,3,4,6,5,1,0,1,1,1,5,5,2,10,11,2,2,1,2
143,0,3,5,1,5,3,2,17,3,5,4,3,10,1,6,8,9,2,6,3,14,7,5,1,2,4,2,11,2,3,2,4,1,2,5,6,7,11,12,5,2
144,0,0,1,1,0,0,0,0,1,4,0,0,4,0,3,1,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,4,1,0,2
145,1,0,2,0,1,0,1,8,0,2,1,4,5,2,4,4,5,0,0,0,0,3,2,1,0,0,15,1,6,1,3,1,1,2,2,5,9,3,9,0,2
146,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,0,12,0,0,0,2,1,2,1,0,0,0,0,0,3,0,0,6,0,15,0,2
147,0,0,2,0,4,2,0,4,4,6,1,1,4,12,0,0,1,0,4,6,3,1,13,4,1,4,0,9,1,1,0,1,9,0,0,4,2,12,0,3,2
148,5,6,12,8,8,5,9,3,13,1,6,14,6,7,14,6,6,4,6,15,2,14,6,1,1,0,27,5,4,2,5,7,0,6,10,0,7,7,11,1,2
149,26,2,10,9,5,3,3,0,21,2,10,7,6,8,3,2,3,9,4,23,0,3,12,0,2,0,0,4,5,4,1,2,1,5,0,0,4,18,2,4,2
150,0,2,0,2,3,1,8,1,1,2,2,0,0,2,3,1,2,2,2,1,4,0,4,3,6,4,1,10,0,0,2,2,1,6,2,0,0,5,6,6,2
151,1,2,4,3,6,1,27,4,4,5,0,0,1,0,4,2,3,2,1,0,4,0,0,7,39,0,0,8,1,0,3,0,54,36,1,26,3,0,0,2,2
152,0,15,12,9,12,7,29,19,26,118,12,11,36,5,3,31,16,7,5,7,11,11,8,33,1,2,2,165,13,7,9,0,35,7,38,11,33,14,28,14,2
153,13,20,7,4,6,11,12,4,6,26,16,12,34,7,15,14,10,8,7,7,1,6,7,13,9,2,1,22,7,10,5,3,12,10,6,4,31,2,5,7,2
154,3,1,8,2,5,4,2,15,19,3,7,9,6,8,8,11,17,2,7,27,0,18,8,0,0,2,11,4,15,6,28,8,0,1,13,0,5,10,16,0,2
155,1,2,4,3,8,5,1,10,2,1,1,4,8,1,3,9,12,7,1,5,7,6,4,2,7,3,14,1,1,1,7,0,2,3,2,2,10,0,5,3,2
156,0,4,4,5,4,2,0,0,9,3,2,6,7,6,2,1,1,1,9,6,1,0,6,0,3,2,0,5,1,2,4,5,0,3,3,11,3,8,2,5,2
157,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,6,0,0,0,2
158,50,7,1,4,4,4,6,5,2,3,1,6,16,2,9,2,5,3,4,2,19,3,7,10,14,10,0,8,0,3,9,0,35,12,3,58,5,0,0,2,2
159,0,0,4,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,2
160,3,0,6,6,7,0,1,1,4,1,1,3,8,3,7,4,6,1,7,2,5,2,5,0,1,2,0,8,1,0,0,0,0,1,4,2,6,6,5,0,2
161,0,0,1,0,0,0,0,1,0,4,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,6,1,1,0,2
162,2,8,3,0,1,1,3,3,2,18,2,5,10,4,3,7,4,1,1,5,0,4,6,0,1,2,0,13,2,0,4,6,0,4,4,1,8,1,5,5,2
163,1,0,2,1,9,10,2,3,4,2,1,2,6,4,3,7,10,5,3,5,7,8,7,3,3,8,6,1,4,2,6,3,2,5,7,9,2,12,7,3,2
