,0,1,2,3,4,5,6,7,8,9,10
122,0,3,0,8,3,11,5,3,9,8,2
123,0,0,2,0,2,0,0,3,2,5,2
124,0,0,7,0,4,0,1,1,1,1,2
125,55,53,53,13,4,95,4,21,8,7,2
126,3,14,4,30,11,6,13,5,17,8,2
127,4,3,21,10,2,5,7,5,12,0,2
128,18,6,23,31,11,11,60,22,32,12,2
129,17,24,27,15,11,41,18,11,9,4,2
130,17,15,24,19,5,31,23,14,12,6,2
131,4,13,26,16,3,23,12,6,9,5,2
132,14,24,15,31,21,4,5,6,10,27,2
133,1,0,3,3,3,1,4,4,0,1,2
134,6,20,30,51,17,12,7,29,4,14,2
135,7,1,16,6,7,5,9,2,7,6,2
136,2,2,11,5,8,5,11,30,6,9,2
137,1,2,3,0,1,15,1,1,3,0,2
138,3,18,18,16,6,25,5,4,3,7,2
139,14,16,18,34,15,35,24,12,12,11,2
140,36,21,30,33,8,33,15,14,9,1,2
141,15,14,3,8,10,6,9,1,6,11,2
142,20,17,27,7,6,9,9,18,10,7,2
143,27,19,26,30,17,24,16,15,14,14,2
144,4,5,8,2,3,2,1,5,4,1,2
145,1,7,16,19,4,27,13,6,8,3,2
146,10,0,13,1,4,17,2,2,0,2,2
147,24,20,7,5,15,1,17,12,9,9,2
148,7,50,22,18,29,51,37,5,24,27,2
149,8,59,26,8,25,7,20,2,45,23,2
150,18,6,1,11,12,8,12,8,7,14,2
151,67,1,6,17,34,0,36,45,15,33,2
152,65,75,78,135,57,80,125,47,94,66,2
153,36,25,60,51,35,28,56,22,65,24,2
154,4,62,13,64,32,55,33,2,27,17,2
155,18,10,28,35,4,31,14,17,7,4,2
156,12,21,14,6,24,6,9,15,9,20,2
157,2,0,11,0,3,0,0,7,0,2,2
158,70,9,22,18,14,6,40,100,45,10,2
159,0,1,0,3,5,2,2,1,2,1,2
160,10,13,16,10,17,9,19,4,11,10,2
161,0,1,13,3,1,2,4,0,1,1,2
162,6,9,19,33,15,12,19,4,16,16,2
163,25,22,13,26,18,21,19,16,15,10,2
164,2,7,16,2,2,2,2,10,2,1,2
165,14,22,10,9,6,1,20,6,35,6,2
166,1,3,6,3,5,11,1,7,3,4,2
167,14,8,23,25,17,26,11,11,10,16,2
168,0,7,30,2,2,1,6,3,10,1,2
169,3,0,6,1,3,0,3,5,1,2,2
170,6,1,16,2,5,2,3,3,0,2,2
171,2,6,26,3,1,11,1,0,4,2,2
172,39,102,18,17,13,111,28,2,14,22,2
173,4,11,7,17,8,11,5,1,2,7,2
174,0,0,4,0,4,1,1,33,0,3,2
175,14,1,2,14,39,11,51,41,21,37,2
176,0,1,8,4,6,4,3,38,0,1,2
177,4,6,4,9,6,15,14,2,4,7,2
178,15,0,47,1,19,0,20,22,15,16,2
179,4,5,22,5,1,6,1,2,1,2,2
180,4,11,38,13,20,13,23,3,30,18,3
181,10,23,37,16,23,14,29,12,22,29,3
182,10,32,21,26,21,21,31,11,42,24,3
183,4,7,24,19,13,2,19,15,14,14,3
184,22,16,25,34,46,55,76,20,49,46,3
185,17,27,25,58,25,13,63,16,63,20,3
186,9,18,44,43,38,12,54,12,42,30,3
187,6,9,41,34,30,17,22,8,23,25,3
188,19,9,37,33,59,6,77,40,63,74,3
189,0,5,32,20,10,8,29,5,23,12,3
190,4,25,15,32,35,16,44,19,35,34,3
191,24,5,36,22,14,14,25,18,18,28,3
192,48,23,29,8,20,18,39,47,29,41,3
193,20,26,46,64,52,40,77,23,50,47,3
194,34,25,23,35,49,10,75,19,74,55,3
195,10,26,46,21,31,6,39,3,54,17,3
196,12,28,15,14,20,15,43,21,33,21,3
197,11,30,25,39,12,29,37,8,33,17,3
198,9,20,34,21,34,12,39,11,31,34,3
199,12,19,33,37,23,10,36,11,37,29,3
200,7,20,31,38,31,3,62,11,74,42,3
201,15,20,18,16,37,14,34,13,35,34,3
202,10,37,47,26,32,52,33,9,32,23,3
203,12,30,27,13,14,29,14,21,24,18,3
204,14,37,23,39,37,9,44,23,31,50,3
205,15,21,28,22,44,7,45,17,54,45,3
206,19,45,41,21,46,10,57,8,49,46,3
207,5,18,42,13,25,50,23,6,19,31,3
208,8,15,10,29,46,8,69,16,51,45,3
209,15,9,17,31,27,18,38,23,29,26,3
210,13,21,37,28,27,28,28,20,27,31,3
211,11,26,47,25,31,30,36,17,37,40,3
212,36,25,23,48,27,18,37,28,36,36,3
213,18,19,43,27,33,45,39,14,31,33,3
214,6,42,15,33,35,33,35,10,31,27,3
215,5,23,13,19,24,29,29,12,34,22,3
216,7,25,15,21,20,44,35,12,28,14,3
217,23,19,24,43,32,18,52,27,39,34,3
218,4,7,21,13,11,3,16,6,23,12,3
219,14,25,29,36,36,12,52,13,56,39,3
220,13,32,22,18,38,24,37,14,25,32,3
221,13,31,26,35,22,19,32,12,34,17,3
222,31,11,32,13,24,20,22,35,23,26,3
223,4,21,22,27,20,16,35,10,29,23,3
224,8,28,11,18,29,3,40,14,33,37,3
225,11,14,27,5,31,6,30,13,22,24,3
226,15,41,17,22,22,14,30,18,26,22,3
227,15,46,27,20,20,63,23,10,16,19,3
228,11,9,35,11,33,13,26,20,20,34,3
229,14,8,26,8,8,11,22,9,14,11,3
230,7,15,49,25,29,18,21,15,37,34,3
231,29,24,41,16,21,61,35,16,27,29,3
232,10,3,13,2,23,4,13,13,9,20,3
233,10,18,39,34,25,28,37,11,20,28,3
234,9,30,31,45,14,45,34,15,27,19,3
235,7,4,13,3,14,14,18,6,7,12,3
236,6,16,35,5,41,57,30,10,25,39,3
237,11,7,14,13,17,25,33,34,14,24,3
238,50,17,34,10,33,33,30,44,22,20,3
239,26,13,29,30,42,18,45,32,38,40,3
