,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
18,0,0,1,3,1,2,6,15,3,10,5,2,10,5,7,7,5,5,6,11,0,1,1,1,3,10,1,2,3,0,0,1,2,12,7,5,4,0,4,2,0,7,2,10,0,1,3,1,8,5,12,0,2,1,1,0,0,0,3,5,0
19,2,1,0,4,9,2,4,3,5,2,2,2,2,1,6,1,6,7,2,1,0,3,5,5,11,5,6,6,5,0,1,3,4,6,9,3,6,2,5,11,4,3,3,2,1,1,3,2,4,2,7,1,3,2,0,1,3,7,5,2,0
20,7,1,3,6,4,0,10,2,6,5,9,1,4,6,2,6,3,1,1,1,3,4,5,4,8,8,1,2,4,1,2,5,1,2,5,3,15,1,8,5,2,6,4,4,4,3,7,0,6,5,13,2,2,1,1,1,6,7,6,3,0
21,5,0,9,0,2,1,11,4,8,3,3,3,2,2,5,0,6,4,2,1,0,1,1,4,6,3,5,1,2,3,1,1,1,8,9,1,6,1,4,1,1,3,1,8,2,0,1,0,3,4,14,1,1,0,3,0,5,7,4,1,0
22,2,0,5,1,3,0,1,1,0,0,2,3,0,1,0,0,1,0,2,1,0,0,0,0,1,1,1,3,0,0,0,0,0,2,4,0,2,0,2,1,1,2,2,36,0,3,1,0,2,2,3,1,0,4,1,0,1,1,2,0,0
23,4,1,1,0,0,0,1,1,4,2,7,2,0,1,0,1,3,3,1,0,1,1,0,1,4,0,1,3,1,1,5,0,4,2,7,0,4,0,7,6,1,6,3,10,1,1,2,0,3,2,16,2,0,2,1,1,2,4,0,0,0
24,1,0,4,3,3,0,1,9,0,0,3,3,3,1,3,5,1,0,1,1,0,0,3,0,3,0,3,2,0,0,1,0,4,7,4,1,6,2,1,2,1,7,0,48,0,1,2,0,1,1,1,0,3,1,1,0,1,6,2,0,0
25,3,1,1,1,1,1,9,3,11,1,6,1,5,3,4,2,2,4,8,2,0,2,0,5,6,8,5,1,2,3,2,0,10,2,3,0,6,1,3,16,1,20,3,3,0,0,3,0,2,5,11,1,0,1,1,0,1,4,3,5,0
26,1,3,0,1,0,1,10,1,3,7,10,1,3,1,1,2,4,7,6,0,1,0,0,2,4,5,5,0,2,4,1,0,4,1,7,2,1,0,5,8,3,10,1,0,0,1,6,0,3,7,10,0,0,2,4,0,3,1,3,1,0
27,4,3,10,1,0,4,2,2,7,5,8,3,4,3,1,5,3,7,0,0,1,0,2,5,1,0,3,2,9,2,1,0,5,1,5,2,4,0,4,14,4,11,1,5,1,3,1,1,4,3,10,1,1,1,2,0,0,11,1,1,0
28,3,4,4,0,4,4,3,2,4,3,6,0,2,2,2,4,4,2,0,1,1,1,1,1,1,1,2,3,11,1,2,1,3,8,8,0,3,0,7,6,2,15,0,9,2,1,2,0,4,0,14,1,1,0,2,1,0,12,1,1,0
29,3,5,2,2,3,4,3,0,4,5,2,3,0,4,1,2,1,9,6,1,5,1,3,7,1,2,2,4,4,6,6,1,0,3,9,7,3,2,4,3,4,6,5,4,5,0,2,6,5,3,13,1,2,2,0,1,4,1,1,5,0
30,5,1,13,8,4,0,6,41,3,11,3,20,21,2,11,4,3,2,15,7,3,4,5,1,5,14,3,5,0,4,1,3,0,28,5,3,0,1,11,0,3,4,0,27,1,3,6,8,6,12,11,9,14,1,10,4,3,12,11,1,0
31,7,0,1,3,1,1,3,0,4,4,3,2,3,5,4,1,3,2,4,2,2,0,1,1,6,6,5,2,2,3,0,1,8,0,1,4,4,2,3,4,2,12,1,0,1,2,6,4,5,6,10,0,1,0,0,0,1,6,2,4,0
32,4,3,7,2,3,1,3,3,6,6,0,0,2,2,6,2,3,5,1,4,3,0,1,7,3,1,3,2,1,1,3,5,10,10,4,7,2,6,3,0,0,13,5,2,2,2,4,1,3,3,6,5,2,5,4,4,2,9,9,1,0
33,5,2,2,0,0,3,3,0,3,2,2,3,3,0,2,1,2,1,3,2,0,2,2,2,3,2,5,0,4,1,0,3,4,2,9,1,2,0,1,2,2,3,0,6,1,0,1,7,1,2,12,0,1,0,1,0,1,5,4,0,0
34,1,1,2,3,1,3,4,0,11,7,2,4,3,2,6,0,4,15,4,0,1,1,3,4,3,4,4,2,5,0,6,2,5,0,8,6,13,3,1,2,3,6,2,1,2,2,2,12,1,1,8,3,2,0,5,2,0,6,2,9,0
35,2,0,9,0,3,0,5,1,4,11,7,2,3,3,3,6,1,3,4,2,1,0,0,4,7,4,5,2,1,3,3,0,2,7,3,4,1,2,7,1,2,6,0,11,2,2,2,1,4,6,10,2,3,1,5,2,2,2,4,1,0
36,2,0,3,5,0,4,10,3,5,4,5,2,0,1,2,3,3,6,1,4,1,6,0,2,4,4,7,1,2,1,2,0,0,8,9,1,10,1,2,3,4,16,3,1,1,0,3,0,2,3,8,4,2,0,2,1,5,18,9,3,0
37,2,0,1,1,1,0,2,0,1,1,3,1,1,1,3,1,0,0,3,2,1,0,0,1,1,0,0,2,1,1,1,0,0,1,3,0,0,2,1,0,1,8,4,1,0,1,1,0,0,2,4,0,1,1,2,2,0,0,1,1,0
38,3,1,1,2,2,1,2,2,6,2,1,3,2,2,2,5,3,3,1,2,10,3,1,3,5,1,6,3,2,2,4,1,8,3,10,6,4,0,8,4,2,13,6,23,1,1,4,4,2,3,11,3,1,1,0,2,1,4,10,2,0
39,4,4,5,0,4,3,3,9,11,4,8,1,7,0,3,3,5,11,4,6,2,2,3,4,3,5,6,0,6,2,3,4,5,4,4,1,8,1,6,4,6,8,3,7,1,4,3,7,5,8,8,2,3,1,2,0,3,3,7,1,0
40,2,0,7,1,2,2,11,5,2,2,1,4,6,3,1,5,0,3,12,2,4,4,1,4,7,3,8,1,4,6,4,1,1,7,3,3,3,0,6,0,1,7,3,1,4,0,3,3,4,6,8,1,4,1,7,0,1,9,5,5,0
41,4,1,2,3,1,1,3,1,5,8,6,2,0,3,3,5,0,7,2,2,3,2,0,3,5,1,6,3,3,0,2,3,12,0,8,5,10,2,1,12,6,8,8,17,0,2,2,2,3,4,11,2,1,8,1,5,3,8,5,0,0
42,2,0,4,0,2,1,2,2,2,3,8,0,2,2,2,1,2,1,0,4,0,1,0,1,1,1,2,2,0,0,1,0,1,2,7,0,0,0,5,5,0,8,1,12,0,4,1,1,4,1,13,2,1,1,2,2,0,7,2,0,0
43,3,3,11,5,4,1,4,12,1,5,3,9,5,3,3,3,5,5,2,1,1,0,2,3,6,4,6,4,9,2,2,4,3,7,5,3,7,5,5,3,4,3,5,5,3,1,3,0,2,5,11,1,2,5,4,2,1,3,9,2,0
44,2,0,6,5,4,6,5,9,4,2,3,5,4,4,2,4,1,8,5,0,9,0,4,6,5,6,11,2,3,2,6,6,3,6,4,7,2,5,5,14,8,12,2,3,3,0,3,3,0,10,10,4,3,3,2,6,5,5,5,3,0
45,1,6,3,1,4,0,5,2,7,1,6,1,1,4,2,6,1,6,4,2,0,2,2,5,3,3,5,6,5,3,2,1,4,8,5,2,6,0,3,3,2,6,19,25,2,3,1,1,0,7,11,0,0,4,5,1,2,5,6,0,0
46,1,3,2,1,0,7,1,2,4,5,9,2,2,4,1,2,2,3,3,2,2,0,2,7,4,4,6,2,6,4,3,1,5,3,3,2,7,1,1,5,4,9,2,5,0,0,4,5,3,1,11,0,1,0,1,0,9,6,4,5,0
47,3,0,5,1,1,5,5,1,4,2,6,3,3,0,1,1,1,3,6,2,2,3,2,1,6,3,4,2,8,2,1,2,4,2,9,3,3,0,3,1,2,8,3,2,5,1,5,5,0,3,8,0,2,1,1,1,4,3,3,3,0
48,2,0,14,1,5,0,10,15,0,6,6,15,9,3,3,4,2,1,14,8,3,1,0,0,11,10,7,0,0,1,3,5,3,22,4,4,0,0,13,0,4,1,0,9,0,0,7,5,6,19,7,2,4,1,9,2,0,8,9,1,0
49,1,1,7,3,0,2,1,0,4,7,4,3,2,3,5,4,4,3,3,3,5,2,1,3,3,3,3,4,2,1,8,0,1,5,5,6,2,1,2,5,2,9,2,1,2,2,1,5,0,1,5,3,4,1,3,3,1,7,1,1,0
50,1,3,4,6,2,1,1,3,6,8,10,4,5,9,3,3,2,2,10,2,2,1,4,3,2,4,4,0,4,5,2,2,2,6,3,2,8,1,3,7,5,3,1,21,1,1,0,4,5,2,6,0,2,1,5,1,3,6,6,3,0
51,2,5,8,5,3,4,3,3,4,7,3,0,2,2,2,6,2,3,1,4,3,0,4,5,6,0,4,6,6,1,2,3,2,4,6,3,9,1,5,6,0,7,2,14,3,4,5,1,2,4,10,1,3,5,4,0,4,8,4,1,0
52,0,4,7,1,3,1,9,2,6,4,4,1,2,3,3,4,4,3,4,0,1,0,4,6,7,2,5,6,4,2,7,2,13,3,12,3,3,4,3,3,3,10,5,3,3,3,7,1,1,2,14,1,2,3,2,2,1,3,3,1,0
53,8,9,3,0,2,6,3,7,10,2,5,6,3,1,2,7,9,3,5,0,3,0,4,3,2,5,2,5,6,4,5,0,3,3,9,6,8,0,4,10,1,8,6,22,2,7,4,2,7,8,7,0,7,1,1,4,3,3,3,2,0
54,3,8,2,3,0,2,1,0,2,0,0,1,0,4,8,3,1,5,3,0,1,0,1,3,3,0,0,3,7,0,2,1,6,0,7,0,2,3,1,6,0,14,13,1,1,4,2,0,2,2,11,0,0,5,0,0,2,1,1,1,0
55,2,0,6,0,4,2,5,1,6,2,6,3,4,7,5,4,5,5,1,4,1,1,5,1,0,5,2,5,3,3,8,1,4,6,6,1,4,0,0,2,5,6,0,7,1,1,4,3,2,4,12,2,1,4,3,6,5,11,2,2,0
56,2,8,2,3,3,0,2,3,10,9,3,0,1,3,8,1,1,2,3,3,0,1,1,4,2,2,3,1,1,0,2,3,3,2,7,2,5,4,6,5,1,8,12,11,1,5,2,2,5,4,18,0,3,0,2,0,2,2,3,2,0
57,3,4,2,3,2,3,10,4,6,5,6,2,2,2,7,5,4,8,3,1,1,2,1,3,5,3,6,1,3,2,3,1,0,5,7,2,4,1,3,7,1,8,4,11,0,4,7,0,4,3,16,1,2,1,0,0,2,1,7,2,0
58,15,0,1,4,4,3,6,1,2,6,7,3,3,4,3,7,5,1,3,4,3,0,0,4,7,2,6,3,1,4,4,0,3,1,9,1,5,2,6,3,6,3,2,2,0,0,6,4,4,3,8,1,3,1,2,0,4,5,2,5,0
59,4,1,4,1,1,2,6,14,0,2,0,2,3,1,2,5,4,0,3,1,1,0,0,1,3,4,1,6,2,1,3,1,0,2,1,0,0,0,2,3,4,6,1,5,0,2,5,5,1,7,1,1,5,3,1,0,3,0,3,2,0
60,4,0,0,8,0,0,6,1,0,1,0,0,1,0,0,2,1,0,3,0,4,0,0,2,1,0,2,3,0,0,3,0,2,0,2,4,0,0,3,0,3,1,0,0,0,0,4,1,1,0,1,0,1,3,0,0,3,0,2,0,1
61,1,0,1,7,1,0,3,2,1,1,0,0,1,0,1,1,0,0,4,0,2,0,0,1,0,0,0,3,0,1,3,1,1,0,0,7,2,2,4,1,1,2,0,1,0,0,2,0,1,1,2,0,2,1,0,0,1,1,3,1,1
62,3,0,0,4,2,1,5,0,3,1,2,1,1,0,0,3,0,0,5,0,1,2,2,2,6,2,5,4,1,1,0,0,2,2,0,7,0,2,3,0,3,1,1,0,1,0,4,0,1,1,1,2,1,2,0,0,0,0,8,0,1
63,2,0,0,4,3,0,9,0,2,0,2,0,2,1,1,2,1,1,4,0,2,2,2,1,5,3,3,4,1,1,1,0,3,0,0,2,3,1,3,0,0,0,0,0,1,0,3,0,0,1,0,0,3,1,0,0,0,0,4,1,1
64,3,0,0,5,0,0,6,2,2,0,1,0,2,0,1,1,0,1,3,0,1,1,1,0,2,1,4,3,0,0,1,1,0,0,0,7,0,1,3,0,1,1,1,0,2,1,2,0,0,1,0,0,2,1,0,0,1,1,4,0,1
65,3,0,1,0,1,2,4,5,1,1,1,1,1,1,1,4,0,0,2,0,2,0,4,2,1,3,2,4,0,1,2,2,1,1,0,3,0,1,1,1,0,1,2,0,2,0,1,1,0,1,0,0,1,4,0,0,2,0,8,0,1
66,1,0,1,4,0,0,6,0,1,2,1,0,1,1,0,1,0,1,2,0,2,1,0,1,1,1,3,3,0,0,2,0,1,0,0,5,0,2,1,0,0,0,3,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,5,0,1
67,1,0,1,2,3,1,2,1,0,1,1,1,3,0,3,1,0,1,3,0,3,2,1,2,3,2,3,3,0,1,2,0,0,1,0,2,2,3,3,0,2,0,0,0,2,0,2,0,1,1,0,0,1,1,0,0,0,0,4,1,1
68,3,0,0,6,1,0,6,2,1,3,1,1,2,0,1,1,1,1,3,1,2,1,1,0,0,0,4,3,0,1,0,0,2,0,2,3,2,0,5,1,5,2,0,0,0,0,3,0,0,1,0,0,2,1,0,0,4,0,3,0,1
69,0,0,1,4,2,1,7,0,1,1,2,3,3,3,0,4,2,0,5,0,2,0,1,2,1,2,2,2,1,0,5,1,0,1,0,3,0,2,2,0,0,1,0,0,1,0,4,0,1,2,1,2,0,1,0,0,0,1,4,0,1
70,0,0,0,4,5,1,5,0,0,3,0,1,2,0,1,5,0,0,2,0,0,0,1,3,1,1,1,6,1,0,6,1,0,1,1,6,2,1,3,1,1,1,2,0,2,0,3,1,2,2,0,0,2,2,0,0,0,0,1,0,1
71,1,0,0,2,1,1,3,0,0,0,3,2,1,0,1,3,0,0,2,0,2,0,0,1,1,1,1,4,1,0,0,1,0,1,3,1,0,0,2,1,1,4,0,1,3,0,2,0,1,1,1,0,0,3,0,0,1,0,3,1,1
72,4,0,0,2,1,1,10,2,0,0,1,2,0,2,2,6,1,0,1,1,0,0,4,2,0,0,0,6,0,1,3,0,0,0,2,3,0,1,2,0,0,0,0,0,3,0,3,1,1,2,1,1,0,2,0,0,2,1,3,2,1
73,0,0,0,4,2,0,4,3,0,1,2,1,0,2,0,1,0,0,1,0,0,1,0,2,2,1,3,3,1,0,2,2,0,0,0,1,0,4,0,0,1,1,0,0,0,0,1,0,1,1,2,1,1,1,0,0,0,0,1,0,1
74,1,0,0,4,1,0,4,0,1,1,0,1,1,2,2,7,1,1,1,0,2,0,0,3,1,1,3,4,0,0,6,0,2,0,0,3,0,3,1,0,0,1,1,0,2,0,3,3,0,0,0,0,1,1,0,0,0,0,3,0,1
75,1,0,0,4,0,0,8,2,1,1,0,0,0,0,2,2,0,0,2,0,2,0,0,0,2,1,1,3,0,1,9,3,0,0,0,3,2,1,2,1,0,4,2,0,2,1,2,1,0,1,0,0,1,2,0,2,3,0,1,1,1
76,0,0,0,0,1,0,4,2,2,0,0,1,2,0,0,4,3,1,1,0,2,1,1,2,4,1,2,4,1,0,3,1,0,1,0,7,0,1,1,0,2,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,1
77,0,1,0,2,1,0,2,4,3,0,0,2,3,1,1,2,1,1,1,0,1,1,1,6,2,0,0,3,0,1,5,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,3,2,0,0,1,0,1,1,0,4,0,1
78,1,2,0,0,1,0,5,0,1,0,0,1,2,2,3,7,0,0,1,0,3,2,0,9,0,1,1,3,1,0,11,0,0,1,0,2,2,1,2,2,1,0,0,0,2,2,4,0,0,1,0,0,0,0,0,0,1,0,4,1,1
79,0,0,0,0,3,0,7,3,2,0,1,2,2,3,1,3,2,3,1,0,1,1,1,11,2,0,2,3,0,0,5,1,5,0,0,0,1,3,1,0,1,3,2,0,5,0,1,0,1,2,0,0,1,0,1,0,0,2,4,0,1
80,0,0,0,0,1,0,8,3,1,1,2,2,0,0,0,3,2,1,4,0,0,0,0,2,1,1,3,2,1,0,3,0,1,0,0,1,0,1,1,0,2,0,0,0,1,0,3,0,1,2,1,0,1,1,0,1,0,0,4,0,1
81,0,1,1,0,2,0,1,1,1,1,0,2,3,2,1,4,2,1,2,0,1,1,0,1,1,1,3,6,0,0,6,0,1,1,2,0,0,2,1,1,0,2,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,0,3,0,1
82,0,0,0,1,2,1,2,1,0,0,2,2,3,1,2,4,2,1,3,0,0,0,1,1,3,0,1,4,0,0,5,2,2,1,0,1,0,3,1,0,1,1,1,1,0,0,0,0,2,3,0,2,0,3,0,1,1,0,2,0,1
83,0,0,0,3,2,0,4,1,0,1,0,1,1,0,1,6,0,0,3,0,3,0,2,6,1,1,1,3,1,0,5,0,1,1,1,3,0,0,2,0,1,1,0,1,2,0,3,0,0,3,0,2,1,2,0,0,1,0,2,2,1
84,2,3,4,0,3,1,5,0,4,1,1,0,0,1,0,3,2,2,3,0,2,1,2,3,3,1,1,5,3,1,4,1,2,3,0,2,1,3,0,0,2,2,1,0,2,1,2,1,1,1,0,0,2,1,2,1,2,3,4,1,1
85,3,3,1,1,6,5,5,0,10,1,2,2,1,3,4,5,2,8,8,0,5,7,9,8,1,5,1,7,6,3,6,9,3,3,0,2,5,2,1,6,7,4,7,3,8,1,4,4,3,3,3,2,3,2,3,2,8,0,5,5,1
86,1,1,3,4,4,0,3,3,5,3,1,3,1,4,6,1,6,2,2,2,6,1,0,4,2,0,1,0,1,0,3,2,0,4,2,5,0,1,6,0,2,6,1,0,1,1,5,1,0,3,2,0,0,1,8,2,0,10,3,0,1
87,2,2,5,3,1,1,3,3,2,0,1,4,2,1,1,2,3,3,3,3,2,1,2,1,3,2,5,0,1,0,6,1,0,6,2,3,0,2,1,2,1,0,0,2,4,4,6,2,4,2,2,5,1,0,4,1,1,7,4,1,1
88,1,1,2,0,3,1,6,1,1,1,1,1,0,1,0,0,1,3,4,1,5,2,1,5,4,0,1,1,1,0,2,3,0,6,2,3,0,5,1,0,0,2,0,0,5,0,2,6,1,2,1,0,1,0,0,0,1,4,1,3,1
89,1,0,6,5,2,0,3,0,3,3,2,2,1,0,5,4,3,7,3,1,7,1,1,3,15,1,6,2,6,1,5,5,4,2,1,10,3,4,4,2,4,3,0,0,2,4,2,0,0,1,4,3,2,2,5,1,1,2,3,2,1
90,0,0,0,2,2,1,9,1,2,1,0,0,0,1,3,1,0,2,4,0,2,2,6,4,3,3,2,3,1,1,3,1,1,1,1,4,4,1,0,2,1,0,0,0,7,0,2,6,2,5,1,0,2,1,1,0,2,1,2,2,1
91,0,0,8,3,5,0,6,1,2,1,3,1,0,1,2,1,2,1,2,1,4,3,3,5,3,1,2,1,0,2,4,0,0,3,2,4,4,6,1,2,4,1,0,1,5,2,3,2,0,3,1,0,0,0,1,0,3,1,1,2,1
92,1,1,3,7,3,2,7,3,2,1,2,3,6,2,3,3,1,3,3,2,4,7,7,1,9,1,2,5,3,1,1,9,1,3,2,1,2,0,10,4,5,0,0,2,9,4,4,10,1,4,8,0,2,3,5,1,2,0,7,3,1
93,0,0,1,2,3,1,6,1,4,0,0,1,1,1,2,0,2,0,1,0,2,3,7,5,3,3,1,1,0,2,2,2,0,1,1,0,6,3,2,1,2,0,1,0,8,0,1,4,1,2,0,0,1,3,0,0,4,0,1,1,1
94,8,1,0,1,0,2,2,1,0,5,4,2,5,2,6,6,2,6,0,3,1,1,1,3,2,2,1,2,2,2,10,3,5,0,2,3,9,0,9,2,3,8,5,0,3,0,2,4,3,0,14,1,1,2,0,2,2,1,0,1,1
95,3,0,2,0,3,1,4,0,0,0,2,0,0,0,0,4,1,0,3,0,1,0,1,0,3,1,3,2,0,0,2,0,0,2,4,1,1,6,1,0,0,2,0,0,1,0,1,2,0,2,3,0,0,1,2,0,1,1,2,1,1
96,3,0,0,0,3,0,6,1,0,3,3,1,0,1,2,2,0,0,3,1,0,1,1,1,2,1,3,1,0,0,2,1,1,2,0,1,1,4,0,0,2,0,0,0,1,1,1,1,0,1,3,1,1,1,2,2,2,1,5,0,1
97,3,0,1,0,1,1,3,3,2,2,3,1,0,0,4,4,1,1,4,0,2,1,0,2,2,3,2,3,0,1,1,1,1,2,1,1,0,3,1,1,1,2,0,1,1,0,3,4,0,1,2,1,0,1,0,0,1,1,4,0,1
98,1,0,7,5,1,0,1,4,1,2,2,1,1,1,3,6,6,1,3,7,6,2,0,0,2,0,2,2,0,1,4,1,2,4,0,6,3,5,0,2,0,5,0,1,1,0,5,0,2,2,2,5,2,2,4,5,2,6,3,0,1
99,1,0,4,2,0,1,6,4,4,4,0,1,3,3,2,3,1,3,6,1,7,1,0,2,1,0,0,2,3,1,6,0,0,3,0,5,0,2,1,0,1,3,0,1,1,2,3,0,1,3,3,3,1,3,0,5,1,2,3,2,1
100,0,0,2,4,2,2,1,2,2,4,2,2,1,0,1,3,11,3,4,0,1,0,4,3,2,0,1,5,0,1,8,4,2,4,0,0,0,2,1,0,2,9,0,0,2,5,2,0,0,2,1,2,2,1,1,4,7,2,2,1,1
101,4,0,4,4,1,0,4,1,3,2,3,1,2,1,1,3,5,4,2,3,4,1,1,3,5,1,4,3,2,2,5,2,0,3,0,4,0,4,1,1,2,2,0,0,0,7,1,0,2,4,5,4,1,2,4,5,0,5,2,0,1
102,2,1,1,1,3,0,0,2,5,2,3,2,1,2,0,6,3,3,4,0,4,0,2,5,0,1,1,5,2,0,6,4,1,3,1,5,0,6,5,1,1,2,0,1,2,1,0,0,1,0,5,0,2,2,1,3,0,5,3,1,1
103,4,0,2,1,3,2,5,0,1,1,4,3,1,4,3,4,0,2,5,3,3,1,0,0,4,2,1,3,0,5,0,2,3,2,1,1,1,1,1,1,3,1,1,2,0,2,4,5,4,4,1,4,2,3,1,4,5,3,7,1,1
104,6,0,1,1,5,1,3,3,1,0,6,4,5,3,2,3,2,1,6,2,1,0,0,1,6,1,4,4,2,3,0,0,1,2,0,1,0,0,1,1,1,1,0,2,0,2,4,4,2,2,4,1,1,1,1,2,1,2,7,0,1
105,1,0,4,6,1,2,7,4,3,4,1,3,1,2,2,4,0,2,4,0,2,1,1,3,10,0,5,3,0,0,3,1,2,4,5,2,0,0,0,3,0,0,0,0,1,1,5,1,3,2,5,2,2,2,0,2,1,1,6,1,1
106,2,0,1,3,0,0,7,1,0,3,0,4,2,0,1,2,2,1,3,0,0,0,1,1,5,0,3,3,0,0,0,1,0,3,0,2,2,0,1,1,4,1,0,0,2,2,1,0,0,1,3,2,2,1,0,1,2,0,4,0,1
107,0,1,0,0,2,0,6,2,2,0,3,1,0,0,1,1,0,1,1,0,1,1,1,2,3,6,0,1,0,0,7,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1
108,1,1,4,1,3,0,6,4,0,0,3,0,1,1,0,2,0,1,4,1,1,0,1,1,4,3,2,6,0,0,1,1,0,1,2,3,1,0,1,2,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,2,1,1
109,3,1,0,1,0,5,2,0,3,2,6,2,1,3,1,2,1,2,1,0,3,4,6,2,4,1,1,0,0,3,4,1,0,0,0,1,11,1,0,6,6,3,1,0,8,1,0,1,0,2,2,0,2,2,0,0,4,0,0,3,1
