,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
69,3,1,1,6,13,2,6,9,7,3,5,2,0,6,4,5,7,2,1,1,1
70,5,1,4,7,13,1,2,5,3,2,3,1,0,10,3,2,11,3,0,8,1
71,2,1,4,3,5,2,2,7,1,0,5,2,0,8,7,2,7,1,1,2,1
72,3,1,9,1,14,0,1,12,6,0,1,2,1,11,8,2,7,2,1,0,1
73,6,0,1,6,5,1,4,1,4,2,3,3,1,6,2,1,6,0,1,1,1
74,4,0,3,5,15,0,3,4,5,1,0,3,1,6,4,1,5,7,1,4,1
75,5,0,5,7,11,0,9,4,2,4,1,1,2,6,1,2,6,3,1,7,1
76,4,1,3,4,10,0,3,7,1,3,1,2,0,8,1,3,4,6,1,4,1
77,2,0,0,4,9,0,4,4,5,6,2,2,0,9,3,1,2,9,1,2,1
78,5,1,6,5,20,0,4,6,5,5,1,3,0,2,2,5,3,7,0,3,1
79,4,3,8,4,19,1,4,8,5,6,2,2,0,9,1,1,4,6,1,5,1
80,2,0,4,8,7,0,5,12,4,4,3,1,0,4,3,1,1,2,0,1,1
81,4,1,2,4,10,2,3,6,5,1,2,1,0,10,1,1,6,3,1,2,1
82,5,1,2,3,11,1,5,11,4,2,3,0,0,8,0,0,2,5,3,4,1
83,5,1,3,3,9,1,3,8,6,3,1,3,1,8,3,0,9,5,2,1,1
84,5,5,8,3,8,3,9,9,4,4,2,4,3,10,2,3,7,7,2,4,1
85,6,5,14,7,17,4,21,8,11,18,9,14,5,12,6,18,13,16,6,26,1
86,13,8,2,7,12,11,4,4,9,6,3,2,12,7,10,5,9,6,5,4,1
87,2,10,9,9,10,9,6,10,4,6,6,6,7,1,7,8,5,7,11,3,1
88,4,9,10,5,7,5,5,7,9,2,2,4,0,5,6,2,7,4,0,7,1
89,8,4,13,11,10,7,9,11,8,10,2,2,7,14,7,6,17,14,5,10,1
90,2,1,14,9,3,1,11,12,4,10,3,4,1,8,4,5,6,1,1,9,1
91,4,6,12,7,6,4,6,6,7,6,5,5,3,4,6,9,7,3,1,13,1
92,8,4,20,16,3,4,9,19,13,17,12,1,6,14,14,11,11,4,7,8,1
93,4,1,17,5,6,0,6,5,5,7,1,7,0,8,3,3,8,1,1,12,1
94,11,1,10,5,25,2,7,5,9,10,11,4,4,8,17,4,5,12,4,14,1
95,3,2,2,4,8,3,5,4,5,4,2,2,2,6,9,2,5,0,1,1,1
96,7,4,2,9,3,0,5,9,6,5,3,1,3,7,3,1,3,1,2,2,1
97,9,3,2,3,9,5,6,8,4,3,8,2,0,6,5,2,4,3,1,2,1
98,6,13,1,7,13,10,6,7,5,4,8,3,10,4,5,6,8,11,10,5,1
99,6,3,6,3,7,11,9,10,5,7,7,1,8,6,6,2,9,7,4,4,1
100,9,6,10,2,15,2,10,3,9,9,3,2,11,10,3,13,5,3,3,1,1
101,8,7,6,8,12,3,4,7,7,6,9,3,11,9,9,13,6,3,7,2,1
102,5,3,6,3,13,8,6,4,15,3,7,2,7,9,6,4,8,7,1,6,1
103,4,6,2,5,6,5,10,16,9,11,10,10,5,9,5,3,6,5,4,6,1
104,1,4,0,7,7,3,11,16,5,5,13,5,4,13,9,6,5,3,3,1,1
105,5,5,2,12,6,4,7,20,4,3,8,1,3,12,14,4,10,3,5,3,1
106,4,4,4,7,7,2,2,10,2,6,2,0,3,9,4,4,1,1,3,6,1
107,1,0,2,2,11,1,2,8,1,2,6,3,0,2,2,2,3,2,0,2,1
108,0,2,3,6,4,3,5,10,2,1,7,1,2,8,4,3,10,1,0,2,1
109,3,0,21,1,10,0,6,6,5,6,9,5,2,7,3,13,3,2,1,16,1
110,2,7,2,5,8,6,1,9,3,2,5,2,2,6,3,1,6,2,3,6,1
111,9,1,8,9,4,1,6,9,6,13,4,10,1,8,6,9,5,3,2,14,1
112,0,6,4,10,11,3,3,8,1,3,2,3,2,7,5,2,4,3,1,2,1
113,12,2,13,12,7,12,8,5,13,4,17,9,0,12,16,14,5,5,4,9,1
114,6,7,5,2,9,12,3,4,10,4,3,1,3,12,3,14,7,1,2,1,1
115,5,2,18,2,1,2,8,0,3,8,8,17,0,2,2,9,1,0,1,5,1
116,4,1,6,0,10,6,5,6,9,3,1,2,3,6,12,11,6,1,6,2,1
117,4,1,15,0,3,1,8,1,3,6,13,17,0,1,0,6,1,0,0,7,1
118,4,4,2,3,11,1,5,4,12,4,1,3,5,8,1,7,15,4,2,3,1
119,5,3,5,5,10,4,5,6,10,7,4,6,5,13,6,10,7,6,5,2,1
120,0,2,0,0,0,0,1,1,0,4,0,0,0,0,1,0,4,0,0,0,2
121,1,0,0,0,0,0,0,0,1,0,0,0,1,2,11,0,3,19,1,0,2
122,1,9,0,1,0,1,9,1,0,9,3,0,3,2,0,1,7,1,2,0,2
123,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,6,2,0,0,2
124,1,1,0,1,0,0,0,2,1,0,0,0,0,0,5,0,3,1,0,0,2
125,6,10,4,3,52,106,6,2,5,2,24,8,1,2,44,12,1,19,1,5,2
126,3,3,18,5,3,4,12,4,5,7,9,3,9,2,1,6,4,4,4,5,2
127,0,3,1,0,0,2,8,2,1,5,1,0,1,0,18,13,0,1,3,10,2
128,12,8,11,0,15,7,14,8,33,17,5,1,11,6,23,8,4,17,15,11,2
129,6,13,2,5,11,29,3,7,7,6,15,5,13,4,24,7,2,9,4,5,2
130,3,8,6,4,12,22,8,8,14,10,8,2,7,1,21,9,2,9,5,7,2
131,4,3,2,1,3,18,3,9,5,6,8,2,8,3,20,5,3,4,5,5,2
132,15,2,23,2,11,2,5,4,5,0,17,13,0,8,12,9,10,1,7,11,2
133,1,0,1,0,0,1,0,1,1,0,0,0,1,2,3,0,5,1,1,2,2
134,5,2,78,1,4,7,2,0,9,4,11,8,2,3,30,11,1,3,5,4,2
135,3,1,1,5,8,4,6,4,2,6,1,4,2,0,13,1,0,1,1,3,2
136,4,3,2,2,1,3,5,7,4,3,0,4,1,15,8,1,18,6,2,0,2
137,2,1,0,1,0,12,1,0,2,0,2,0,2,0,2,0,1,0,1,0,2
138,4,2,9,1,3,22,2,4,2,0,13,6,1,2,14,3,3,1,7,6,2
139,8,6,6,4,14,26,9,4,10,13,12,6,11,3,14,15,10,7,8,5,2
140,2,9,8,2,30,28,3,3,5,2,17,3,7,2,16,36,4,8,3,12,2
141,9,1,2,2,14,4,3,3,10,3,13,2,3,4,2,3,1,0,4,0,2
142,4,4,2,1,11,5,3,4,5,3,15,2,2,3,23,5,7,15,1,15,2
143,8,6,10,6,24,19,9,6,8,7,16,6,4,5,16,19,7,13,12,1,2
144,1,1,0,1,3,0,2,4,0,2,5,0,1,1,7,0,1,5,1,0,2
145,2,5,0,2,0,23,3,1,4,6,4,4,4,2,14,12,1,6,6,5,2
146,1,1,1,2,11,16,0,0,1,0,0,0,0,2,12,0,3,0,1,0,2
147,19,0,5,2,11,1,4,0,16,6,19,1,0,3,4,4,3,11,1,9,2
148,11,14,7,18,5,33,9,24,18,16,27,19,12,12,14,5,12,1,8,5,2
149,17,1,11,13,6,4,14,11,14,9,53,10,1,5,19,0,4,0,4,27,2
150,6,2,7,1,12,5,3,3,13,3,4,2,1,10,1,2,11,4,4,3,2
151,8,2,16,6,13,0,5,4,18,8,1,0,4,37,5,6,39,24,5,53,2
152,19,57,223,25,32,24,44,22,42,36,38,16,19,5,64,25,15,11,23,82,2
153,13,7,41,13,10,11,45,18,17,34,11,19,10,8,54,7,21,8,11,44,2
154,12,21,3,18,2,25,19,16,14,19,40,16,37,8,10,21,3,0,22,3,2
155,7,6,7,5,17,22,3,10,1,3,4,5,9,1,19,14,3,12,13,7,2
156,12,4,2,5,11,2,8,7,9,3,16,6,6,11,12,0,8,12,2,0,2
157,0,1,0,1,2,1,0,2,1,0,0,0,0,1,8,0,1,7,0,0,2
158,8,1,8,4,24,3,6,12,12,8,1,9,10,11,17,9,12,73,13,93,2
159,0,1,1,3,0,1,0,1,3,1,0,0,1,0,0,1,2,0,1,1,2
160,11,9,3,7,8,2,5,11,14,1,8,4,1,3,14,2,5,3,6,2,2
161,2,2,1,0,0,0,0,1,2,0,1,0,1,0,13,1,1,0,1,0,2
162,7,4,17,2,4,6,10,5,11,10,6,8,6,10,17,8,8,2,5,3,2
163,13,11,3,5,21,12,7,3,7,10,19,4,6,6,10,7,7,13,13,8,2
164,2,1,0,1,1,1,2,1,2,0,6,3,1,1,15,0,1,7,1,0,2
165,4,0,7,2,6,1,11,2,5,10,19,5,2,3,1,12,1,2,0,36,2
166,2,7,2,1,1,4,1,1,1,1,2,2,1,1,6,1,4,4,2,0,2
167,9,8,14,5,9,17,6,10,9,3,5,5,7,8,18,4,10,8,5,1,2
168,1,0,0,1,0,1,0,0,2,1,4,1,1,1,28,2,3,2,0,14,2
169,3,0,1,0,1,1,1,1,1,1,0,0,1,2,4,0,2,4,1,0,2
170,1,3,0,1,6,0,0,8,1,0,0,0,0,2,9,1,3,2,2,1,2
171,1,1,0,0,2,11,3,0,2,1,3,2,0,1,26,2,0,0,1,0,2
172,17,10,5,3,36,125,4,10,12,14,62,8,8,5,14,10,5,2,7,9,2
173,2,8,3,6,1,4,1,6,2,4,5,9,8,2,4,4,0,1,3,0,2
174,2,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,4,32,1,1,2
175,4,8,15,8,1,3,10,5,42,10,0,4,4,33,2,3,34,27,4,14,2
176,0,1,2,2,0,4,0,1,2,0,1,0,1,1,6,1,3,38,1,1,2
177,6,5,2,1,4,10,2,6,5,3,3,4,5,3,1,0,4,2,5,0,2
178,0,0,0,23,14,0,14,34,0,20,0,0,1,1,23,0,2,22,1,0,2
179,3,3,1,0,3,4,0,0,1,0,3,4,1,1,20,0,1,2,2,0,2
180,0,9,1,17,1,2,23,24,2,26,5,5,10,10,15,2,8,1,9,3,3
181,11,4,2,22,5,9,13,24,13,13,13,13,7,17,18,9,8,3,9,2,3
182,9,7,13,8,6,14,26,8,8,28,22,19,4,14,6,13,8,3,9,14,3
183,2,1,8,10,4,0,10,11,6,15,1,15,5,8,12,4,6,5,5,3,3
184,11,13,24,16,16,43,22,30,36,23,9,3,19,32,11,10,33,4,13,21,3
185,18,2,25,10,10,6,47,18,25,36,11,32,14,8,12,10,11,5,15,12,3
186,21,7,8,21,3,2,27,27,22,19,12,23,17,17,28,11,8,4,21,4,3
187,8,8,7,20,9,9,9,19,12,6,6,13,9,11,18,9,11,3,14,14,3
188,21,6,35,24,12,2,37,21,43,33,9,2,13,53,18,2,48,21,6,11,3
189,3,3,1,3,0,7,15,7,3,20,5,20,2,5,16,11,4,1,6,12,3
190,11,3,16,18,2,8,27,10,16,27,7,32,10,20,5,8,19,3,7,10,3
191,5,3,4,10,15,9,6,28,10,11,3,2,14,16,19,8,10,12,7,12,3
192,9,15,9,9,40,4,13,30,7,12,17,10,6,22,16,5,17,26,10,25,3
193,18,26,12,20,17,23,23,40,22,28,14,23,33,30,23,17,25,7,24,20,3
194,25,6,11,20,22,3,54,19,37,46,12,23,9,27,12,13,23,8,15,14,3
195,24,2,15,22,8,5,32,24,29,13,12,18,8,2,21,7,2,0,9,0,3
196,7,4,7,8,12,11,13,12,10,26,22,6,4,15,7,8,18,8,3,21,3
197,1,7,10,5,8,21,28,11,4,32,18,13,22,9,9,11,4,4,16,8,3
198,12,4,9,12,4,5,22,26,11,20,14,14,7,21,13,7,17,3,8,16,3
199,8,1,9,13,7,5,28,25,6,33,6,21,5,12,16,14,10,2,14,12,3
200,17,1,18,16,3,4,48,12,28,37,6,32,10,25,18,4,12,3,15,10,3
201,1,4,5,11,11,8,25,17,12,31,11,11,6,27,10,5,22,6,4,9,3
202,7,16,7,17,8,25,20,27,13,20,30,11,19,8,20,16,4,3,12,18,3
203,6,15,2,2,11,17,12,14,5,7,21,5,10,12,19,6,11,14,4,9,3
204,14,6,33,21,11,3,17,18,17,26,22,21,10,25,7,14,12,3,15,12,3
205,12,3,12,17,13,4,33,15,21,28,13,11,12,33,15,8,24,7,10,7,3
206,16,0,10,23,13,7,24,32,26,28,23,33,9,21,24,9,17,2,5,20,3
207,8,21,3,15,4,25,14,26,5,12,11,5,13,17,25,2,7,3,12,4,3
208,15,3,23,14,4,4,32,20,32,32,7,15,9,34,1,2,26,3,10,11,3
209,5,8,16,12,11,6,18,19,18,17,6,13,5,18,8,11,10,10,11,11,3
210,7,11,8,15,9,13,18,23,9,20,14,14,10,15,21,6,14,9,18,6,3
211,14,8,11,13,8,17,26,27,12,18,17,20,12,19,26,11,11,11,14,5,3
212,10,11,13,13,28,9,22,17,6,24,17,16,11,14,12,24,18,8,17,24,3
213,9,17,2,21,17,23,20,32,9,25,12,7,12,24,29,14,12,6,10,1,3
214,13,10,22,18,5,20,23,19,18,14,27,23,2,11,4,9,10,4,7,8,3
215,3,4,6,9,3,36,26,7,7,22,9,9,9,9,7,4,16,4,10,10,3
216,4,14,8,4,4,34,22,3,6,28,16,15,13,11,7,3,11,6,4,8,3
217,17,10,20,13,13,10,29,18,14,24,16,11,7,19,12,12,19,16,12,19,3
218,1,1,0,9,5,1,15,10,0,15,5,13,8,3,14,3,1,1,3,8,3
219,21,3,24,18,8,5,39,27,21,34,11,25,8,14,9,4,13,5,14,9,3
220,14,15,9,17,5,5,12,23,7,24,16,24,15,23,11,2,12,5,8,8,3
221,9,6,11,11,9,10,27,9,14,17,7,35,8,10,18,9,13,2,6,10,3
222,7,6,4,12,23,13,9,16,8,11,8,2,6,17,21,10,19,23,5,17,3
223,7,13,9,8,2,3,24,14,3,23,13,14,7,8,10,11,15,5,9,9,3
224,5,2,11,14,6,1,24,9,12,25,21,17,4,24,4,4,12,4,9,13,3
225,17,0,7,6,6,4,17,24,17,14,6,9,4,15,13,0,15,2,1,6,3
226,5,6,8,12,13,9,23,8,6,25,32,11,6,12,8,6,10,12,9,6,3
227,9,12,5,7,12,60,12,12,8,15,31,10,12,6,18,4,8,6,11,1,3
228,11,6,10,15,8,3,13,29,12,7,6,6,5,21,17,3,19,11,4,6,3
229,4,1,4,2,11,4,10,26,5,6,5,2,6,8,18,3,7,3,4,2,3
230,2,3,2,13,6,6,25,24,3,16,11,8,21,18,30,7,18,11,20,6,3
231,3,23,4,13,18,43,19,29,20,19,12,6,8,13,22,5,9,9,14,10,3
232,7,3,3,9,10,1,9,8,8,4,1,4,2,13,6,0,11,7,3,1,3
233,6,17,6,14,7,12,15,25,16,14,15,9,14,13,18,19,9,7,7,7,3
234,6,14,18,7,7,26,12,18,9,19,13,21,11,13,19,7,5,6,20,18,3
235,4,5,2,4,4,2,3,27,9,4,2,3,4,6,8,1,3,1,5,1,3
236,5,13,2,23,6,37,22,24,8,17,12,2,13,17,21,3,14,1,19,5,3
237,19,14,3,5,12,10,1,15,21,2,3,0,5,21,7,5,24,17,7,1,3
238,10,14,5,22,33,18,7,20,12,12,6,11,3,15,23,5,12,36,9,20,3
239,4,9,16,10,22,7,23,10,12,21,8,14,13,31,18,13,31,19,10,22,3
