,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
17,3,7,1,2,7,5,8,5,6,8,21,3,0,10,1,5,7,9,14,11,3,5,37,11,4,9,6,7,20,10,0
18,3,17,12,2,9,3,6,8,3,1,17,4,8,5,13,11,18,7,4,1,13,5,7,5,13,6,1,13,6,3,0
19,4,4,2,3,6,9,7,2,10,4,9,12,1,8,6,6,7,3,11,10,6,13,12,5,5,8,5,11,14,11,0
20,7,7,3,3,6,7,4,7,6,1,23,12,2,9,2,13,18,6,19,12,14,8,9,8,10,8,5,6,4,9,0
21,8,12,4,4,5,6,1,2,7,1,17,6,8,4,7,5,9,5,11,10,15,6,3,3,5,9,0,11,4,1,0
22,2,38,2,0,0,2,4,0,1,0,3,7,5,3,2,4,4,4,1,3,1,4,2,2,0,2,2,4,0,0,0
23,8,13,1,1,4,0,2,2,3,1,17,5,0,4,3,9,9,0,5,6,1,3,8,7,2,7,3,7,6,0,0
24,2,53,2,1,0,2,8,6,1,0,2,9,7,2,8,2,5,2,7,7,6,6,3,5,4,0,0,5,2,0,0
25,5,6,2,1,11,1,1,4,3,1,18,6,1,7,6,7,13,8,8,5,14,3,15,22,5,10,2,7,15,1,0
26,2,2,0,3,8,4,5,3,3,0,16,2,2,10,3,7,11,8,3,2,12,4,7,10,8,4,1,13,13,3,0
27,7,5,0,1,3,0,6,10,7,1,11,4,8,4,5,7,14,1,5,16,2,3,21,13,5,8,5,6,13,4,0
28,5,12,1,4,2,2,4,1,3,0,17,2,4,3,11,6,11,1,8,13,5,4,18,16,4,2,5,8,9,2,0
29,7,3,5,3,7,2,17,6,3,4,14,7,2,9,5,6,4,10,5,4,3,4,8,10,10,8,3,11,11,12,0
30,8,47,19,11,14,13,5,4,5,9,15,15,35,16,35,13,18,19,0,17,27,17,2,4,16,1,6,10,2,19,0
31,7,0,1,1,10,2,2,0,5,5,13,10,1,8,1,10,9,7,6,5,7,5,5,13,9,3,6,6,12,2,0
32,9,7,6,9,1,10,11,5,4,5,7,7,9,3,11,8,3,7,3,15,4,9,2,16,10,9,3,6,15,3,0
33,2,7,2,0,3,1,0,5,2,9,16,5,2,3,3,2,5,2,5,5,5,7,6,6,3,2,5,11,5,2,0
34,3,6,5,8,5,3,6,6,6,11,8,4,2,8,1,5,6,6,17,6,10,6,8,9,14,11,4,9,14,8,0
35,2,11,6,1,5,6,7,4,1,2,11,8,11,5,9,8,10,9,5,6,12,7,2,15,13,2,3,4,5,4,0
36,4,2,6,5,3,7,2,4,5,1,10,7,5,2,12,3,8,2,15,22,13,10,6,17,7,6,7,13,4,4,0
37,1,1,2,5,3,2,1,2,0,1,5,2,1,0,1,2,3,3,1,0,2,1,1,9,3,7,1,4,1,4,0
38,11,23,3,3,4,8,8,5,3,5,15,8,3,4,3,10,4,1,9,6,3,6,4,14,5,8,6,15,14,13,0
39,6,15,10,2,5,6,6,5,3,10,11,5,11,10,5,8,18,6,17,6,11,8,7,10,6,8,5,11,19,0,0
40,5,1,3,8,15,8,6,8,2,3,10,6,16,8,9,8,7,12,5,9,19,12,2,9,2,5,3,7,0,6,0
41,9,22,6,2,2,8,14,5,1,5,17,6,5,8,0,6,7,4,11,13,5,7,13,9,8,10,2,10,17,4,0
42,2,16,4,3,0,2,3,1,3,1,18,1,5,3,4,7,9,0,1,10,3,3,4,11,4,3,4,4,2,0,0
43,5,7,3,5,6,17,9,7,5,0,14,14,18,8,10,7,6,3,9,9,10,13,12,6,9,5,1,4,11,7,0
44,9,7,5,7,10,10,11,4,4,7,14,7,14,19,6,7,7,10,3,7,7,14,18,17,5,6,7,8,13,12,0
45,3,24,2,2,2,8,14,9,6,3,14,6,5,3,9,6,6,7,13,9,8,7,4,8,2,23,4,7,15,2,0
46,6,4,3,0,8,4,2,4,1,5,12,8,6,4,4,3,12,9,12,9,1,6,15,12,6,9,3,9,13,4,0
47,3,6,2,1,7,4,8,2,4,8,11,7,7,4,6,3,5,6,6,4,8,6,4,10,2,4,4,11,12,9,0
48,1,8,14,10,9,11,5,3,3,6,11,16,22,22,27,18,17,22,1,12,22,13,0,1,11,0,1,9,2,2,0
49,4,2,8,5,3,3,7,7,6,2,8,5,8,4,7,9,5,3,5,9,3,6,6,10,9,6,3,7,7,9,0
50,0,27,4,9,9,7,7,6,3,5,11,2,4,7,7,12,14,11,13,8,7,4,8,4,9,6,6,5,6,5,0
51,5,15,3,3,2,4,10,9,7,2,13,12,7,4,4,7,4,3,15,14,6,6,14,8,7,5,5,9,13,11,0
52,6,1,1,5,5,5,8,9,5,4,15,13,6,5,3,3,6,4,7,9,15,5,7,15,7,9,5,17,19,6,0
53,12,25,3,7,9,6,7,5,12,1,10,7,5,10,5,6,11,8,14,9,9,7,17,14,2,13,11,12,13,1,0
54,8,1,0,0,2,2,4,5,1,5,12,7,2,2,0,6,1,5,4,2,1,0,12,17,6,12,5,8,20,2,0
55,7,9,7,6,4,4,7,6,9,6,18,8,8,7,7,5,7,3,8,15,5,5,5,9,3,1,9,12,10,1,0
56,6,14,3,4,0,2,3,3,0,4,23,2,3,4,2,14,8,8,9,7,3,3,6,13,17,14,8,7,8,6,0
57,6,12,2,2,4,7,5,10,4,1,19,7,2,3,7,4,12,6,8,2,13,8,10,10,10,3,7,15,13,4,0
58,18,2,4,3,7,3,3,10,6,5,11,10,1,8,4,6,13,9,7,4,11,9,5,7,8,3,4,14,6,6,0
59,5,10,3,4,4,4,4,10,6,2,1,6,10,11,3,3,6,6,1,1,10,3,6,7,4,1,3,4,2,2,0
60,5,0,0,2,1,2,6,3,1,2,2,3,1,2,0,3,2,5,0,0,6,4,0,1,1,0,0,8,6,7,1
61,4,2,0,2,3,5,8,2,1,0,3,3,1,2,0,5,0,4,2,1,7,3,0,1,2,1,0,3,1,5,1
62,3,1,1,2,2,8,6,4,1,0,1,9,0,5,2,5,2,6,0,0,8,8,1,1,2,4,1,4,7,5,1
63,2,0,0,3,3,3,4,3,2,2,0,8,0,1,0,3,4,5,3,0,11,10,0,1,2,1,1,4,5,4,1
64,4,0,0,3,0,3,5,3,1,1,0,3,0,3,0,4,3,4,1,1,9,6,0,2,1,2,1,2,4,5,1
65,6,0,1,3,4,8,9,5,1,3,1,3,3,2,2,3,2,1,1,1,4,2,3,1,3,3,1,2,1,4,1
66,3,0,0,0,1,4,4,2,0,0,0,3,0,2,0,3,1,2,0,1,6,5,0,3,4,5,0,1,3,6,1
67,4,0,0,0,2,5,3,3,1,2,1,3,2,4,0,2,4,5,2,1,6,8,1,0,3,1,0,2,1,7,1
68,5,1,0,3,0,3,2,2,1,0,2,4,0,4,1,6,2,4,6,0,5,4,1,2,1,1,0,6,4,12,1
69,5,1,0,0,2,3,2,7,1,0,1,7,0,3,0,4,5,5,1,2,10,3,4,3,1,1,2,4,2,5,1
70,5,1,1,0,1,2,7,5,1,2,1,7,0,1,1,3,2,3,4,0,7,7,2,5,4,4,1,2,1,4,1
71,3,1,1,0,2,3,3,3,2,1,1,6,0,0,1,1,6,2,1,0,3,3,2,4,0,0,2,6,0,5,1
72,5,0,1,0,2,5,4,10,3,2,1,8,0,0,0,5,2,0,1,1,11,2,0,1,2,0,3,5,2,6,1
73,2,0,0,0,1,4,1,2,2,0,3,5,2,3,0,2,3,2,0,0,5,5,1,3,4,0,1,0,0,3,1
74,7,0,0,0,0,2,3,8,1,2,0,4,0,1,0,3,1,3,1,0,5,5,0,4,3,2,0,4,4,9,1
75,6,0,0,2,1,4,4,3,2,4,0,5,1,4,0,2,1,2,5,0,8,3,1,4,4,2,1,1,1,6,1
76,2,1,1,1,1,4,5,4,3,1,2,5,1,3,2,1,0,1,2,0,6,3,2,5,3,2,2,0,2,1,1
77,4,0,2,0,2,3,2,6,1,2,2,6,3,4,0,1,1,2,0,0,3,1,1,3,2,3,1,2,7,1,1
78,10,0,1,0,2,4,3,11,1,0,0,1,0,2,1,3,1,2,2,0,7,3,3,4,5,1,3,4,7,2,1
79,4,0,0,0,1,7,4,9,5,1,0,5,2,4,0,2,1,4,5,3,8,4,0,6,4,2,2,1,8,1,1
80,3,0,0,0,1,5,1,5,3,1,2,4,3,2,0,2,3,5,0,0,8,5,2,1,1,1,0,2,0,2,1
81,3,0,0,0,1,5,3,7,2,0,0,4,2,1,2,3,4,1,1,1,1,6,1,3,3,1,1,2,3,4,1
82,5,1,0,0,0,4,3,5,3,2,0,8,1,2,3,3,3,3,2,0,5,4,0,2,2,1,3,0,3,2,1
83,6,1,1,1,2,4,6,6,0,1,1,8,0,4,1,2,0,4,1,0,4,5,0,3,2,1,1,3,3,4,1
84,5,0,1,0,2,4,7,2,3,4,0,7,7,3,4,3,2,3,2,2,6,5,2,5,3,3,5,3,3,6,1
85,13,4,2,4,11,10,12,10,6,8,5,6,2,10,5,2,5,14,14,1,5,6,12,7,4,15,12,2,13,16,1
86,7,0,4,8,1,5,7,5,5,2,2,5,5,4,7,9,1,3,1,8,2,4,3,7,7,7,2,7,4,7,1
87,5,4,9,4,3,4,3,4,6,2,4,4,6,7,10,4,5,5,2,4,3,9,2,2,1,2,6,5,5,6,1
88,3,0,0,0,2,1,4,4,5,8,1,3,2,3,7,3,2,4,3,5,9,5,1,2,3,1,1,5,3,10,1
89,5,1,4,4,2,5,17,6,4,5,6,14,9,5,3,6,2,4,6,3,7,9,6,5,6,4,4,2,11,10,1
90,4,0,1,0,3,3,7,4,3,8,2,5,2,6,1,0,4,5,7,1,10,7,3,0,1,3,5,3,2,9,1
91,3,1,0,1,5,1,7,3,4,6,1,4,5,5,3,3,5,3,8,4,6,7,5,2,5,3,6,5,2,7,1
92,1,2,6,5,1,9,5,5,7,14,9,13,6,11,3,9,9,4,6,2,12,14,4,1,5,1,10,5,7,15,1
93,4,0,0,1,4,2,7,3,7,7,1,5,1,4,1,4,1,4,7,0,6,3,1,1,3,3,8,2,1,9,1
94,17,2,4,5,6,0,5,8,5,6,15,3,0,4,0,9,10,2,15,2,5,1,4,12,6,2,1,4,10,5,1
95,3,0,1,0,2,3,2,4,1,2,4,6,3,3,2,3,2,4,1,2,4,4,1,2,3,0,0,5,0,3,1
96,3,1,2,2,1,5,2,4,0,1,3,6,3,3,4,3,2,4,2,0,8,5,0,1,6,0,1,2,1,1,1
97,5,3,1,1,2,5,2,4,2,4,2,5,1,2,2,2,6,4,2,3,3,4,2,4,5,1,0,3,2,3,1
98,4,3,10,6,2,2,8,3,8,3,4,5,11,4,9,5,6,4,4,3,1,7,2,7,4,0,0,4,4,9,1
99,1,6,3,7,0,2,10,8,2,1,3,2,3,6,3,3,1,6,3,5,9,2,0,4,6,2,4,4,5,10,1
100,6,0,3,10,2,5,0,5,11,6,1,6,4,6,4,1,3,9,1,2,1,4,2,9,7,0,6,1,3,11,1
101,6,0,5,10,1,2,7,3,6,2,7,8,3,6,3,5,5,3,1,7,6,7,3,4,7,1,6,1,3,12,1
102,8,3,1,4,0,5,5,9,5,1,5,6,3,2,3,8,5,5,2,6,2,2,2,3,4,5,3,4,7,5,1
103,3,3,3,5,5,9,6,6,2,7,1,7,4,8,5,8,8,8,3,2,7,4,1,2,4,1,4,6,2,3,1
104,6,4,2,5,5,6,4,2,2,7,6,10,2,4,3,5,8,8,0,2,8,7,3,2,0,1,2,2,4,1,1
105,3,0,3,1,1,7,4,7,5,1,6,13,3,2,6,2,5,3,0,1,11,10,3,2,6,3,2,11,6,4,1
106,2,1,2,4,0,5,1,2,5,0,3,7,1,3,4,4,2,1,7,0,10,3,2,2,4,0,2,2,0,2,1
107,2,0,0,0,4,2,1,3,0,0,1,4,0,1,0,1,5,2,2,0,6,2,2,6,1,1,1,2,2,1,1
108,2,1,0,0,0,2,2,3,0,1,3,6,4,1,4,1,4,5,2,1,11,7,3,1,0,0,0,3,2,5,1
109,4,0,1,3,5,0,4,3,5,6,2,5,0,5,1,3,6,4,14,0,3,1,10,4,3,6,7,0,1,13,1
110,1,1,1,1,1,2,2,7,1,2,3,8,4,1,7,1,5,1,5,1,8,4,0,3,1,0,2,5,2,1,1
111,5,2,2,2,7,1,3,2,5,6,1,6,2,9,1,6,4,3,6,1,6,8,7,2,10,6,6,2,2,5,1
112,6,0,0,0,2,3,4,5,3,2,2,8,4,1,3,0,2,3,2,2,7,7,1,5,0,0,0,2,2,4,1
113,6,9,2,2,6,0,4,2,3,11,19,10,1,2,1,11,14,3,8,4,3,9,10,3,9,1,11,1,4,10,1
114,7,8,2,2,0,1,3,3,6,1,0,8,5,3,5,7,2,2,2,5,6,0,6,3,5,0,5,1,4,7,1
115,1,2,1,3,14,0,3,2,5,7,0,2,4,5,1,1,7,3,5,0,3,2,5,0,5,1,6,1,0,5,1
116,3,1,3,3,2,4,2,4,4,2,4,1,2,4,1,7,2,5,2,3,4,3,5,6,4,0,7,3,3,6,1
117,1,8,0,0,12,0,5,2,4,7,0,0,2,4,1,3,5,2,5,0,1,1,4,2,5,1,6,0,0,6,1
118,7,0,1,5,3,7,10,8,3,1,1,6,1,4,4,5,0,3,1,1,2,6,2,3,3,2,3,0,2,5,1
119,5,1,3,3,7,5,6,9,4,1,3,10,1,6,3,6,2,4,1,4,5,6,2,2,3,2,8,1,6,5,1
120,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,3,2
121,0,0,1,0,0,0,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,8,20,0,2
122,1,0,2,2,0,0,2,0,0,3,0,3,1,7,3,0,3,9,0,6,0,2,1,0,0,0,0,0,1,4,2
123,1,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,2
124,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,2,1,0,2
125,7,109,1,0,8,0,4,12,9,2,17,1,3,0,10,3,9,4,1,5,12,1,5,38,5,8,4,19,15,1,2
126,0,0,3,6,3,1,0,4,5,15,0,1,3,2,3,3,8,2,2,4,3,4,1,1,3,4,6,1,4,19,2
127,0,0,1,1,0,0,0,1,2,5,9,0,0,2,2,0,1,5,9,3,3,0,12,0,0,1,4,7,1,0,2
128,11,0,10,4,1,10,3,9,9,42,8,5,9,5,5,8,5,1,2,5,2,1,1,9,5,4,9,14,17,12,2
129,4,28,3,7,2,14,1,6,2,2,10,0,8,2,6,4,5,3,5,14,7,4,5,5,4,2,3,9,9,3,2
130,5,11,4,6,1,12,2,4,4,7,11,1,10,5,7,6,3,6,3,7,2,1,10,7,1,4,5,11,9,1,2
131,2,14,4,7,1,11,3,0,2,2,3,0,5,4,3,1,3,3,2,9,3,0,2,6,4,1,4,13,3,2,2
132,3,1,3,2,12,1,5,10,8,2,15,5,0,0,1,5,11,2,12,2,0,3,4,6,13,0,12,4,0,15,2
133,0,0,1,1,0,1,4,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2,2,0,2
134,3,2,4,3,8,0,8,1,5,6,16,0,3,2,2,8,10,2,2,5,3,0,11,2,3,3,9,12,6,51,2
135,2,0,1,1,3,2,0,4,0,1,5,4,0,5,1,1,1,6,2,5,2,5,0,2,3,0,1,7,1,1,2
136,4,0,2,1,3,7,15,5,2,0,6,6,2,2,1,1,0,6,0,3,3,3,0,1,1,0,1,4,10,0,2
137,1,12,1,1,0,0,0,0,0,1,2,0,2,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,2
138,1,19,6,4,3,3,1,3,2,1,7,2,0,0,3,2,6,1,3,6,1,1,3,1,3,3,1,10,2,7,2
139,4,10,9,8,2,3,5,6,8,7,4,2,8,9,4,4,11,9,5,14,5,4,6,10,2,2,4,7,8,11,2
140,8,30,1,4,2,2,1,10,14,1,9,0,6,1,4,3,6,1,10,12,2,2,25,14,4,4,8,6,8,2,2
141,8,1,2,3,1,1,1,2,2,2,0,2,4,3,0,8,11,2,0,1,2,2,1,9,5,1,4,2,0,3,2
142,2,5,0,1,2,5,6,3,2,4,10,1,2,1,2,1,8,1,9,3,5,1,4,7,2,9,5,14,13,2,2
143,4,2,10,2,5,6,1,6,7,9,6,6,8,2,4,3,16,6,1,13,4,8,14,15,7,0,9,9,12,7,2
144,0,0,0,0,0,3,1,0,1,4,4,1,0,0,0,0,5,0,0,1,2,1,0,3,1,0,1,2,5,0,2
145,1,14,3,3,4,2,2,1,4,2,11,1,4,6,2,2,1,2,1,10,0,2,7,0,2,1,4,6,5,1,2
146,0,1,1,0,0,0,2,0,0,0,4,1,0,0,0,1,0,0,0,15,0,3,0,13,1,0,1,7,1,0,2
147,4,0,0,0,1,1,0,4,0,7,4,1,1,1,0,15,19,3,0,0,0,2,4,7,16,9,1,2,9,8,2
148,9,29,9,5,18,18,7,2,5,2,7,10,17,6,11,13,15,9,6,14,15,10,1,2,10,0,5,7,0,8,2
149,6,0,3,1,6,3,2,4,4,3,6,9,5,10,0,12,48,14,27,2,10,12,0,1,15,1,2,12,0,5,2
150,5,1,3,2,0,3,5,11,1,7,0,4,0,0,1,2,5,2,0,6,2,3,1,5,6,2,2,2,4,12,2
151,5,0,4,3,0,12,19,7,3,20,1,33,1,2,1,4,0,1,1,0,0,24,5,8,2,57,3,4,26,8,2
152,19,2,15,9,13,9,5,22,28,148,30,8,13,9,36,12,35,14,4,27,13,8,16,10,11,65,23,41,11,166,2
153,6,2,9,5,15,17,12,14,16,38,30,4,10,16,5,10,9,19,21,5,15,9,1,4,8,18,9,35,6,34,2
154,7,21,18,28,12,9,0,4,12,5,6,5,24,17,12,11,22,12,3,15,16,7,7,0,10,0,16,6,0,4,2
155,10,15,8,8,4,6,4,3,9,1,8,2,7,2,5,2,3,2,5,6,3,1,3,8,5,3,10,14,10,1,2
156,7,0,2,6,6,0,4,9,1,3,7,6,0,2,3,6,17,5,0,3,6,4,0,2,11,0,0,4,12,10,2
157,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,2,2,0,2,0,0,0,7,7,0,2
158,4,0,6,13,6,11,14,2,2,3,14,6,4,3,1,4,2,2,60,0,6,5,5,20,9,42,7,7,70,6,2
159,0,0,1,1,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,0,1,2
160,6,0,5,0,3,6,2,2,5,1,9,5,3,1,3,9,8,2,3,4,0,7,1,5,8,0,5,9,2,5,2
161,0,0,1,1,0,1,0,0,1,4,6,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,6,0,0,2
162,1,0,5,5,8,3,3,5,7,18,10,6,4,4,3,7,6,3,2,5,2,4,2,0,6,0,6,8,2,14,2
163,12,7,11,7,2,5,5,3,7,1,7,4,7,5,7,5,19,5,4,7,2,4,1,12,8,4,3,6,15,0,2
164,0,0,0,1,3,1,0,2,0,0,5,1,0,0,0,0,6,1,0,2,2,1,0,1,2,0,1,10,7,0,2
165,4,0,0,1,4,1,1,2,3,3,0,2,1,8,0,5,20,10,35,0,1,2,10,1,4,2,3,0,3,3,2
166,1,0,0,1,2,1,2,0,0,4,5,1,1,0,6,0,2,0,0,4,1,2,0,0,1,0,1,1,4,4,2
167,2,0,4,7,3,8,2,3,10,5,9,4,6,3,4,5,4,4,0,12,5,7,1,7,6,1,3,14,9,13,2
168,0,0,0,0,0,0,0,0,1,2,18,1,1,0,0,1,4,0,12,0,0,2,3,0,1,2,1,10,2,1,2
169,1,0,1,0,0,1,3,0,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,3,3,2,2
170,0,0,3,0,0,1,1,1,0,0,5,1,0,0,1,1,0,0,0,1,7,2,1,6,1,1,1,4,2,0,2
171,2,9,0,0,2,0,0,3,0,2,9,0,1,0,1,1,2,2,0,1,0,0,2,0,0,0,1,17,0,1,2
172,6,152,7,8,7,3,1,10,4,3,4,8,8,10,8,11,19,4,6,13,7,3,4,26,16,2,4,8,0,4,2
173,1,0,5,4,8,6,0,1,4,2,3,4,2,1,4,3,4,1,0,6,2,3,0,0,2,0,5,1,1,0,2
174,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,1,32,2,2
175,3,0,2,4,2,6,15,4,0,20,2,36,0,8,3,2,0,11,1,8,0,27,1,1,20,11,4,0,33,7,2
176,1,4,0,0,0,1,2,0,2,0,6,0,1,0,2,1,0,0,0,0,0,3,0,0,1,2,1,0,36,2,2
177,2,2,4,4,3,7,2,1,0,3,0,2,2,3,1,1,1,4,0,10,1,1,0,3,5,0,1,3,2,3,2
178,3,0,1,0,1,3,3,6,0,2,1,15,1,11,0,1,0,12,0,0,32,14,0,14,0,0,0,14,21,0,2
179,2,1,3,1,3,0,1,1,1,2,11,1,1,0,3,0,2,0,0,2,0,1,0,1,1,0,0,10,1,0,2
180,3,2,5,5,2,3,1,1,3,1,0,14,9,28,6,1,4,27,2,2,20,16,0,0,0,0,3,14,1,0,3
181,8,3,4,2,10,17,7,6,6,6,6,13,10,11,3,6,8,11,4,3,14,14,6,2,6,0,3,16,3,7,3
182,5,17,9,5,17,5,5,5,7,12,4,9,6,23,6,5,12,15,10,1,8,8,7,3,7,4,9,3,4,8,3
183,2,0,3,4,10,4,7,1,5,5,3,6,1,17,1,4,1,12,2,0,11,6,4,3,2,0,2,6,5,4,3
184,10,34,13,12,2,38,19,12,6,27,3,17,20,13,10,10,2,13,9,5,15,11,4,5,5,9,7,14,5,39,3
185,8,6,11,15,27,18,10,8,8,21,3,6,6,29,2,11,7,35,11,4,11,4,4,5,15,2,15,6,4,15,3
186,7,0,18,13,17,22,7,6,6,8,12,11,8,18,7,16,11,24,4,1,12,16,6,2,17,1,8,15,3,6,3
187,3,6,7,7,11,11,11,4,5,8,7,13,9,3,7,4,5,8,9,6,13,12,3,4,8,2,10,9,3,7,3
188,14,0,7,10,2,19,28,16,10,41,19,32,2,20,6,18,5,14,6,2,12,16,3,2,21,4,8,12,16,52,3
189,0,0,2,3,18,2,1,0,0,5,5,9,2,18,2,2,4,17,13,3,2,5,8,0,2,0,4,15,1,1,3
190,2,1,6,11,26,8,15,5,9,10,4,22,3,24,2,10,7,24,7,0,7,17,4,0,9,2,8,9,6,1,3
191,6,0,5,8,1,16,10,9,8,1,3,16,6,10,2,2,2,7,7,7,17,10,3,7,3,3,6,16,10,3,3
192,16,2,9,6,8,18,17,19,10,5,4,12,9,6,8,1,10,11,14,6,20,5,3,15,7,15,1,13,20,12,3
193,15,7,19,18,23,39,16,17,12,13,7,23,29,19,20,13,4,18,7,6,17,15,10,3,17,5,18,16,6,13,3
194,20,2,6,10,17,15,16,23,12,22,3,15,7,34,6,18,12,32,14,2,19,17,6,4,17,6,9,6,5,24,3
195,10,2,7,9,17,12,1,4,3,11,4,3,3,9,2,25,12,33,0,3,15,17,5,1,17,0,2,13,0,13,3
196,11,19,1,2,5,10,12,4,7,5,4,11,6,17,4,6,5,9,22,3,13,10,2,7,6,0,5,2,8,6,3
197,2,24,14,20,13,9,3,2,6,14,5,9,2,22,7,3,8,15,6,4,11,7,8,3,3,5,4,6,4,2,3
198,3,2,7,6,13,9,10,4,3,6,7,15,6,17,1,6,14,21,14,2,13,17,3,2,12,4,7,9,5,7,3
199,4,2,8,4,17,13,8,6,7,9,5,19,5,26,1,5,5,23,5,2,15,12,8,2,5,3,11,8,3,6,3
200,13,0,11,8,26,5,12,9,10,26,7,14,1,29,1,22,6,33,11,1,16,11,1,1,11,1,12,10,1,10,3
201,8,4,2,9,10,8,9,7,7,9,3,22,4,25,2,10,9,21,10,4,10,13,1,1,2,1,7,4,7,7,3
202,3,24,11,17,10,11,4,4,6,2,5,10,18,23,10,10,12,17,18,6,26,10,8,5,4,2,9,12,3,1,3
203,7,9,4,5,4,7,12,5,1,1,15,7,11,4,18,5,13,7,6,4,6,3,3,6,4,7,3,13,10,2,3
204,10,1,14,10,15,8,11,6,16,11,5,11,2,18,6,12,20,15,10,3,13,16,9,6,14,3,12,5,6,19,3
205,10,0,9,11,9,7,14,8,7,15,4,28,5,24,3,12,9,25,7,0,20,17,5,6,9,4,8,9,6,7,3
206,12,7,7,7,27,11,10,9,8,17,9,17,6,24,0,15,21,17,18,3,30,14,3,8,12,6,3,8,4,9,3
207,3,17,12,11,5,13,3,1,2,6,6,18,14,10,19,2,5,8,3,15,18,13,0,2,4,0,3,15,1,3,3
208,5,0,5,6,12,22,16,6,8,28,0,21,2,21,2,15,7,23,7,3,14,15,0,2,8,1,10,3,2,33,3
209,5,2,8,2,9,14,12,3,12,12,4,11,8,12,8,9,2,10,10,3,10,11,6,4,3,4,8,9,9,13,3
210,6,3,15,13,11,13,6,3,7,6,4,15,6,16,7,13,9,19,5,8,13,10,3,5,5,3,4,15,6,11,3
211,6,5,9,8,15,18,7,4,6,6,12,20,12,18,8,8,12,25,3,4,15,16,5,4,11,2,4,22,9,6,3
212,13,2,15,5,15,5,15,13,12,9,2,11,9,15,10,7,13,16,16,6,17,10,11,11,9,10,13,9,9,6,3
213,6,14,12,5,6,17,8,4,6,0,8,21,10,26,14,9,9,21,2,9,22,19,3,9,7,2,8,11,7,7,3
214,1,19,4,3,14,13,6,7,8,10,2,12,12,10,8,11,14,16,5,8,16,10,7,3,11,2,14,4,3,14,3
215,4,34,5,6,9,5,11,5,3,7,2,9,3,17,4,5,5,17,8,2,10,9,2,1,1,0,10,7,3,6,3
