,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
10,2,1,4,0,1,4,4,2,2,2,0,4,2,3,1,4,5,6,10,1,3,2,0,3,0,1,2,8,1,8,2,3,4,1,4,2,9,1,3,0,0,4,0,12,1,4,0,1,0,2,11,1,6,1,3,2,1,2,6,0,0,2,2,3,3,7,0,2,1,1,1,0,6,1,1,0,7,10,1,0,0
11,2,1,0,2,6,1,0,0,4,1,1,3,1,1,1,2,0,0,14,0,1,0,1,0,0,2,1,0,3,0,0,2,0,2,2,6,2,0,4,2,1,3,1,1,7,0,0,3,0,3,8,0,3,4,3,2,0,3,4,1,4,2,2,0,1,0,6,1,0,3,2,1,0,0,1,0,1,7,3,2,0
12,6,3,10,2,3,0,0,1,9,0,1,3,1,2,2,1,7,3,6,2,5,3,2,5,2,1,2,2,2,5,3,7,10,1,0,6,8,1,4,1,2,3,0,8,2,5,4,4,0,4,7,0,7,1,6,2,1,3,7,0,0,2,0,2,4,2,2,2,6,2,2,1,8,1,3,1,2,8,3,2,0
13,5,4,2,2,3,0,0,1,5,2,4,2,1,1,2,1,2,1,8,0,1,0,1,1,1,5,0,5,4,0,1,2,0,2,6,0,3,2,5,4,0,8,1,3,0,2,1,4,1,2,6,1,14,1,1,4,1,2,3,0,2,3,0,0,2,0,2,0,5,0,5,1,0,0,1,0,1,5,0,5,0
14,2,1,2,3,2,1,7,1,2,2,4,0,3,7,3,6,17,6,2,10,6,8,5,5,6,0,5,3,6,8,6,3,7,4,1,3,6,4,5,3,4,5,4,2,8,7,0,4,5,8,5,1,0,5,1,1,6,2,1,3,1,2,5,3,2,10,1,2,1,3,7,3,17,6,6,6,5,12,2,2,0
15,3,1,4,5,2,1,7,3,7,1,4,4,5,1,5,3,7,5,3,5,0,5,2,2,2,1,5,4,5,1,0,5,0,2,5,1,4,1,4,3,0,0,2,6,1,4,3,4,2,4,5,5,4,3,3,0,5,4,4,1,1,4,6,3,1,3,0,3,6,2,2,5,6,1,3,5,3,5,5,1,0
16,1,1,13,2,2,2,3,1,1,1,1,0,2,0,0,4,21,8,1,6,9,0,3,2,4,1,4,6,1,9,9,3,6,2,0,1,4,0,0,1,0,5,0,4,4,3,0,1,1,0,1,1,2,2,5,1,2,2,3,1,1,2,1,7,1,8,4,4,3,3,4,2,5,3,4,1,4,11,4,0,0
17,1,1,6,5,1,0,3,0,1,2,0,0,1,4,3,1,15,2,0,2,2,6,4,2,3,1,4,8,0,6,17,1,5,2,1,2,2,2,1,1,2,5,2,5,0,1,2,2,1,2,0,1,2,6,1,0,4,1,3,1,0,1,4,4,3,11,0,0,0,1,5,2,13,5,1,5,4,21,4,2,0
18,4,2,4,1,0,1,1,2,1,1,9,5,0,3,4,2,1,1,13,0,3,2,2,0,1,1,1,3,2,2,4,2,1,2,0,6,5,6,7,0,1,8,1,7,6,8,2,7,0,2,10,3,4,1,1,9,0,1,1,0,2,0,4,0,5,3,0,3,1,0,3,2,2,1,4,0,3,11,1,2,0
19,3,3,6,0,1,2,6,2,0,3,5,5,3,1,0,0,11,2,0,2,0,1,3,1,3,0,4,3,4,4,3,8,2,4,5,1,4,4,4,4,0,2,4,3,0,2,4,3,1,1,4,2,1,3,3,1,3,0,8,3,2,1,1,2,0,7,1,3,0,2,2,3,1,0,4,3,5,7,3,2,0
20,4,3,3,4,1,3,2,2,1,1,4,0,2,6,0,3,5,2,1,0,6,4,0,3,2,1,4,5,4,12,10,6,4,4,3,4,6,3,9,2,0,6,4,7,3,4,1,6,2,3,1,2,3,4,5,1,0,5,1,1,0,1,5,3,3,1,1,0,2,2,1,3,3,0,3,5,1,12,3,1,0
21,3,0,7,1,1,2,1,0,3,0,2,6,0,2,3,2,2,2,0,1,2,1,3,3,0,0,4,2,1,5,1,7,1,4,2,2,1,2,11,1,0,0,3,9,0,1,2,3,1,1,2,3,9,0,4,1,0,2,5,1,2,0,1,2,2,4,0,1,6,2,1,2,1,0,3,5,7,12,0,0,0
22,2,3,1,0,1,1,0,0,1,0,3,1,0,0,2,0,1,0,1,0,1,0,0,0,0,3,0,1,2,2,1,2,1,0,1,0,1,1,1,1,0,6,1,0,0,0,3,2,0,1,1,1,29,0,1,1,0,0,1,0,1,0,2,0,1,0,0,0,5,0,0,2,0,0,0,1,3,1,0,4,0
23,0,2,4,0,2,4,0,2,1,0,0,2,0,0,0,0,5,2,1,1,5,0,0,1,0,1,1,2,0,4,1,3,3,1,1,0,9,0,1,2,0,7,2,7,1,1,0,3,0,1,1,0,6,1,6,0,1,1,2,0,3,1,3,0,0,2,1,1,1,0,5,0,2,0,0,2,4,9,1,1,0
24,4,4,0,0,0,1,2,2,1,0,0,4,0,0,1,0,1,0,12,0,0,2,0,1,0,1,0,4,2,4,2,3,0,1,1,1,3,3,1,0,0,8,0,6,3,0,0,2,1,1,8,0,34,2,1,1,0,0,3,0,0,1,0,0,1,0,0,2,4,1,3,1,0,0,2,2,3,1,0,5,0
25,3,0,8,2,1,2,0,1,0,3,5,2,0,1,7,4,15,1,2,1,4,0,4,1,2,0,1,16,0,4,3,6,2,3,5,5,6,1,9,0,0,8,2,0,2,1,0,2,0,0,2,2,0,3,1,1,1,3,5,1,2,1,4,0,3,3,0,1,0,1,10,3,1,1,3,0,3,7,0,1,0
26,3,0,3,0,0,0,0,2,3,2,4,1,1,0,4,2,6,3,1,2,8,1,4,0,0,1,0,9,0,1,1,4,1,0,1,2,3,1,9,0,0,2,2,0,0,6,1,3,0,0,0,5,0,1,2,0,0,5,5,0,1,0,4,0,1,12,0,2,0,1,2,5,2,0,2,1,10,10,0,1,0
27,2,2,3,4,1,0,3,1,2,2,0,0,0,1,0,0,11,2,2,3,6,1,2,1,4,3,2,10,1,2,3,2,1,0,4,3,5,1,2,0,0,5,0,8,6,4,0,5,0,1,2,0,2,2,4,0,0,0,3,0,3,2,1,0,2,7,0,1,10,1,5,0,9,2,2,2,3,7,2,2,0
28,2,2,4,1,1,1,1,3,2,0,1,8,2,0,0,1,6,2,1,2,3,0,1,1,3,0,0,13,1,3,6,0,0,1,7,2,6,1,2,0,0,2,2,9,2,3,1,5,0,0,3,0,6,2,6,1,0,1,3,0,3,0,0,2,0,2,1,1,2,0,1,1,8,0,2,0,7,14,0,3,0
29,2,3,3,0,0,1,5,3,0,7,1,1,5,0,3,2,2,3,2,2,1,7,5,2,3,0,4,4,2,2,2,1,5,0,0,0,4,0,3,1,0,1,1,5,3,3,2,5,1,1,0,4,1,3,3,1,5,2,2,2,0,5,2,3,2,6,1,1,1,3,0,3,7,1,0,3,9,13,3,4,0
30,9,3,2,11,9,2,2,5,11,1,6,9,4,10,5,4,1,0,42,0,0,2,2,4,0,3,2,1,12,0,0,6,0,6,8,7,4,0,7,2,7,4,2,7,4,9,6,7,0,15,40,5,12,6,5,5,3,7,3,2,3,0,10,2,0,0,4,4,9,1,2,12,0,3,1,2,2,11,3,2,0
31,2,2,2,0,0,1,1,0,0,1,4,0,1,3,6,1,4,1,0,1,2,3,3,2,2,2,3,8,0,4,0,6,1,3,1,1,3,3,2,0,0,1,6,3,0,3,1,5,2,1,1,1,0,2,3,2,3,5,2,0,3,2,5,0,5,2,0,1,2,2,8,1,2,1,2,1,4,8,1,1,0
32,5,4,4,3,4,0,0,3,4,2,0,8,4,0,1,2,0,8,1,0,1,4,0,2,1,2,0,9,2,0,3,1,2,2,4,2,7,4,1,1,1,0,1,7,2,5,2,2,8,0,3,0,0,3,2,4,2,2,2,4,3,2,5,0,1,7,5,6,7,1,8,1,2,0,1,2,1,6,2,6,0
33,5,1,2,1,0,0,1,0,1,2,0,0,0,3,1,1,0,0,2,2,0,0,1,0,3,0,2,2,1,3,2,3,0,1,2,2,7,0,2,0,0,5,2,3,1,2,0,0,0,2,0,0,4,0,1,2,1,2,5,1,0,0,2,1,0,2,0,1,2,1,4,2,3,6,2,3,6,10,2,0,0
34,2,2,9,1,1,2,3,2,4,3,1,0,7,3,1,0,1,6,0,3,1,6,3,1,3,1,4,5,2,13,3,3,2,6,0,1,4,3,3,2,0,3,1,5,0,3,1,1,3,5,0,2,1,4,1,0,8,0,4,3,1,2,0,0,2,13,2,0,2,3,6,2,2,2,4,0,6,4,2,0,0
35,3,2,3,2,2,1,1,0,4,3,2,3,0,4,3,0,0,1,3,1,7,3,4,3,0,2,0,4,3,0,1,6,0,2,0,1,0,0,6,1,0,2,0,5,6,11,1,4,0,0,4,2,7,1,4,1,4,3,4,0,1,4,4,2,4,3,2,1,6,1,2,5,1,0,2,0,2,10,1,3,0
36,7,1,4,2,4,1,0,0,3,1,4,6,0,0,0,1,2,2,0,6,2,1,0,2,3,0,4,12,1,5,1,5,3,1,8,1,6,4,9,1,0,2,2,12,2,4,2,2,2,4,4,0,0,4,0,4,0,0,5,2,1,1,2,3,1,4,2,3,2,0,0,1,1,1,1,5,12,6,2,0,0
37,2,0,1,0,0,1,0,1,1,1,0,1,1,0,2,0,0,0,0,1,2,0,2,0,0,1,0,4,0,0,0,1,4,5,0,1,4,1,2,1,1,2,0,1,1,1,0,0,0,1,0,0,0,2,1,0,1,1,0,0,0,0,1,0,2,0,2,0,1,1,0,1,1,0,0,1,2,4,0,1,0
38,8,1,6,2,1,2,2,2,0,2,1,1,8,1,2,3,3,1,3,1,1,4,2,1,2,1,1,13,0,4,2,4,4,2,3,1,2,3,5,2,0,3,4,1,4,2,3,2,1,2,2,1,20,0,7,2,0,3,5,1,3,1,2,3,1,2,2,3,2,1,9,0,0,4,0,2,8,8,0,3,0
39,4,2,10,3,2,2,2,2,1,3,1,2,1,4,1,2,1,7,4,4,5,0,1,1,2,2,1,8,3,4,12,2,2,0,0,1,0,1,4,0,0,7,4,4,3,2,3,5,3,1,8,4,4,2,4,7,3,7,5,1,1,2,1,0,0,13,0,4,4,1,6,3,8,4,1,2,5,7,1,3,0
40,4,0,1,3,0,2,1,0,7,5,4,3,5,4,8,5,0,5,4,1,0,3,4,0,2,0,0,3,5,2,0,8,3,0,5,2,5,1,10,1,0,0,1,3,3,2,2,3,0,4,6,2,1,1,6,2,4,4,7,0,0,2,4,9,2,1,2,1,5,0,2,3,2,0,1,1,3,9,0,0,0
41,2,0,4,1,1,2,0,3,1,1,1,0,4,2,1,1,11,4,2,5,3,6,0,1,1,1,3,5,1,5,6,5,6,5,0,1,8,2,1,7,3,3,1,9,3,6,3,3,2,0,2,3,12,0,2,1,1,2,6,0,0,1,0,0,2,6,3,3,1,2,11,1,3,1,0,5,8,11,0,3,0
42,3,1,1,0,2,0,0,0,2,1,1,2,0,3,0,0,2,1,1,0,5,0,0,2,0,4,0,4,1,1,2,0,0,1,3,1,4,1,2,1,0,9,1,4,1,2,1,4,0,0,1,0,9,1,5,4,2,0,2,0,3,2,1,0,1,1,2,0,4,1,1,0,0,0,0,0,4,10,0,3,0
43,6,3,1,3,1,1,0,2,5,3,3,5,2,2,0,3,6,0,8,1,1,3,2,1,0,1,2,3,1,7,0,6,4,2,3,3,3,4,2,5,3,3,3,2,1,3,8,2,3,4,11,4,1,6,3,1,0,0,8,2,4,4,2,1,1,5,2,3,9,3,3,2,8,0,0,1,1,10,1,4,0
44,1,1,4,2,3,2,5,2,2,5,1,3,3,4,3,2,14,2,5,5,1,6,5,0,3,0,1,10,2,1,4,4,3,1,2,3,5,9,4,4,3,5,5,5,5,1,2,0,4,3,11,5,1,0,5,1,1,1,9,2,1,4,6,2,2,6,5,2,6,1,1,5,1,4,2,2,4,8,3,4,0
45,4,4,6,4,0,3,2,1,4,0,4,6,0,4,4,0,2,8,6,2,3,2,1,0,1,3,4,5,0,1,0,2,18,0,1,0,1,2,4,3,0,4,3,7,7,0,0,0,1,0,1,0,18,2,3,3,0,0,5,0,0,1,3,0,4,7,1,4,3,0,4,1,7,3,0,1,5,10,2,6,0
46,1,4,4,2,0,2,2,0,1,2,4,1,1,2,2,1,8,5,1,5,3,3,3,1,6,0,0,6,0,5,1,4,3,1,1,2,7,2,1,0,0,4,1,7,2,3,2,4,0,1,1,1,4,1,1,2,4,2,6,0,0,1,1,1,4,2,0,1,1,0,5,2,7,3,4,8,3,6,2,0,0
47,3,0,4,0,0,2,2,1,1,1,2,3,2,0,2,3,1,4,1,0,4,4,2,1,4,1,2,7,1,3,0,5,3,1,1,1,3,1,5,2,0,3,1,5,1,2,2,0,0,2,1,1,2,1,2,2,4,2,4,1,1,0,3,3,0,3,2,0,4,0,4,3,6,2,0,3,7,10,1,3,0
48,8,5,0,12,0,2,0,5,8,0,9,11,3,8,12,4,0,0,7,0,4,2,2,0,0,0,0,1,7,0,0,8,0,1,5,4,3,0,10,1,0,4,2,6,3,5,5,5,0,12,15,7,2,2,10,9,6,5,6,2,3,1,7,0,3,0,3,2,14,0,2,4,0,0,1,0,2,5,3,1,0
49,0,4,3,1,1,0,2,3,2,1,3,4,3,1,1,0,3,1,2,2,0,6,2,2,2,1,2,7,2,1,2,3,2,4,2,1,2,4,0,1,1,3,2,6,4,3,2,0,2,2,1,2,0,4,0,3,4,0,5,3,3,5,0,0,3,2,2,1,5,4,2,1,3,2,1,2,4,5,1,0,0
50,1,0,6,1,1,1,5,0,5,2,0,4,1,4,5,0,6,3,8,4,2,3,7,0,1,1,2,2,3,6,1,2,1,0,1,4,1,0,0,0,3,8,1,5,4,6,3,4,1,4,3,3,17,5,3,2,3,7,4,0,0,0,1,2,8,2,1,4,4,1,1,7,2,3,1,1,2,5,1,0,0
51,3,4,3,1,0,2,3,1,3,5,0,4,1,2,1,3,5,3,4,0,1,2,0,0,2,3,2,1,3,8,3,4,2,1,7,2,6,1,4,4,2,7,4,7,2,6,1,2,0,1,2,0,6,2,4,3,0,2,4,1,1,7,1,3,2,5,0,1,6,3,2,1,8,0,1,5,5,6,5,5,0
52,4,4,4,1,1,4,1,2,2,6,1,1,2,2,1,1,1,3,1,2,3,3,0,1,1,1,2,8,1,4,4,4,5,1,1,1,1,1,9,7,2,7,0,5,4,2,1,1,2,1,1,1,0,3,2,0,0,2,6,4,1,1,3,3,1,3,2,7,7,4,12,3,7,0,1,0,12,8,1,3,0
53,2,5,4,3,0,2,2,1,1,1,5,1,1,5,5,3,8,10,4,4,3,7,2,4,5,6,5,5,4,4,10,1,3,0,0,2,3,0,2,3,0,12,4,7,6,2,1,6,0,3,4,2,13,2,3,0,2,2,2,0,4,4,4,1,1,4,4,5,3,1,3,1,6,0,3,1,10,6,1,2,0
54,0,3,2,0,0,1,0,1,0,1,0,0,0,0,3,1,4,7,0,0,0,0,1,1,1,2,0,10,0,2,4,2,10,6,0,0,4,2,1,1,1,0,3,3,2,0,2,2,2,1,0,1,0,1,1,0,0,0,0,1,1,2,1,2,3,6,0,5,2,1,7,0,12,0,0,2,4,11,0,3,0
55,2,6,6,2,4,7,3,1,3,1,3,5,1,2,1,0,3,2,1,4,4,1,2,2,2,2,3,5,3,2,2,0,0,2,8,1,4,0,4,3,0,6,1,3,4,1,4,1,0,2,2,2,5,0,0,4,0,0,3,0,2,0,4,0,4,1,7,4,4,0,3,2,2,3,3,1,8,10,2,6,0
56,1,0,13,1,0,3,1,0,3,1,2,2,0,3,1,4,3,6,1,2,4,1,2,1,1,4,1,3,1,4,11,1,9,4,1,0,3,0,2,0,3,9,0,3,1,9,0,2,2,0,1,1,5,1,4,3,3,0,4,1,0,0,2,0,5,6,2,3,1,1,2,2,3,1,1,3,5,14,0,1,0
57,9,2,4,1,1,4,1,1,1,2,5,4,2,1,1,5,5,4,2,0,4,2,1,0,4,4,2,7,3,3,4,3,1,5,1,3,2,5,10,1,0,6,5,2,4,3,1,4,2,0,2,2,4,1,3,1,0,1,5,1,2,4,3,0,1,8,0,1,1,2,0,3,2,0,0,1,5,14,1,1,0
58,3,4,1,2,2,3,0,0,1,4,3,2,3,1,4,2,4,0,0,4,7,1,3,10,4,0,1,2,3,3,2,6,2,1,2,4,1,1,6,0,1,3,5,3,7,6,2,3,0,2,1,2,1,5,2,2,0,3,5,1,3,2,5,0,1,1,0,1,1,4,4,3,0,4,0,4,7,8,0,3,0
59,3,2,0,2,0,0,1,2,1,1,3,0,3,4,4,1,3,0,4,3,0,1,0,4,1,2,1,5,4,0,2,2,1,1,1,3,1,0,3,3,1,3,0,0,5,2,0,1,1,2,14,6,2,2,0,1,1,1,1,0,2,5,1,0,1,0,0,1,3,0,0,1,2,2,2,3,1,1,0,2,0
60,1,0,0,0,0,2,0,1,0,1,1,0,1,3,2,2,0,0,0,3,0,4,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,4,5,3,4,0,2,0,0,1,2,1,0,0,2,0,0,4,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,1,3,1,0,2,1
61,1,1,1,2,0,2,0,0,0,0,1,0,1,0,2,3,1,0,0,0,0,3,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,5,2,1,4,0,0,0,1,1,2,1,0,0,2,3,1,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,1,2,2,3,0,3,1
62,3,2,3,1,0,0,1,0,0,2,2,1,2,0,4,3,0,0,2,1,0,1,1,1,0,0,1,1,3,0,1,7,1,0,0,1,1,1,5,2,0,0,2,0,1,1,3,1,2,1,0,2,0,3,2,0,0,0,3,0,0,4,3,3,0,0,0,1,0,0,4,2,1,0,0,1,0,1,0,4,1
63,3,3,2,1,0,0,1,0,0,0,3,0,2,0,4,2,0,1,0,1,2,2,1,1,0,0,0,0,2,0,1,3,0,1,0,0,0,5,11,2,0,0,2,0,1,0,0,0,1,1,0,0,0,2,2,0,1,0,3,1,0,1,1,2,0,0,0,1,0,2,2,1,1,0,1,2,1,0,0,2,1
64,4,1,2,0,0,1,0,0,0,0,1,0,2,2,2,4,0,1,0,0,1,1,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,5,4,4,1,0,3,1,1,0,0,0,1,1,1,1,0,1,2,0,0,0,2,0,0,2,2,1,0,1,0,0,0,1,1,3,0,0,0,1,0,0,0,2,1
65,7,0,1,2,0,3,3,0,0,3,3,0,3,0,0,3,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,4,3,0,0,1,0,1,0,0,0,3,1,2,0,0,4,1,0,0,0,1,1,0,2,2,1,0,0,0,2,1,2,1,3,0,0,0,2,0,0,2,7,1
66,2,1,1,2,0,0,0,2,0,1,1,0,2,1,1,0,0,1,0,0,1,2,0,2,0,0,0,0,1,0,0,1,3,0,1,0,0,2,5,3,2,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,3,0,0,1,0,1,1,1,0,2,0,1,2,1,0,0,0,0,1,0,0,1,1
67,4,0,0,1,0,2,1,0,0,2,2,0,3,1,1,1,1,0,0,2,0,0,2,1,0,0,1,0,0,1,0,2,0,1,0,1,1,2,2,4,2,0,1,0,1,1,0,0,1,0,3,1,0,6,2,0,1,0,2,0,0,2,1,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,4,1
68,5,1,1,1,0,0,0,0,0,0,0,0,2,0,3,3,1,0,0,5,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,4,0,2,6,1,2,0,3,0,1,3,0,0,0,0,2,0,0,6,3,0,0,0,3,0,0,2,2,1,0,1,0,0,0,0,3,1,1,0,0,3,2,0,0,2,1
69,3,1,1,1,0,2,1,2,0,2,0,0,2,1,2,1,4,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,2,1,1,1,7,1,0,0,1,0,1,0,1,2,2,1,1,2,0,4,1,0,0,1,1,0,0,8,2,2,3,0,0,0,0,1,1,4,0,0,0,0,0,1,0,2,1
70,1,3,0,1,0,4,2,3,0,4,1,0,1,3,3,1,1,2,1,1,0,2,0,0,1,0,2,1,0,2,0,0,1,1,0,0,0,2,7,3,2,0,1,0,2,3,0,2,2,1,0,1,0,2,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,1
71,4,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,3,0,0,0,2,0,1,3,0,0,0,1,0,1,0,1,3,2,4,3,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,1,1,3,1
72,2,3,0,0,0,1,3,2,0,2,0,0,1,1,1,2,0,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,1,0,1,0,3,10,4,1,1,1,1,4,0,0,0,1,2,1,0,0,3,0,1,0,0,0,0,1,5,1,2,1,0,0,1,0,0,0,2,0,0,1,1,3,0,2,2,1
73,0,1,0,0,0,1,1,1,0,2,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,1,5,2,1,2,1,0,1,0,2,1,1,1,3,2,0,1,0,0,0,0,3,1,0,1,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,1
74,3,0,0,0,0,2,1,3,0,3,0,0,1,1,1,0,0,3,0,0,0,0,1,2,0,0,1,1,1,0,0,1,1,2,0,1,0,1,4,5,1,0,1,0,3,1,0,0,2,0,0,0,0,2,0,0,2,1,2,1,0,5,0,2,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,4,1
75,0,0,1,1,0,8,0,1,0,0,1,0,2,2,1,1,0,1,0,0,0,0,0,0,1,0,4,2,1,3,0,2,1,1,0,0,0,2,7,3,5,0,1,0,1,0,1,0,1,0,0,1,0,2,1,0,2,0,0,0,0,3,0,1,0,0,1,3,0,0,1,5,0,0,0,1,0,0,0,1,1
76,2,1,1,1,0,1,1,1,0,1,0,1,2,1,0,2,0,3,1,2,0,1,0,0,0,0,1,1,0,0,1,3,2,0,0,0,0,2,4,4,0,0,0,0,4,0,1,0,2,1,2,1,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,2,1,1,0,0,0,1,0,1,0,3,1
77,2,1,0,0,0,4,0,1,0,6,0,0,1,2,2,2,1,2,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,2,0,1,3,5,1,0,0,0,1,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,2,2,0,0,2,0,0,1,1,0,1,1
78,3,0,1,1,0,3,0,1,0,7,1,1,1,2,0,3,1,0,0,1,0,2,0,0,1,2,2,0,0,0,2,0,0,2,0,0,1,2,5,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,11,2,0,1,1,0,1,0,5,0,2,2,1,2,0,1,0,0,0,1
79,3,1,1,3,0,2,2,1,0,4,0,0,2,1,0,1,0,5,0,0,0,0,0,0,1,0,4,1,2,1,0,2,1,0,3,0,2,0,6,2,0,1,0,0,4,0,0,1,0,2,2,1,0,0,1,0,0,1,2,0,0,5,1,2,2,2,0,2,0,7,3,1,0,0,0,0,1,0,0,1,1
80,1,1,1,4,0,1,1,1,0,3,1,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,7,2,0,1,0,0,2,1,2,1,2,1,1,2,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1
81,3,2,1,1,0,2,0,1,0,2,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,3,0,1,0,1,2,0,1,0,2,0,1,2,2,2,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,2,1,0,6,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,2,1
82,1,1,0,2,2,2,0,1,0,3,0,0,0,1,2,1,0,0,0,1,2,1,0,0,1,0,2,0,1,0,0,2,0,1,0,1,0,3,3,4,0,1,1,0,2,0,0,0,2,1,1,1,1,0,1,0,0,0,1,1,2,5,0,0,1,1,1,2,0,1,1,2,0,0,0,0,0,0,0,3,1
