,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
17,1,3,0,2,0,0,2,5,4,4,1,1,13,0,1,2,12,0,4,3,0,4,1,20,1,0,3,1,0,0,2,1,2,2,0,0,0,1,1,1,1,3,2,6,0,1,2,2,3,2,3,3,0,3,3,4,6,2,3,1,3,0,2,3,3,5,0,3,3,2,1,0,2,3,3,3,0,0,1,1,5,0,13,3,1,0,1,15,3,2,0,0,3,2,5,3,3,0,0,0,0
18,3,3,1,2,1,2,0,4,2,3,0,0,1,2,1,3,2,1,0,6,1,1,1,10,1,4,0,1,7,8,0,1,1,5,10,2,8,4,3,2,0,2,4,5,1,0,2,0,0,0,0,4,2,0,3,2,4,2,3,1,0,0,6,1,7,1,1,1,0,1,1,1,3,5,1,0,1,0,1,9,2,5,2,4,0,4,0,0,2,2,0,2,0,9,4,4,2,0,0,0,0
19,4,2,3,2,1,4,3,1,2,2,1,2,9,0,1,0,3,0,3,1,4,3,0,6,5,1,2,3,4,1,2,6,1,2,1,2,1,4,1,6,4,1,0,6,0,5,5,0,2,5,0,2,1,8,0,2,6,1,4,0,2,1,1,2,4,2,0,1,1,1,3,0,3,1,6,0,2,0,1,1,3,4,3,4,1,0,2,1,1,2,0,0,2,2,2,0,2,0,2,0,0
20,8,3,0,4,5,5,6,7,5,4,5,0,5,0,1,5,3,0,3,3,4,2,2,13,1,0,1,4,3,3,1,4,0,0,1,0,1,1,2,4,1,0,2,1,0,2,3,3,1,3,6,3,3,1,0,5,3,1,1,1,2,0,3,1,4,2,0,1,0,2,2,3,3,4,2,3,1,2,3,0,9,0,10,4,1,3,2,0,1,0,1,3,0,3,4,1,5,1,2,1,0
21,11,1,0,5,2,2,1,1,0,2,4,0,1,0,0,3,3,0,5,0,0,0,1,11,2,1,0,2,1,1,0,5,0,1,2,2,1,1,3,6,2,2,3,5,0,1,0,1,1,2,2,3,2,5,2,0,7,5,5,0,0,1,3,2,10,0,3,0,1,0,1,1,0,1,0,0,1,4,2,0,4,7,0,2,0,0,0,0,2,1,2,0,1,4,1,1,2,0,2,1,0
22,0,0,0,0,1,1,0,2,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,3,1,1,1,3,0,0,1,0,0,3,1,1,1,1,1,0,1,28,0,3,1,0,2,0,1,0,2,1,2,1,0,1,0,1,1,0,0,2,0,3,1,0,4,0,0,1,0,0,1,0,0,2,5,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
23,1,1,2,2,1,7,0,6,1,1,4,0,5,0,0,0,0,0,2,0,0,1,0,12,1,1,2,4,1,0,0,0,0,2,0,3,0,1,2,3,0,0,8,2,1,2,0,0,0,0,4,6,2,0,0,4,4,1,3,1,0,0,0,1,6,2,1,2,1,0,0,0,0,1,0,0,2,1,2,0,4,1,1,1,0,1,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0
24,1,3,0,2,1,1,0,1,1,3,1,0,1,1,1,0,0,0,1,1,2,2,1,1,1,1,0,0,0,0,0,2,0,1,8,0,1,0,0,2,0,1,30,0,1,0,2,0,0,1,1,3,0,2,1,3,0,0,1,0,0,0,4,0,13,0,1,1,1,1,0,1,0,1,0,0,5,3,1,8,3,5,2,3,1,4,0,0,0,2,0,1,0,6,1,2,0,0,0,0,0
25,3,1,0,2,2,2,0,4,3,1,1,0,12,1,0,6,1,0,0,5,1,2,1,5,3,0,1,2,5,1,0,4,1,1,0,0,1,4,4,6,0,4,2,4,0,0,1,1,3,3,1,3,2,5,6,5,9,4,2,1,0,0,0,0,3,1,0,1,1,0,0,1,2,1,0,0,0,1,3,3,4,3,2,16,0,0,0,0,1,9,0,0,2,2,2,0,1,0,6,1,0
26,8,1,0,1,1,4,0,9,5,1,1,0,6,0,2,6,2,0,1,2,0,0,2,8,3,0,1,0,2,5,1,1,0,0,0,1,0,1,3,4,0,4,1,7,1,0,0,0,1,1,0,0,1,3,4,2,2,2,4,1,2,0,0,0,0,0,0,2,2,4,1,1,0,1,0,0,0,0,7,1,1,0,1,10,0,1,2,3,3,1,3,1,0,0,1,1,1,0,3,0,0
27,2,1,0,0,2,2,0,5,0,1,1,0,11,2,0,2,7,0,3,4,0,4,0,6,2,1,1,1,2,3,2,2,0,2,2,2,0,0,2,1,0,1,1,10,3,0,0,0,4,4,7,2,2,3,0,1,5,2,3,1,0,0,0,1,6,1,2,1,1,2,0,3,1,1,1,0,2,10,2,1,2,0,3,9,2,3,0,4,2,4,2,1,0,0,1,0,0,0,1,1,0
28,1,1,1,0,0,5,0,3,2,1,1,0,5,1,0,3,9,0,0,1,3,2,0,13,2,1,0,1,1,4,0,1,0,0,2,2,1,1,1,0,0,1,4,2,0,0,0,0,1,4,3,2,4,3,0,5,4,1,5,1,1,0,1,0,8,2,1,0,2,2,1,0,1,0,1,2,2,2,1,1,3,9,4,12,0,2,1,3,1,1,2,0,0,4,0,2,0,1,0,1,0
29,3,4,0,0,5,0,1,2,1,0,1,4,2,0,5,3,3,0,1,0,1,4,3,12,0,1,5,0,0,3,2,1,5,1,0,0,1,1,1,1,5,3,0,7,0,1,3,3,3,0,1,2,0,2,4,3,2,3,7,1,2,0,2,3,7,4,0,2,2,3,1,5,1,3,5,2,2,1,1,2,2,1,2,1,1,1,3,4,3,0,0,1,2,2,0,0,2,1,1,1,0
30,6,1,2,7,7,4,0,2,2,0,5,0,0,0,0,4,0,5,0,6,7,0,5,10,2,4,0,1,6,7,1,0,3,15,31,4,5,16,11,5,3,4,5,0,1,2,2,5,0,6,8,1,0,2,4,1,1,3,1,2,4,0,11,2,9,1,3,0,0,0,4,4,1,0,2,3,5,10,5,40,0,14,0,2,0,1,2,1,0,2,9,0,3,10,6,14,3,3,4,9,0
31,3,0,2,2,2,3,3,0,5,2,4,3,4,1,0,3,3,1,0,1,1,2,0,7,0,1,0,1,5,3,0,2,2,2,0,3,2,3,1,6,0,5,0,2,1,0,1,0,1,0,1,3,3,2,3,3,2,3,0,0,1,0,1,2,3,1,1,0,0,2,1,3,3,5,0,0,0,2,3,0,1,1,0,9,0,0,1,0,1,8,0,3,2,2,1,0,0,0,1,0,0
32,0,4,2,2,0,2,0,0,2,3,1,1,0,3,2,3,1,2,1,2,4,1,1,5,3,6,1,0,0,3,3,1,0,0,0,1,3,2,0,1,0,2,0,3,1,1,0,7,3,3,6,8,1,2,1,2,3,0,1,2,4,1,7,1,4,2,2,2,0,0,2,2,1,0,1,0,4,6,3,0,0,8,3,7,2,0,0,1,7,8,2,5,4,3,3,2,1,4,0,3,0
33,2,0,0,1,0,1,2,1,1,0,1,1,0,1,0,1,1,0,2,2,0,4,0,12,2,1,0,0,0,2,0,1,6,3,0,0,2,3,1,3,0,1,4,1,0,0,1,1,2,2,5,5,0,4,0,2,1,1,6,0,0,1,1,1,5,0,2,0,1,2,0,0,2,0,0,2,1,1,3,0,1,1,2,2,0,0,0,2,0,3,0,0,0,1,1,1,2,0,0,0,0
34,2,6,1,6,1,1,3,1,2,2,0,2,2,2,1,2,3,0,0,1,1,3,3,6,2,0,2,0,1,3,1,4,8,3,1,1,0,0,1,3,2,1,0,10,1,2,3,1,3,0,5,4,1,4,1,2,8,0,5,1,3,2,2,1,5,0,1,0,1,1,1,1,7,2,3,0,0,1,1,1,11,0,2,6,2,0,1,1,5,5,3,2,1,0,1,0,5,0,1,1,0
35,6,2,2,3,3,5,2,8,2,0,2,1,0,0,2,2,1,0,1,1,3,0,3,9,1,1,0,0,0,9,1,1,0,1,2,1,3,1,5,6,2,3,4,3,2,0,1,2,2,0,3,0,1,3,2,1,2,4,1,0,0,0,3,0,9,2,4,2,1,0,0,2,1,3,1,2,2,4,3,1,0,8,0,5,3,5,0,0,0,1,2,1,0,0,1,0,1,0,0,1,0
36,8,1,2,0,1,1,2,1,3,2,2,0,2,0,0,1,1,2,5,2,0,2,1,7,4,2,1,3,4,4,2,1,0,1,4,1,5,1,4,5,4,1,1,3,0,1,2,2,2,8,3,3,2,5,0,2,3,0,7,0,0,0,5,2,9,6,0,0,6,1,1,1,3,1,1,0,0,1,2,1,4,7,1,7,0,1,0,0,2,0,2,2,0,1,1,2,0,2,0,3,0
37,1,0,0,3,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,4,1,0,3,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,3,1,0,2,3,0,0,2,0,1,0,2,0,0,3,0,1,2,0,0,1,0,2,1,0,0,1,2,0,0,1,0,2,0,1,0,0,0,0,1,2,1,0,0,0,1,2,0,0,0
38,3,2,0,1,1,7,2,1,0,3,0,3,2,3,1,2,2,0,0,2,3,2,1,8,4,3,2,3,2,2,4,1,3,0,2,3,2,0,1,4,2,1,18,3,1,0,0,1,1,3,4,2,1,4,0,1,4,0,8,0,3,0,3,2,5,3,1,1,1,5,1,1,1,1,10,2,1,0,7,3,2,1,2,10,2,1,1,1,0,4,0,1,1,1,1,2,1,0,2,1,0
39,2,0,1,0,2,4,3,10,1,1,2,0,1,0,3,5,6,0,2,0,4,1,2,8,7,5,1,3,1,1,0,1,4,2,6,1,6,2,4,1,0,3,3,10,2,1,3,4,2,0,5,1,2,5,0,3,9,2,0,1,1,2,3,1,5,3,1,1,1,1,1,2,1,0,0,0,2,0,1,4,2,4,11,7,2,3,3,4,5,4,1,1,0,5,0,5,1,0,1,2,0
40,9,4,2,0,2,5,1,0,2,1,1,0,0,0,2,2,3,0,1,2,2,1,0,8,3,2,3,1,3,2,3,1,0,4,8,0,2,9,3,7,1,2,0,2,0,1,0,0,1,5,0,2,1,7,4,3,0,3,2,0,5,0,1,1,2,0,2,1,1,3,0,3,1,2,2,3,0,4,4,3,0,3,1,4,2,3,1,0,4,1,6,0,1,0,2,8,5,0,2,0,0
41,1,1,2,3,0,1,3,5,2,3,1,0,11,0,0,1,3,3,2,2,0,1,2,10,4,4,4,2,2,5,2,0,1,1,0,0,2,2,2,4,1,0,11,5,1,5,1,1,1,2,4,6,2,3,1,2,5,1,5,1,2,2,2,2,9,3,0,8,3,2,3,4,0,2,0,0,0,0,2,1,3,0,6,3,0,3,3,0,3,8,1,1,1,0,2,1,1,3,0,2,0
42,2,0,2,1,1,4,0,3,2,1,2,0,0,0,1,0,0,0,0,1,2,0,0,9,1,0,0,0,2,4,0,0,0,0,1,5,3,0,0,0,0,1,11,1,4,2,0,0,0,3,1,2,3,2,0,2,0,0,2,0,0,0,3,0,9,4,2,1,0,0,1,0,0,2,0,1,0,3,1,0,0,2,2,1,1,1,0,0,1,1,2,0,0,4,0,1,2,2,1,2,0
43,2,2,1,2,0,3,1,2,1,4,1,6,4,1,2,2,10,1,1,3,4,0,1,9,1,2,2,1,4,3,2,0,0,5,8,4,1,5,3,4,1,2,1,3,1,4,1,2,0,3,1,4,1,5,0,0,1,1,2,1,1,3,6,3,3,0,2,2,0,1,4,1,1,2,2,0,5,8,2,8,7,4,0,5,3,1,1,2,0,3,3,3,0,2,1,4,1,1,2,1,0
44,4,3,0,0,0,5,1,3,4,5,0,2,13,2,1,2,3,2,1,3,3,4,5,8,2,2,1,3,2,1,2,1,1,3,4,1,0,6,5,4,3,7,0,6,0,5,1,3,3,2,5,4,0,8,0,2,4,4,0,4,2,4,0,1,3,8,1,4,1,4,3,2,1,1,4,3,0,5,1,5,1,3,3,4,2,4,5,0,3,1,0,2,4,3,2,3,1,3,2,3,0
45,3,2,0,0,0,3,2,5,1,1,1,1,2,1,2,2,4,1,1,0,3,1,1,9,3,2,16,3,3,0,5,1,1,1,3,0,3,1,1,2,1,3,12,5,3,2,1,2,2,1,0,1,0,5,1,1,6,1,3,0,0,0,3,2,14,3,1,4,3,4,0,0,0,1,0,0,2,2,6,4,0,7,0,3,1,3,0,5,7,4,2,0,2,0,3,0,1,1,2,0,0
46,1,0,0,1,1,1,0,5,1,1,0,0,10,1,1,1,3,0,4,2,0,5,4,7,1,1,1,2,3,3,3,3,5,1,3,0,2,0,0,4,3,0,2,2,0,0,0,0,4,1,2,5,3,6,2,2,3,3,2,1,0,0,0,0,7,3,3,0,3,2,1,0,2,1,0,3,3,0,2,2,6,2,1,6,0,1,3,3,3,5,0,1,1,2,2,0,2,0,2,0,0
47,4,1,0,1,0,1,0,1,4,2,1,1,1,2,1,3,7,0,1,0,0,3,3,8,1,0,3,2,3,2,1,1,3,3,1,1,2,2,1,4,2,2,1,3,1,1,1,1,0,1,0,3,0,4,2,6,4,2,4,2,1,2,2,3,5,0,0,2,1,2,0,2,4,0,1,1,0,3,2,2,2,3,0,6,0,1,0,0,3,2,1,0,1,1,2,1,0,0,3,0,0
48,10,3,2,1,7,8,2,4,2,0,0,0,0,0,3,4,0,1,0,2,5,0,3,6,6,1,0,2,5,5,0,0,0,13,5,1,8,7,10,7,0,10,0,1,0,1,0,1,0,3,10,2,1,2,7,1,0,1,3,4,2,1,5,0,4,0,6,1,0,1,3,0,2,2,0,1,5,13,7,8,0,13,0,1,1,3,2,0,0,1,6,0,2,7,1,11,1,1,7,1,0
49,0,3,1,2,0,1,1,1,1,1,1,3,3,3,2,0,3,0,2,1,0,2,1,5,2,2,1,0,2,3,2,1,4,2,1,3,3,1,2,2,2,0,1,2,1,1,2,1,2,2,4,3,0,4,0,0,2,2,3,0,3,1,0,1,2,3,4,1,2,5,1,3,0,1,3,0,3,6,1,0,0,5,3,6,3,1,1,1,0,1,1,2,0,0,5,2,3,0,0,2,0
50,1,3,0,1,1,2,1,6,0,2,0,0,3,0,0,2,2,3,2,4,1,1,3,5,0,4,1,2,0,5,2,6,3,3,2,0,1,5,3,2,1,1,17,1,1,0,4,0,2,1,2,4,0,3,4,2,5,6,1,0,2,1,1,0,9,2,0,0,5,1,4,2,1,8,2,1,0,2,2,3,5,3,1,0,0,4,2,3,1,1,5,1,0,6,2,2,1,1,5,0,0
51,3,0,2,2,2,3,4,1,1,3,1,1,7,0,2,1,6,1,0,1,3,0,2,7,3,1,1,3,2,5,2,0,0,1,2,1,4,1,1,4,3,2,5,3,3,3,1,7,2,6,2,5,1,4,0,2,2,1,4,1,1,0,1,4,10,0,1,4,0,2,0,3,2,2,1,0,3,5,1,1,7,5,3,5,3,1,1,5,3,2,2,1,0,4,1,0,1,0,1,0,0
52,8,1,0,1,1,2,1,3,7,1,0,2,1,1,0,2,3,1,1,0,2,1,3,10,0,7,2,3,0,2,3,1,0,0,0,1,0,2,1,5,1,3,2,1,1,6,4,2,6,1,1,1,0,4,1,1,2,0,7,0,4,3,4,2,2,5,3,1,1,2,1,6,1,0,2,1,3,5,5,1,1,2,4,5,0,2,0,5,3,8,2,2,1,1,3,1,4,2,3,1,0
53,2,3,3,0,3,4,1,5,3,0,5,1,7,0,2,4,4,0,2,0,2,3,5,5,0,4,3,3,3,0,1,4,1,5,5,3,0,1,3,1,2,3,15,4,7,1,0,1,1,2,1,1,4,2,4,3,4,0,6,1,1,0,2,6,10,3,4,2,3,7,1,1,3,1,1,1,2,0,1,5,3,1,6,3,3,5,1,2,8,3,1,0,0,3,2,3,4,2,4,0,0
54,1,0,0,6,0,2,2,0,0,1,0,0,4,2,0,0,6,1,0,0,0,2,1,11,2,6,8,1,0,0,3,0,0,0,0,1,0,1,0,2,0,1,0,5,1,1,0,0,1,0,1,3,0,0,1,6,1,1,2,0,0,1,0,0,3,7,0,2,0,1,1,1,1,1,0,2,3,2,1,0,2,0,3,8,1,0,0,7,7,5,0,1,1,2,2,0,0,0,0,0,0
55,4,1,1,2,0,0,4,1,3,0,1,0,2,1,0,2,2,0,1,2,2,4,2,10,2,5,0,5,3,1,3,2,2,2,4,0,3,0,1,0,2,2,2,3,1,3,1,0,1,7,5,3,1,2,1,3,4,0,5,0,0,2,3,3,3,3,4,5,1,2,1,1,2,3,0,2,5,4,3,1,2,6,2,3,1,2,2,0,0,2,1,1,0,3,2,0,0,6,3,3,0
56,2,4,2,3,0,6,0,3,0,1,1,0,3,1,2,1,1,1,1,0,3,1,2,16,1,1,7,2,4,6,3,1,2,0,2,0,3,0,1,2,0,4,4,3,2,0,2,2,3,1,0,4,5,1,1,0,9,0,5,1,0,1,1,1,7,5,0,1,1,1,0,0,2,3,1,0,0,1,2,2,4,1,12,2,0,1,0,4,4,1,1,5,1,1,0,0,2,0,0,0,0
57,6,1,0,4,0,3,1,5,5,2,1,2,5,2,1,5,2,0,0,1,2,3,2,12,3,2,1,3,4,3,1,1,0,1,1,2,1,1,1,3,1,0,4,6,4,0,2,1,3,1,1,0,4,5,1,6,3,1,3,1,2,1,6,1,5,1,0,1,1,2,1,2,0,0,1,1,2,1,5,5,2,3,1,7,2,2,1,4,3,0,0,2,0,2,4,1,1,0,2,1,0
58,7,1,2,2,1,4,0,3,3,2,12,2,4,2,2,3,0,2,4,4,3,4,2,7,0,3,0,1,2,5,2,0,2,1,1,3,2,2,1,5,1,2,1,1,0,0,1,1,2,2,1,1,4,5,1,0,1,0,4,0,2,0,0,0,1,4,1,1,3,2,2,2,2,2,2,4,3,1,7,0,2,3,1,1,0,7,2,0,0,3,1,1,1,3,1,1,2,0,4,1,0
59,5,2,0,1,2,0,1,0,4,0,3,0,3,1,3,2,2,1,1,3,1,0,1,0,2,2,1,0,3,2,1,1,2,3,11,2,1,4,5,3,0,1,2,0,2,3,1,1,0,0,1,1,0,1,1,0,0,1,1,4,3,0,2,0,1,1,1,2,2,1,0,1,2,0,1,0,1,2,1,3,0,0,1,4,0,2,2,0,1,0,0,0,0,3,3,2,0,0,1,0,0
60,4,3,0,0,0,3,0,0,3,3,3,6,0,0,1,0,0,3,0,0,0,0,1,2,1,0,0,2,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,4,1,3,0,2,0,1
61,1,3,1,0,1,3,1,0,1,5,1,6,0,0,1,2,0,2,1,1,1,0,1,1,2,0,0,2,1,1,1,1,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,2,0,1,1,1,1,0,0,0,2,2,0,2,0,0,0,0,0,0,1,0,2,1,0,1,0,1
62,4,2,3,0,0,3,1,0,4,1,2,4,0,1,1,1,1,1,0,0,2,0,0,0,4,2,0,0,1,0,1,0,0,0,0,0,0,3,1,7,0,0,0,0,0,2,1,1,2,0,0,2,0,3,2,0,1,0,0,0,2,0,1,1,0,0,0,2,1,2,2,1,0,0,3,0,1,0,1,1,0,1,0,1,1,0,3,0,0,4,0,1,0,0,1,2,1,0,2,0,1
63,6,4,0,1,2,2,2,2,2,4,1,6,0,0,0,1,1,0,1,0,2,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,3,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,3,1,1,1,1,0,2,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,1,3,0,2,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,3,0,2,0,1
64,3,4,1,2,0,0,3,1,0,4,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,4,1,0,0,0,2,0,2,1,0,0,0,1,1,1,0,3,1,0,0,0,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,1
65,3,2,1,0,2,0,2,1,1,0,2,4,2,1,1,0,0,0,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,3,0,3,2,0,0,1,0,1,0,0,1,0,0,0,2,1,4,1,0,0,2,4,0,0,0,1,1,1,1,0,0,1,4,0,0,0,0,1,5,1,0,0,0,1,0,2,0,1,1,0,0,0,1,0,1
