0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,target
0,0,2,2,0,1,2,2,3,0,7,1,1,0,0,0,4,2,0,0,0,6,1,0,3,6,1,0,2,2,0,0,1,1,2,1,1,1,2,1,1,2,0,2,1,5,1,1,5,0,0,1,1,2,0,2,1,1,3,0,5,1,1,2,6,0,6,0,3,0,2,0,2,0,1,0,1,1,1,1,4,1,1,5,0,4,1,0,9,5,0,0,1,6,1,0,1,0,0,0,0,0,0,7,3,0,1,5,2,0,6,0,0,1,0,1,3,0,2,0,1,2,0,0,0,1,5,1,9,0,0,0,0,0,6,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,1,2,0,0,1,2,0,0,0,1,2,0,0,2,0,3,2,1,4,1,0,2,0,0,0,5,0,2,1,0,0,0,1,1,0,0,1,1,0,1,8,6,2,0,1,2,0,3,0,0,0
0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0,0,1,0,0,1,1,2,2,0,1,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,1,1,0,0,4,0,1,1,1,0,0,0,1,0,0,1,2,2,1,1,0,0,3,1,0,1,3,1,0
23,15,21,13,17,21,16,31,40,28,52,35,24,20,12,31,27,21,22,26,19,28,29,32,42,34,18,10,22,34,22,16,20,26,26,43,28,9,39,33,32,17,21,21,15,31,17,23,23,24,24,11,28,27,14,28,35,24,9,28,19,23,37,17,12,10,20,32,16,30,12,25,22,26,22,14,21,29,29,23,24,17,8,26,23,33,14,17,16,34,10,22,66,18,22,19,27,21,29,23,13,16,27,32,26,12,19,35,14,20,22,30,33,31,16,18,18,24,18,14,17,34,32,27,24,17,24,51,9,26,33,34,14,20,30,17,32,30,31,14,24,22,18,21,26,20,12,25,25,30,19,26,20,18,19,29,13,25,24,6,26,19,26,17,25,14,14,18,23,21,20,18,28,35,20,45,23,22,18,18,10,15,24,51,29,15,31,27,35,23,20,23,20,35,15,27,24,27,19,18,0
1,0,3,0,0,2,1,0,4,1,1,2,3,0,1,0,0,0,0,2,2,0,1,0,0,1,5,0,2,1,0,0,0,0,0,0,0,0,3,1,1,0,1,1,0,0,1,0,1,0,2,1,2,1,3,0,0,1,0,4,2,0,0,4,1,1,1,1,0,1,2,0,2,2,0,1,1,1,0,0,0,0,0,0,0,3,1,1,0,0,1,1,1,1,0,2,0,1,0,1,0,1,0,0,1,0,0,2,0,2,0,1,0,0,0,1,0,1,1,2,1,1,1,0,0,1,1,5,3,2,5,1,0,1,0,0,1,1,0,0,0,4,3,1,0,1,0,0,0,1,1,0,2,1,2,0,0,2,0,0,0,3,1,0,3,0,1,2,1,0,2,3,0,0,1,0,0,1,0,0,2,1,0,0,0,1,3,1,0,1,1,0,0,0,3,2,0,0,0,0,0
2,3,0,1,1,0,5,0,2,3,0,1,6,1,1,3,3,0,0,0,1,0,0,0,0,0,0,0,1,5,3,10,0,0,0,2,0,1,0,0,1,1,3,8,3,0,3,0,0,0,0,1,2,0,0,19,3,1,0,3,1,0,7,0,1,5,3,0,1,0,0,0,2,10,7,7,0,4,7,0,6,1,1,0,0,1,1,0,0,0,0,0,15,0,7,0,2,1,1,1,0,1,3,0,0,0,0,3,2,1,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11,3,0,0,3,2,0,1,0,4,0,0,2,1,1,0,0,0,2,0,5,1,1,1,0,2,1,3,6,0,0,0,3,0,1,0,1,5,3,0,0,4,0,0,0,0,5,0,0,1,0,1,8,5,0,3,4,1,2,7,1,0,1,0,0,3,0,0,4,1,0,11,9,0
1,0,0,6,0,0,2,0,2,1,0,0,6,1,3,1,4,1,2,4,2,2,1,1,2,1,1,14,3,0,3,0,2,1,1,2,0,5,2,0,3,0,1,7,3,0,0,3,1,0,1,0,0,1,3,5,0,1,1,2,0,0,3,0,1,4,2,2,0,0,1,4,6,1,2,1,7,2,2,2,5,1,3,2,1,1,4,0,4,0,8,4,42,0,1,0,2,4,1,3,0,1,0,2,3,1,0,0,1,3,2,3,6,1,1,2,1,0,2,0,1,1,0,1,0,1,0,20,3,3,2,6,1,1,0,1,0,5,3,1,0,1,1,0,1,1,1,4,1,2,0,1,1,1,1,0,0,0,3,12,0,0,0,3,3,0,3,1,0,4,1,0,2,3,0,0,1,1,0,0,2,3,0,15,1,0,6,0,0,2,1,1,0,0,0,2,1,0,3,5,0
0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,2,2,0,1,1,2,1,1,1,0,2,1,1,0,0,1,0,1,2,4,0,7,0,0,0,1,0,2,0,0,2,0,0,0,1,2,0,4,1,0,0,0,1,0,0,0,1,6,0,1,0,0,0,1,1,1,0,1,2,0,0,2,0,1,0,0,4,9,0,0,5,12,2,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,1,7,0,0,1,4,4,0,0,0,4,1,2,0,0,0,0,2,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,2,0,0,1,2,1,0,0,1,0,3,0,1,2,0,0,0,0,1,1,0,6,1,0,2,0,1,0,1,0
1,3,0,2,5,3,2,3,4,7,0,0,3,1,3,5,0,2,2,3,3,2,2,1,4,3,2,3,5,5,0,10,3,0,6,2,3,0,0,4,3,0,1,1,1,1,4,3,0,3,4,1,4,4,1,0,3,3,0,2,1,2,0,3,0,4,0,1,1,4,0,4,1,4,2,6,1,2,2,3,0,2,0,0,5,3,2,5,1,1,1,1,1,3,2,0,0,1,2,0,1,1,2,0,2,0,4,0,1,3,0,4,1,2,3,3,0,3,0,2,2,2,3,3,3,5,2,3,0,0,3,0,2,0,2,5,0,5,0,0,0,2,7,0,4,1,2,7,1,3,2,5,0,2,0,10,0,3,4,3,2,2,0,0,5,1,2,0,2,0,4,1,1,4,0,0,7,3,3,7,4,5,4,2,0,3,1,2,6,2,1,0,0,2,0,1,1,1,9,6,0
5,0,2,7,0,1,2,3,0,0,1,1,3,0,4,1,1,5,7,3,0,4,4,0,6,5,2,2,7,1,0,0,0,3,2,1,1,1,10,4,4,1,1,2,0,4,1,3,2,1,8,0,1,2,3,4,2,0,1,1,3,7,0,0,3,0,3,1,1,0,11,1,2,2,3,6,7,0,0,6,4,5,3,4,2,2,0,3,1,0,5,5,0,1,0,1,0,1,0,3,1,2,0,1,2,12,12,3,4,0,4,1,6,1,6,0,1,3,2,3,1,8,10,2,3,5,2,0,3,2,1,36,3,0,2,4,1,7,0,1,2,2,1,2,2,1,0,2,2,10,0,0,2,3,0,1,2,0,4,7,0,6,0,0,6,1,0,2,0,12,1,3,4,1,0,1,1,9,0,0,5,1,3,0,0,2,1,4,3,8,3,7,0,1,2,0,0,4,2,3,0
0,0,0,11,0,1,37,5,0,0,0,4,1,0,19,2,0,3,13,0,1,0,1,0,0,0,15,2,4,1,0,0,0,0,0,0,0,6,4,3,2,0,3,3,9,10,0,0,0,1,4,14,0,25,16,0,0,3,0,2,0,2,0,5,0,0,46,0,0,0,0,3,9,1,2,0,5,1,2,2,2,1,21,0,0,5,5,0,0,1,0,0,0,0,0,0,0,1,0,8,0,3,1,0,0,6,4,1,9,2,0,4,9,0,14,3,0,7,0,7,24,0,1,0,2,5,0,2,16,0,2,0,2,0,0,0,0,6,0,0,0,8,0,0,0,3,5,0,0,0,6,0,1,0,0,0,26,1,7,9,0,4,0,0,0,0,2,0,1,0,2,1,2,12,0,0,6,4,3,0,0,6,1,0,0,0,0,2,8,5,0,0,0,1,2,0,0,0,0,4,0
1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,2,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,3,0,2,0,0,3,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,1,2,1,0,1,2,1,0,0,0,0,0,2,2,2,1,0,2,0,1,0,1,0,2,0,1,1,0,0,0,0
0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,1,1,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,2,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,25,0,0,0,0,0,0,0,0
3,0,1,7,0,1,7,10,1,0,1,3,4,2,6,2,7,4,11,2,3,1,4,1,2,3,12,3,3,1,1,0,1,4,1,0,0,14,1,3,1,6,0,5,12,14,0,4,2,1,3,3,3,0,3,2,3,1,7,0,8,3,5,2,3,0,9,5,8,3,3,4,2,4,1,1,5,2,0,1,9,2,5,6,0,1,6,0,3,4,7,3,5,1,1,3,7,4,0,1,3,3,0,0,4,3,2,1,8,4,3,1,7,2,2,1,2,3,3,5,5,1,4,2,2,2,6,7,2,3,1,22,1,2,3,4,1,3,5,5,2,7,2,1,3,3,0,1,1,1,5,5,3,2,5,0,7,1,2,5,0,4,2,5,1,2,1,2,4,4,2,11,4,1,2,0,1,6,5,1,1,2,3,2,3,2,4,1,1,3,8,5,0,1,9,1,2,1,13,5,0
0,0,0,12,0,2,1,0,0,1,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,14,9,4,0,0,0,0,0,1,0,0,0,0,3,0,0,1,2,2,1,1,2,0,3,5,2,0,1,1,0,0,3,0,3,0,0,0,0,0,0,5,1,0,1,0,3,12,0,0,2,4,0,1,1,2,1,5,0,0,1,1,0,0,1,5,4,0,0,0,0,0,2,0,0,0,2,14,0,0,1,0,1,2,1,0,0,0,2,2,3,0,0,0,2,3,1,2,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,2,1,0,0,2,6,2,2,0,0,1,1,2,0,0,3,0,0,0,0,0,0,1,0,1,2,3,4,0,0,2,2,1,0,0,4,0,0,1,2,0,0,2,2,0,1,0,0,0,2,0,0,3,2,0
3,3,1,1,0,0,1,3,1,1,0,0,0,0,0,1,3,2,0,4,0,0,0,0,0,0,7,3,3,0,0,2,0,5,1,0,0,4,0,1,1,4,0,0,0,9,0,1,0,1,1,0,0,0,0,0,0,3,2,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,1,3,2,0,0,3,0,4,2,5,2,0,0,4,0,0,12,3,1,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,1,2,0,0,2,2,1,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,1,0,2,1,2,0,1,1,2,0,3,0,0,0,4,0,0,1,0,3,3,0,0,0,3,1,3,0,1,0,1,1,1,3,1,0,0,2,2,1,3,1,3,1,0,0,0,0,2,0,2,0,0,0,0,6,0,0,1,1,2,0
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,2,1,1,0,0,0,3,0,1,2,1,0,0,2,0,0,0,0,2,3,4,2,2,0,1,0,1,1,2,1,0,4,0,1,0,0,4,0,6,1,1,2,0,0,1,2,0,0,1,3,2,0,0,1,2,0,8,0,0,0,1,1,6,3,0,1,0,0,3,1,1,1,2,0,1,1,1,1,2,0,4,0,1,3,2,4,0,1,0,1,2,0,0,2,2,0,1,2,0,4,0,4,3,4,3,1,0,1,2,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,1,3,2,0,1,0,0,0,1,1,0,0,0,2,0,4,0,0,0,0,2,2,0,0,2,1,0,1,0,0,0
1,1,1,0,0,1,0,4,1,0,0,1,1,0,2,0,0,1,1,2,0,0,0,0,3,0,3,2,0,1,0,0,2,1,0,0,0,1,0,2,0,2,2,0,0,2,0,1,1,0,0,3,2,1,4,0,0,0,0,1,1,1,0,2,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,1,0,4,1,2,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,1,0,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,3,2,0,1,0,0,0,0,0,0,0
0,3,1,0,8,1,1,1,3,5,2,1,4,17,0,9,2,2,3,3,11,2,2,3,0,5,0,0,0,1,3,14,3,1,1,2,2,1,1,3,1,1,0,1,0,2,1,1,0,2,5,3,1,2,1,2,6,4,1,0,2,3,3,1,0,9,0,4,2,3,1,6,0,10,2,6,1,3,2,1,0,1,1,0,1,3,0,8,1,4,3,2,1,2,14,1,0,4,10,2,1,1,7,1,1,0,1,1,0,2,1,2,4,4,2,4,0,5,1,3,1,7,4,2,0,0,5,2,1,2,1,2,4,3,2,1,5,1,12,0,3,0,2,4,8,2,1,15,5,1,3,2,0,1,0,3,1,7,0,0,6,0,20,1,7,1,2,3,1,0,2,1,1,1,12,1,0,1,1,16,4,1,3,22,8,2,5,1,3,1,1,5,0,2,1,2,11,0,14,4,0
1,0,0,1,0,3,10,3,0,0,0,0,0,0,1,1,0,5,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,2,0,0,0,2,0,0,1,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,3,1,0,3,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,0,0,2,0,2,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,1,38,1,7,60,20,0,0,3,4,0,0,11,1,2,8,4,3,0,0,4,3,2,1,54,4,6,0,2,1,1,7,0,0,4,23,6,11,4,1,2,27,23,22,1,0,2,0,8,5,3,0,17,2,0,0,2,5,24,4,2,5,2,1,59,16,3,3,0,1,32,1,2,0,3,3,0,2,4,10,11,7,1,3,14,1,3,3,2,3,9,6,0,1,2,1,4,3,1,3,7,1,2,2,5,39,17,8,0,4,8,5,9,3,1,5,10,0,14,2,2,0,9,18,1,3,51,5,2,11,0,2,5,0,2,6,3,0,2,20,5,11,4,2,3,1,4,1,3,2,2,4,3,0,20,0,3,44,0,4,0,2,0,2,10,0,3,4,3,14,4,19,1,1,3,11,9,0,1,3,1,0,0,0,0,2,1,6,11,4,1,6,22,3,3,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
