0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,target
3,0,15,4,3,3,24,1,6,24,3,2,12,14,2,5,11,5,11,10,0
1,3,5,1,9,8,7,3,1,4,2,0,5,3,4,3,5,10,2,7,0
4,3,4,1,19,16,28,2,6,26,5,6,9,1,18,23,2,10,9,23,0
33,9,12,12,33,15,21,27,29,30,26,30,11,25,24,17,15,12,13,18,0
14,8,20,19,31,19,33,21,27,23,34,37,20,32,27,19,22,14,23,34,0
39,19,83,26,97,9,38,39,63,46,34,18,15,47,51,21,49,138,22,242,0
17,5,11,15,31,9,25,14,15,32,18,30,10,20,30,7,8,21,10,21,0
18,9,21,15,18,13,37,11,16,28,36,42,12,16,12,11,14,14,13,31,0
136,130,247,165,113,141,298,157,167,311,145,158,126,209,222,141,207,55,160,158,0
2,6,1,1,7,1,4,5,2,3,3,3,3,12,6,0,11,1,1,0,0
5,0,0,7,8,0,4,2,2,8,5,4,1,7,5,0,8,4,1,4,0
7,2,7,36,12,18,4,38,9,5,19,10,5,14,12,18,7,31,7,19,0
27,1,6,3,51,0,23,3,35,16,5,1,3,21,2,1,23,79,6,29,0
8,3,13,0,9,3,7,1,4,7,3,15,4,3,1,1,3,1,4,6,0
33,13,29,53,31,4,28,35,50,31,23,33,11,52,31,8,33,51,13,20,0
5,1,8,18,10,2,10,12,19,11,7,12,1,22,14,9,14,20,3,8,0
6,0,3,10,8,7,8,17,2,5,4,5,3,9,4,3,8,7,2,6,0
4,1,2,6,2,3,2,4,3,1,2,1,0,5,0,3,2,2,4,0,0
10,2,4,5,9,2,7,5,2,3,5,6,1,2,7,3,4,2,1,6,0
14,9,23,15,10,11,28,9,12,29,19,12,6,18,11,10,20,11,4,21,0
5,3,2,3,5,3,4,7,1,4,6,7,2,2,8,14,2,6,2,8,0
220,115,420,151,379,174,449,127,235,456,238,325,182,276,149,257,274,170,179,322,0
5,0,21,10,1,1,14,0,4,21,0,4,4,10,1,3,3,8,8,19,0
15,12,18,26,33,21,28,35,22,33,31,31,14,29,34,34,25,13,18,24,0
9,7,13,22,13,24,17,25,15,17,35,10,10,14,20,9,11,5,6,18,0
12,3,9,10,19,5,13,6,20,15,9,5,4,16,7,15,11,16,9,21,0
12,0,47,9,2,0,5,12,15,4,6,0,1,21,8,0,19,1,0,1,0
36,34,41,37,75,81,46,21,48,55,73,44,38,21,61,29,28,41,32,31,0
16,0,6,5,24,0,4,12,26,4,0,0,0,11,0,6,9,156,0,87,0
10,2,14,1,11,55,9,2,11,9,46,3,4,1,13,15,0,13,3,62,0
5,0,4,0,7,0,2,5,20,0,0,0,0,0,0,0,1,0,0,1,0
47,5,20,36,20,3,15,39,112,19,7,2,1,65,6,8,50,32,4,64,0
5,0,8,1,3,3,8,1,4,9,2,11,6,9,7,13,5,6,6,4,0
8,3,9,15,4,9,14,16,9,18,5,10,4,11,5,2,12,8,9,10,0
24,1,19,3,65,3,38,7,74,35,2,1,5,28,1,5,35,47,3,127,0
5,0,0,1,2,0,2,1,2,1,1,0,0,8,0,0,9,5,0,1,0
5,1,5,8,2,2,10,5,4,9,2,7,4,10,3,4,7,1,5,12,0
9,1,8,3,2,11,7,8,5,6,1,2,1,3,1,1,4,2,1,4,0
129,0,26,37,33,0,8,10,167,4,1,2,0,129,0,2,143,150,3,86,0
7,0,9,10,3,2,6,3,6,3,4,1,0,3,10,4,4,15,0,13,0
14,4,11,12,28,2,19,6,25,24,6,6,10,32,27,8,25,62,12,22,0
2,4,42,2,3,57,16,4,2,11,9,1,4,10,5,30,11,8,11,76,0
12,3,15,14,18,4,7,5,19,15,5,10,13,18,13,14,14,21,8,27,0
6,0,12,1,5,1,17,0,9,18,3,7,1,6,2,3,6,6,2,7,0
116,65,160,54,111,101,82,30,164,99,67,22,64,85,84,63,50,762,46,1189,0
44,19,104,7,135,12,99,13,140,74,1,3,18,44,23,13,36,68,24,416,0
12,3,21,7,8,2,16,6,15,16,8,13,4,11,2,30,3,3,5,19,0
8,6,20,13,26,11,13,15,26,15,10,4,2,27,10,14,24,68,10,74,0
9,2,18,10,3,5,25,13,16,21,5,16,8,7,13,9,13,6,10,7,0
16,4,19,25,29,21,22,19,28,17,22,2,10,14,17,9,8,34,7,38,0
2,5,3,7,8,4,5,5,5,1,14,2,0,2,14,4,0,3,5,4,0
10,2,13,4,8,0,4,1,21,3,0,0,1,23,0,3,26,12,2,1,0
0,0,11,0,2,0,5,0,0,3,1,0,0,0,0,10,0,4,0,37,0
6,5,6,5,17,3,18,3,9,16,25,21,13,6,13,15,6,3,6,6,0
1,0,10,1,12,0,1,2,1,1,5,0,0,6,2,4,5,27,0,20,0
42,2,8,1,77,3,9,5,76,21,8,0,7,24,11,3,25,126,11,82,0
12,1,3,3,1,1,2,7,14,4,2,1,0,12,0,1,12,2,2,2,0
11,16,18,12,47,22,17,10,20,21,30,18,14,17,30,23,16,19,15,19,0
16,14,5,9,34,32,33,8,11,32,49,28,12,10,32,19,15,28,17,18,0
13,2,6,6,34,1,3,4,37,9,2,0,0,15,3,7,14,35,0,66,0
53,27,41,26,88,73,67,34,66,55,75,60,20,36,88,61,42,42,29,70,0
7,0,1,7,7,4,11,6,9,2,6,0,2,8,4,2,8,5,2,7,0
5,11,9,12,26,18,11,8,6,17,23,8,7,13,13,23,8,12,8,34,0
37,8,26,33,121,28,62,29,73,78,15,10,10,119,124,18,109,63,8,38,0
59,72,47,88,55,207,71,81,45,57,163,63,48,35,68,45,35,24,52,56,0
1,1,5,0,3,0,3,1,5,5,0,0,1,4,0,0,7,3,0,2,0
2,1,0,3,5,10,2,0,5,4,4,2,5,2,6,1,4,45,3,39,0
5,1,1,11,5,2,2,12,4,3,0,1,4,9,8,2,9,1,0,2,0
5,18,22,5,5,77,15,10,6,12,23,5,10,12,8,2,13,24,10,5,0
3,6,7,5,5,11,3,1,1,4,15,7,3,1,17,0,5,1,1,1,0
15,0,20,6,10,5,13,9,21,12,14,16,5,16,14,11,12,9,6,12,0
3,0,9,6,6,0,4,3,10,3,0,0,1,5,0,2,4,20,1,32,0
2,0,3,5,2,0,1,6,2,0,0,0,0,0,4,0,0,0,1,1,0
18,11,13,16,6,18,22,20,13,21,28,31,9,8,13,19,3,3,12,19,0
25,19,24,27,35,72,38,24,32,37,36,21,12,25,42,17,34,19,9,33,0
24,12,45,12,30,10,35,18,38,47,22,25,11,30,19,20,39,33,11,54,0
91,15,62,31,97,4,73,60,190,59,5,4,28,92,1,12,119,70,33,45,0
47,7,27,48,56,7,31,42,66,32,11,11,10,93,30,10,71,28,12,20,0
4,2,4,7,12,10,3,16,6,3,4,0,3,17,13,0,14,10,1,4,0
12,21,23,19,19,35,29,24,12,26,33,23,15,19,19,20,20,11,14,19,0
21,7,7,16,8,19,12,14,19,11,40,6,12,8,6,39,3,1,14,0,0
3,0,4,8,4,2,13,2,0,8,3,16,7,3,3,2,2,18,2,11,0
14,2,26,12,2,2,16,3,14,16,0,7,5,27,1,1,22,1,2,8,0
9,3,20,3,3,7,24,3,9,26,10,7,4,10,11,17,6,30,3,43,0
25,16,19,21,28,18,26,29,25,30,33,10,18,30,22,19,21,79,12,35,0
6,0,4,6,14,0,5,16,15,8,4,0,2,26,4,2,29,8,6,24,0
20,9,21,10,65,3,10,13,35,6,0,0,14,28,1,14,35,84,22,84,0
10,5,3,3,20,2,13,6,5,15,10,14,2,10,11,10,6,2,5,2,0
3,0,16,4,6,0,22,6,6,28,8,18,9,6,7,7,7,5,12,11,0
22,0,37,14,14,6,44,3,21,44,18,41,13,19,18,33,12,4,17,37,0
4,0,2,2,18,0,2,0,5,4,0,0,0,4,0,0,5,29,1,22,0
5,64,219,5,40,25,19,15,50,22,1,0,67,13,13,10,8,41,55,95,0
15,4,1,11,10,3,9,12,18,10,1,0,3,11,0,0,11,1,3,9,0
54,21,61,46,86,31,83,33,59,73,59,83,25,36,124,36,54,36,36,44,0
9,2,4,12,9,0,19,12,11,14,5,3,4,16,6,7,17,3,6,9,0
6,10,3,5,6,35,9,5,6,8,18,6,6,12,7,3,8,4,6,2,0
8,47,1,19,23,99,13,25,11,17,42,11,33,13,33,23,14,15,17,3,0
6,9,12,22,55,18,22,26,17,19,9,6,18,22,37,16,13,34,17,22,0
31,10,18,36,13,32,33,34,32,37,25,29,16,30,19,27,16,10,25,32,0
22,7,34,18,16,4,41,6,53,37,10,22,9,35,5,12,34,11,11,48,0
24,3,19,11,9,2,37,8,14,29,9,33,6,17,21,10,16,9,10,13,0
8,0,9,6,7,2,30,11,9,24,5,18,8,8,19,7,5,3,7,18,0
10,42,13,13,39,85,22,25,17,21,34,13,33,20,23,61,10,14,30,21,0
12,6,20,9,17,14,19,4,15,18,20,14,4,5,13,25,4,8,5,54,0
7,7,14,3,20,4,11,3,17,16,12,12,8,8,17,2,10,25,9,34,0
5,0,9,4,5,13,6,1,5,7,7,7,1,4,7,4,0,3,1,6,0
9,2,23,1,7,0,6,0,22,4,2,0,0,11,1,3,9,10,0,39,0
1,0,9,0,1,0,4,0,0,4,6,0,2,0,0,7,1,24,2,104,0
14,14,9,15,35,23,34,28,22,31,22,8,17,27,16,16,28,22,22,26,0
2,0,1,4,7,0,4,6,10,4,0,0,0,8,1,2,7,2,0,2,0
23,3,23,11,9,3,23,13,22,17,0,3,2,25,4,5,29,9,7,12,0
5,0,2,2,3,3,3,4,3,2,5,1,1,2,0,0,5,4,2,0,0
5,0,4,3,1,0,20,5,7,15,1,3,2,16,2,1,15,1,4,2,0
96,4,403,22,123,2,179,16,252,182,10,2,11,68,19,28,65,343,22,598,0
28,3,13,5,57,3,3,8,121,5,6,1,10,34,1,7,45,49,7,64,0
8,10,4,14,22,94,20,17,7,18,78,21,8,8,29,18,8,11,7,17,0
6,1,25,2,8,3,18,1,2,12,6,4,5,0,2,59,2,32,9,130,0
7,2,10,3,6,1,15,6,11,12,4,3,4,14,5,1,9,1,3,4,0
3,1,23,1,1,1,19,0,4,15,1,3,4,3,5,14,0,3,7,10,0
35,10,87,29,79,16,69,20,109,68,8,7,12,72,8,32,77,140,16,161,0
34,63,100,64,36,58,81,52,53,93,56,67,45,69,68,54,65,38,48,83,0
7,5,11,9,18,10,17,11,11,24,9,6,9,12,20,10,7,17,12,20,0
5,1,1,3,5,0,5,2,2,2,6,0,0,3,10,12,2,2,1,7,0
72,10,20,29,106,17,52,34,112,53,19,29,12,67,34,5,63,38,27,34,0
23,13,19,18,31,28,30,17,25,32,30,31,16,15,22,18,14,14,17,27,0
10,2,8,11,5,1,18,5,13,13,5,15,5,15,5,9,6,3,5,19,0
9,1,38,4,50,0,9,5,44,10,2,1,4,26,0,0,28,22,6,22,0
7,1,22,3,11,0,14,2,14,15,7,7,1,19,5,3,18,13,5,5,0
42,42,92,45,52,78,49,43,38,49,84,47,35,30,92,62,28,44,60,107,0
105,51,174,104,215,136,109,103,168,106,166,30,92,94,137,105,65,220,78,614,0
18,1,16,7,15,0,6,7,27,9,0,0,1,22,0,2,17,21,1,14,0
8,3,4,3,8,2,19,5,13,15,6,14,3,7,4,8,9,0,5,15,0
3,0,3,0,19,0,3,4,6,1,1,1,0,15,0,1,22,46,0,34,0
5,2,2,3,2,2,7,4,5,12,10,8,2,3,2,1,2,2,6,4,0
6,0,10,10,3,0,22,11,12,25,9,11,6,12,5,5,16,4,9,8,0
5,0,9,7,4,0,6,3,7,4,6,5,3,3,13,2,3,4,2,9,0
44,0,26,11,67,1,4,5,141,11,1,1,0,24,3,10,27,191,1,206,0
9,5,11,14,16,3,11,12,10,15,8,3,11,22,11,5,15,14,9,11,0
2,5,10,1,9,4,3,0,5,5,5,3,3,0,11,1,1,1,2,5,0
13,5,20,5,10,5,25,3,13,15,14,20,2,9,5,11,10,2,6,12,0
45,6,72,5,201,1,8,5,183,9,4,0,1,37,7,21,57,702,5,511,0
76,8,113,38,217,32,37,18,178,44,24,6,13,125,21,43,133,779,20,385,0
8,10,11,5,11,23,12,11,10,15,16,11,5,20,6,9,12,4,4,15,0
8,1,16,12,10,6,5,16,21,8,3,1,5,13,4,2,17,7,2,14,0
46,37,154,37,30,85,107,54,95,104,110,61,27,57,132,101,50,39,46,165,0
207,281,190,118,335,200,257,158,360,271,148,80,277,245,70,144,242,366,252,355,0
5,5,15,5,5,4,14,14,11,17,5,14,10,10,16,10,14,4,8,5,0
7,5,4,4,10,6,7,6,7,11,13,19,4,2,4,13,1,6,4,5,0
1,4,0,1,3,2,1,2,1,1,5,1,1,6,5,1,7,3,0,0,0
13,7,10,5,25,49,12,6,12,12,56,5,9,6,22,24,5,5,6,11,0
3,15,9,6,13,155,3,10,16,7,31,5,6,11,20,14,4,6,6,7,0
10,18,19,18,15,10,24,10,12,26,34,27,5,17,19,34,26,22,4,73,0
8,1,11,4,18,1,12,3,14,20,1,2,2,23,2,4,14,32,3,39,0
20,20,3,2,39,11,0,16,45,1,8,0,4,5,0,10,12,33,4,29,0
4,4,89,3,9,3,17,1,5,22,16,13,6,3,5,36,7,50,14,36,0
7,3,5,0,5,1,10,3,9,12,5,2,2,10,3,6,3,2,3,3,0
1,0,15,1,0,6,5,0,0,7,1,2,3,0,0,11,3,17,8,37,0
85,52,115,64,141,102,120,83,106,150,150,107,52,89,200,68,92,157,53,114,0
49,0,38,6,70,2,27,5,106,16,2,0,2,28,4,5,28,82,4,203,0
105,70,540,141,103,93,274,93,109,261,168,311,89,191,231,272,184,160,116,346,0
4,2,1,3,5,1,8,6,5,8,3,3,3,4,14,1,7,1,3,2,0
36,16,6,18,45,33,24,17,64,25,58,19,5,59,29,13,62,53,8,49,0
14,10,21,14,14,3,23,13,17,31,3,10,16,17,10,11,14,19,11,7,0
3,1,3,6,5,0,3,5,7,1,0,0,0,10,0,3,8,23,2,14,0
6,0,2,0,19,1,8,0,8,7,1,0,4,3,0,0,5,11,1,17,0
10,7,50,21,44,8,44,13,26,61,26,42,24,42,26,53,36,20,19,85,0
1,4,2,0,4,12,7,5,1,8,4,4,7,4,5,4,2,3,2,3,0
19,1,32,8,48,0,17,3,44,8,3,3,3,33,1,4,41,102,2,93,0
6,1,82,7,9,11,15,5,6,13,29,19,6,25,29,20,22,21,10,25,0
3,6,7,4,7,3,9,1,5,13,8,7,4,8,7,5,6,1,4,10,0
11,9,7,11,73,17,12,18,19,14,7,2,9,15,13,5,9,66,9,22,0
13,4,4,9,84,14,14,18,23,15,5,1,14,15,7,3,14,64,12,16,0
71,27,44,40,100,53,68,53,162,88,77,71,34,53,79,84,58,146,51,92,0
11,21,4,8,3,131,19,17,12,15,95,24,17,8,65,5,6,0,16,6,0
8,2,4,0,3,3,1,5,14,5,6,3,1,6,2,0,8,5,1,14,0
6,1,2,5,5,0,3,9,5,5,3,2,0,5,4,3,6,1,0,7,0
10,0,16,2,1,0,9,1,8,9,7,11,0,1,4,5,0,0,0,7,0
115,35,71,68,238,117,115,99,105,99,139,49,31,89,197,192,77,169,41,322,0
84,111,72,95,196,401,151,108,121,157,317,128,93,77,190,136,69,64,75,110,0
24,38,30,35,99,57,38,66,49,40,36,13,33,54,81,15,50,70,32,34,0
17,9,13,27,17,15,20,31,22,15,19,15,7,16,38,29,9,12,18,26,0
18,8,24,9,13,5,11,4,15,23,15,23,9,4,32,51,7,10,8,42,0
6,3,2,14,5,3,1,13,8,1,2,1,1,15,6,3,9,4,3,2,0
23,3,33,10,39,1,13,10,43,8,26,10,4,17,1,5,12,94,2,91,0
3,1,21,3,9,2,27,1,9,31,11,26,3,5,10,4,10,11,6,46,0
9,8,3,4,42,3,11,2,7,13,1,1,4,2,0,3,8,18,0,4,0
1090,1234,1441,512,4792,1382,1991,739,2114,1873,517,345,1190,1750,485,902,1939,3694,1113,2943,0
19,3,18,7,12,13,16,9,9,21,23,13,5,5,24,19,5,7,5,10,0
20,9,31,37,20,2,11,47,86,15,12,8,5,48,19,5,52,9,10,6,0
76,42,41,50,104,79,106,57,53,104,87,97,35,61,100,76,58,62,50,62,0
5,4,13,6,21,6,22,6,4,25,14,16,8,6,22,16,12,4,6,27,0
49,33,67,47,76,47,79,45,32,70,65,72,25,40,84,46,41,19,29,41,0
45,45,94,55,78,56,109,54,55,107,53,62,50,52,60,43,53,62,54,84,0
17,8,22,5,62,15,17,4,61,13,5,1,22,20,24,6,25,104,28,134,0
81,7,66,49,173,30,42,31,131,39,23,4,9,99,23,47,86,407,16,395,0
30,7,32,8,62,4,28,2,67,31,3,7,15,48,3,5,49,44,13,34,0
31,19,33,36,52,34,39,28,29,35,47,30,16,38,23,28,37,69,16,130,0
26,15,23,28,23,25,53,30,38,52,52,30,17,38,38,3,30,22,8,32,0
11,6,3,11,2,3,14,7,12,11,4,4,2,8,18,7,9,4,4,4,0
14,9,7,6,27,17,14,18,29,20,5,5,3,14,22,13,18,32,1,38,0
1,0,0,0,4,0,1,0,3,0,0,0,0,5,0,0,5,1,0,0,0
2,2,10,3,4,3,12,9,11,10,2,9,5,3,8,5,7,3,3,13,0
8,10,33,4,13,20,14,8,6,13,21,6,2,15,11,22,14,14,7,15,0
13,4,11,3,17,1,9,3,14,7,3,2,2,19,2,1,25,23,3,9,0
22,8,20,14,19,5,42,8,25,42,30,14,11,9,33,34,13,4,10,34,0
5,6,19,14,3,5,16,6,7,28,5,19,4,14,5,5,15,5,7,20,0
5,9,33,5,10,16,27,4,6,29,12,32,13,2,26,2,8,0,21,3,0
105,1,121,12,48,0,132,12,251,119,36,15,4,62,19,2,82,12,12,58,0
17,1,46,10,14,2,38,6,16,35,5,19,6,14,3,14,14,27,10,31,0
8,6,3,9,10,5,10,8,10,6,1,6,1,10,6,4,7,4,2,0,0
2,4,1,0,23,2,5,2,13,3,10,1,2,5,4,21,7,40,3,22,0
4,0,5,4,10,3,4,4,9,6,3,0,0,8,0,2,12,11,0,15,0
23,25,35,9,89,10,34,23,65,46,4,4,22,55,0,13,57,96,18,102,0
49,59,53,51,93,267,84,56,50,79,147,55,31,40,83,83,44,43,38,84,0
20,24,18,21,29,21,20,16,31,16,20,14,30,24,41,18,34,39,26,25,0
15,3,41,19,4,1,33,12,20,19,10,31,6,16,4,10,18,5,8,22,0
58,50,75,63,64,87,72,74,81,57,72,49,70,69,113,47,72,37,55,43,0
1,3,3,1,2,1,5,1,3,5,1,1,2,4,0,1,3,18,4,4,0
15,11,32,9,23,13,20,10,18,12,27,27,10,8,44,30,3,37,13,38,0
25,9,39,15,47,54,34,9,22,27,20,15,10,21,33,27,40,66,9,80,0
7,1,3,3,70,1,13,2,37,12,0,0,2,27,9,0,28,94,4,55,0
18,11,37,19,84,24,24,14,43,27,20,0,20,35,14,34,36,194,23,334,0
109,94,184,105,63,594,225,116,105,226,374,390,107,64,130,101,78,11,122,95,0
6,0,7,7,4,1,5,4,22,10,2,0,1,5,0,1,4,7,1,14,0
23,37,19,12,14,17,11,39,35,12,11,30,32,28,58,20,19,0,29,5,0
6,4,3,9,11,1,1,7,4,0,9,1,1,3,5,1,1,10,4,2,0
3,4,4,5,0,0,1,6,3,1,0,0,0,9,4,0,8,4,0,2,0
3,5,7,9,15,62,15,9,8,20,30,7,9,1,23,13,5,3,14,30,0
117,99,154,104,249,256,180,97,179,197,233,74,92,118,208,198,117,157,112,220,0
4,3,14,4,5,1,6,3,17,12,8,2,2,9,2,11,6,8,6,18,0
2,3,2,0,4,3,4,3,7,5,1,0,1,5,0,1,1,1,2,12,0
3,0,0,10,1,1,0,2,3,0,2,2,1,2,0,2,1,3,2,0,0
23,2,23,38,13,1,7,31,45,14,0,5,2,53,6,6,43,12,2,27,0
9,9,11,14,12,19,18,9,7,13,14,24,15,8,23,9,6,4,11,22,0
31,3,55,36,8,3,46,35,41,54,10,38,14,44,10,25,41,8,25,34,0
10,7,8,13,12,8,19,9,8,15,25,14,7,17,12,28,10,3,15,15,0
5,1,4,2,1,6,10,2,7,6,8,3,3,3,3,6,4,0,3,6,0
7,1,14,2,4,2,11,6,6,14,4,9,2,4,0,3,7,7,3,13,0
11,11,12,3,30,8,21,8,28,18,2,1,13,20,33,3,12,5,19,20,0
3,1,0,3,1,3,4,1,3,4,1,0,1,5,5,0,3,0,1,4,0
6,2,0,3,1,2,6,4,4,6,9,5,3,1,2,12,1,3,1,9,0
15,14,35,36,13,6,62,46,31,45,9,32,25,30,27,10,29,5,18,27,0
7,7,40,5,12,7,37,7,7,31,21,22,10,4,6,20,7,28,14,95,0
18,2,18,13,141,6,11,10,76,11,12,0,10,33,3,23,38,670,7,275,0
