0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,target
4,5,2,1,2,1,2,1,2,4,0,0,0,6,2,3,2,3,0,0,3,1,1,2,4,4,6,0,2,2,3,0,0,11,12,7,6,9,6,3,0,2,3,5,4,5,2,1,2,3,2,0,0,2,1,4,1,1,1,3,2,1,4,0,2,2,8,2,1,1,3,1,1,1,1,0,1,6,2,17,0,8,1,2,0,0,0,0,1,2,10,10,1,8,0,9,1,4,2,2,0
1,5,1,0,0,0,1,1,2,2,0,1,0,3,1,2,1,0,1,0,2,1,1,0,1,3,0,1,0,1,3,0,4,1,1,0,0,1,2,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,3,0,1,6,1,0,2,0,0,1,2,0,3,5,1,1,0,1,2,3,1,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,1,4,0,1,1,1,0,0
54,54,36,49,43,51,47,60,45,42,42,28,79,46,38,62,48,19,33,52,34,50,63,87,35,40,35,36,67,55,49,48,53,71,64,35,50,66,65,29,46,59,58,60,27,29,53,55,46,30,47,54,45,42,57,45,54,58,64,34,46,38,44,46,51,30,22,28,47,58,25,45,48,56,49,39,40,37,45,90,25,46,37,68,56,33,59,37,25,24,46,35,42,66,52,59,46,37,68,31,0
1,4,1,2,0,2,3,0,2,3,1,2,0,1,1,2,4,0,3,1,3,2,4,1,2,3,2,6,1,1,1,0,2,3,0,0,1,1,2,2,0,5,0,2,0,1,4,3,1,0,0,0,0,2,3,0,2,1,7,2,2,6,4,7,0,0,0,1,1,3,5,1,2,0,1,2,2,1,1,2,1,0,4,4,0,1,4,0,1,0,1,4,3,1,2,2,2,1,0,1,0
0,0,3,2,1,0,3,0,1,3,2,1,6,0,0,4,11,2,7,2,1,3,9,17,0,1,8,1,0,1,0,15,24,3,0,6,4,1,2,3,2,7,6,5,3,3,4,3,0,11,9,1,0,2,7,2,8,24,11,2,2,2,0,3,6,4,0,4,3,0,0,0,3,1,2,12,4,0,2,0,6,0,1,0,0,0,5,4,0,5,2,4,0,0,0,2,0,3,3,5,0
2,2,3,1,0,2,4,1,2,6,3,6,15,7,7,0,15,6,5,1,0,2,1,44,1,0,11,3,0,4,3,4,7,1,1,3,2,2,1,4,3,7,3,2,0,2,2,10,8,5,6,2,2,7,6,0,5,3,22,0,2,1,0,4,2,6,4,2,2,1,2,3,4,1,12,3,1,2,3,1,4,2,2,4,3,1,1,0,3,16,2,6,8,1,1,1,8,4,6,3,0
0,3,0,2,0,1,0,8,2,2,0,0,3,0,0,3,7,0,4,1,0,3,1,14,2,0,6,1,1,0,0,1,0,1,0,1,0,1,0,4,2,0,13,7,0,1,1,1,1,3,0,8,1,5,0,4,6,0,8,0,2,0,1,0,9,0,1,0,1,0,0,2,0,0,2,8,0,2,3,1,0,1,5,3,0,0,0,0,4,1,0,1,0,2,0,0,4,0,2,0,0
3,6,3,4,5,2,2,2,6,7,4,6,3,1,4,9,4,0,8,3,1,6,6,2,1,3,2,8,7,2,8,9,18,9,0,0,1,4,5,6,11,10,0,2,1,0,4,8,6,0,5,3,1,1,3,4,5,15,3,3,9,4,3,6,1,0,2,4,12,6,1,7,13,5,9,11,6,0,3,0,5,2,2,1,1,2,12,4,1,4,1,3,5,4,10,6,4,0,5,0,0
3,6,13,1,3,4,5,1,7,5,4,6,1,9,13,2,2,3,4,0,2,2,3,0,5,7,6,15,2,0,15,1,9,3,4,5,2,8,6,1,7,4,0,3,2,5,1,1,14,1,7,4,0,0,5,8,3,1,2,5,4,9,6,4,2,25,1,2,3,6,3,11,0,0,7,3,2,6,8,7,2,7,0,33,20,6,4,0,4,17,6,7,12,11,9,4,9,2,5,2,0
2,5,0,1,0,0,2,0,3,23,0,31,0,28,27,0,4,19,3,0,29,1,5,1,2,2,15,7,0,1,3,0,0,5,0,0,0,3,6,12,1,4,0,3,0,59,4,4,6,0,0,0,0,14,2,0,0,0,2,0,8,12,0,5,0,2,0,57,0,14,0,10,1,0,11,8,31,0,1,0,0,0,0,3,18,0,6,4,4,15,0,23,4,0,15,9,9,0,0,0,0
2,0,0,1,1,3,2,0,1,0,2,0,3,1,0,0,2,0,2,0,3,1,1,4,1,1,0,2,2,1,3,2,0,2,1,0,0,2,1,0,0,1,0,1,0,0,2,1,0,0,1,0,1,1,0,0,0,2,1,2,1,1,0,1,0,1,1,1,3,2,1,0,1,1,1,1,2,0,1,2,1,0,3,0,0,0,1,0,1,0,0,0,2,3,2,1,0,2,0,0,0
2,0,0,0,0,0,0,2,3,0,0,1,1,0,1,0,0,0,1,1,0,2,1,1,0,1,0,0,1,0,0,0,0,1,2,0,1,2,2,0,0,0,32,0,1,1,0,0,1,0,0,2,0,0,0,2,3,0,0,1,0,0,0,0,1,3,1,2,0,1,0,2,0,0,0,0,0,0,1,4,0,0,4,5,2,2,0,0,0,2,4,0,0,4,2,0,0,0,1,0,0
5,2,4,5,3,5,10,6,4,11,3,11,3,15,18,2,5,19,7,3,6,3,5,7,13,8,4,9,2,3,6,3,16,2,2,6,14,9,8,14,3,7,0,1,5,10,4,3,8,5,4,4,4,13,6,2,6,0,10,1,3,11,7,0,9,26,5,11,2,2,20,4,1,3,10,5,8,6,4,5,1,6,6,5,11,4,7,1,1,6,8,9,15,4,10,5,16,12,0,10,0
1,3,0,1,1,0,2,0,0,8,0,9,1,8,2,0,4,0,3,0,2,1,3,0,2,0,19,8,0,1,3,2,3,1,0,0,0,3,3,1,1,1,0,1,0,6,4,5,5,0,0,0,0,4,0,0,3,0,1,0,3,3,0,6,0,1,0,2,3,4,0,10,3,1,17,1,4,0,0,0,2,0,0,0,3,0,0,15,1,0,0,3,5,0,4,2,14,0,1,0,0
0,0,1,0,2,1,9,1,0,3,3,2,0,8,6,0,1,6,1,1,1,1,0,2,0,1,1,1,1,0,6,0,8,0,0,2,2,0,3,0,5,1,0,2,3,1,5,2,4,7,3,1,0,0,1,2,1,2,0,2,1,5,1,1,0,0,0,3,4,0,5,2,4,0,4,5,1,6,0,0,3,3,0,1,4,0,2,2,0,6,3,4,11,0,1,1,5,4,1,4,0
3,0,1,5,0,0,5,1,1,3,1,1,3,4,1,3,3,3,3,2,2,1,4,4,4,5,5,1,0,0,0,2,0,0,0,0,1,2,1,7,2,1,0,4,0,0,1,0,1,0,5,5,1,5,2,0,6,0,5,0,0,2,1,0,5,2,3,0,4,1,9,1,2,1,0,0,2,0,4,1,5,6,2,0,2,0,2,3,2,0,4,7,1,1,1,1,0,0,0,0,0
3,1,0,3,0,0,1,0,0,1,0,2,1,3,2,3,0,3,0,0,8,1,4,2,3,3,0,2,0,0,2,0,0,4,0,0,3,3,1,1,1,2,0,0,2,1,0,2,1,0,0,0,0,0,3,0,0,0,2,0,2,3,3,1,0,0,0,0,1,1,4,0,1,0,1,1,7,0,3,1,0,2,1,0,0,0,1,0,0,0,1,2,1,0,0,1,4,0,1,2,0
7,7,3,11,8,13,3,18,3,2,10,2,26,0,4,5,2,1,20,25,4,15,9,4,2,2,0,5,4,15,1,25,19,6,1,2,2,10,3,0,8,15,3,3,2,1,3,3,4,2,2,5,26,1,13,1,5,21,4,1,2,1,2,1,1,5,1,1,21,3,1,3,14,3,6,5,1,0,2,6,14,1,5,2,5,3,15,9,1,0,1,1,2,9,5,4,5,3,6,1,0
0,1,1,1,0,0,0,0,0,3,0,1,0,5,1,0,0,15,0,0,8,0,0,0,0,3,1,2,0,0,7,0,0,1,0,1,4,0,0,0,0,0,0,2,1,12,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,4,0,14,0,0,5,0,1,0,0,0,4,2,0,0,0,0,0,2,6,0,1,0,1,2,0,6,4,0,0,1,0,2,0,1,0
29,4,1,11,3,2,7,3,6,40,5,10,0,55,12,5,27,27,0,3,17,2,6,13,17,31,64,9,7,3,13,0,0,3,1,0,8,10,2,24,3,3,4,49,2,68,7,10,12,5,3,5,5,29,1,15,5,0,4,1,4,27,17,10,4,7,6,69,0,8,24,17,3,6,3,2,14,6,23,3,2,11,0,19,13,2,4,13,8,58,4,80,14,1,5,8,15,3,1,1,0
1,0,0,0,0,0,0,0,0,1,0,4,0,4,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,2,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,2,0,0,0,0
0,2,0,0,0,0,0,0,1,8,0,0,0,5,5,0,0,8,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,2,0,7,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,3,0,5,3,0,4,0,3,0,0,0,0
3,3,1,0,1,1,1,1,3,1,0,1,2,0,0,0,0,0,2,3,0,1,2,0,2,1,0,6,2,1,0,0,2,1,1,1,1,1,3,1,3,6,0,1,0,0,2,2,1,0,1,2,2,1,2,3,3,1,2,0,1,2,0,1,4,1,0,5,1,2,1,1,4,1,3,1,2,0,4,1,0,0,2,0,1,1,2,3,1,3,2,0,1,3,1,2,0,0,1,2,0
1,0,1,4,5,5,0,10,1,12,5,3,1,4,4,2,1,14,0,1,7,1,1,16,5,3,0,2,1,3,3,0,1,2,2,0,0,0,1,9,2,23,0,1,2,6,1,3,0,2,0,1,3,10,18,6,0,3,7,1,1,3,1,0,2,2,0,6,0,4,1,1,2,0,3,3,7,3,2,1,0,7,3,2,1,0,0,0,1,4,2,12,2,0,0,1,2,2,1,6,0
4,0,2,3,0,3,2,0,0,1,2,2,6,0,1,1,1,0,10,6,1,14,5,4,0,1,0,0,3,2,3,4,6,1,0,0,0,0,0,0,3,3,5,0,0,1,5,3,2,0,1,0,0,0,3,0,3,7,1,1,1,2,1,2,0,4,0,1,7,1,0,2,4,4,4,3,1,0,0,2,12,1,3,2,1,5,5,3,1,1,1,1,4,2,1,1,2,0,4,1,0
1,1,2,4,1,1,0,2,0,1,3,1,1,1,1,2,1,0,2,0,3,2,2,2,1,1,1,2,0,1,0,3,3,4,0,0,2,2,1,0,4,0,0,0,0,0,3,6,5,0,0,0,1,1,3,3,2,1,0,1,3,3,0,4,0,0,1,0,4,2,0,3,7,1,4,9,4,0,0,0,2,0,1,3,3,1,1,0,1,0,0,0,2,0,3,0,4,1,0,1,0
3,3,5,2,3,5,4,7,4,5,4,1,2,7,1,3,1,1,6,6,4,2,12,5,1,6,1,8,12,5,3,7,14,2,7,8,5,4,4,5,7,13,185,1,1,2,8,1,2,3,2,3,6,6,17,1,3,12,8,6,1,3,3,1,12,4,3,1,7,4,4,7,6,3,2,13,1,1,4,9,3,6,3,3,0,1,10,1,0,0,3,4,4,8,1,4,6,2,2,2,0
1,1,0,2,0,0,1,1,0,8,0,2,0,4,11,0,2,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,2,1,1,0,18,0,1,0,0,1,3,2,0,0,1,0,1,4,17,0,0,0,3,0,0,0,2,2,0,0,1,0,2,0,0,0,2,0,2,1,2,0,1,1,0,0,1,0,2,3,1,3,0,0,0,1,2,1,0,2,0,0,1,0,2,0
8,10,1,4,0,0,3,11,3,7,4,5,0,8,12,2,1,2,0,5,2,1,4,7,4,2,0,2,0,2,4,0,11,18,3,3,3,4,2,20,19,6,0,0,2,3,2,41,1,3,1,8,7,24,6,1,0,5,35,2,0,4,4,6,2,7,1,2,1,1,4,1,1,6,32,33,0,2,3,0,0,3,0,3,5,5,4,0,0,0,5,7,115,0,0,1,0,2,4,3,0
0,2,2,2,0,0,2,4,1,2,0,1,5,0,3,1,2,0,0,1,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0,1,2,1,0,0,0,1,9,0,3,0,2,3,0,0,3,0,0,2,2,11,0,0,0,1,2,0,1,6,0,0,0,1,1,0,3,0,0,2,3,0,0,1,2,6,0,0,2,0,3,2,2,0,0,0,5,2,2,5,1,1,0,2,0,0
0,3,3,4,1,0,3,0,0,0,2,0,8,2,0,1,1,0,9,0,0,0,1,2,0,0,1,3,2,0,2,2,6,0,3,1,0,1,1,0,5,5,4,1,2,0,3,3,0,1,1,1,1,0,1,0,1,3,6,2,0,3,0,4,2,0,0,0,3,0,0,1,2,3,0,10,0,0,0,2,3,0,0,0,1,0,2,0,0,0,4,2,2,0,0,3,3,4,0,1,0
0,0,0,0,1,1,0,0,1,0,1,0,0,2,15,1,0,0,3,0,0,0,3,0,0,0,0,0,1,0,1,1,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,4,1,0,4,1,1,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,8,0,1,0,1,0,0,0,4,0,0,0,0,0,0,2,0
2,1,0,0,2,1,0,2,1,0,0,2,0,0,1,1,0,0,0,3,0,1,0,0,1,0,0,0,1,3,4,0,0,1,2,1,0,2,0,3,0,1,10,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,2,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0
2,2,0,0,1,2,0,0,0,3,0,2,1,3,1,2,8,3,4,0,1,1,0,0,1,0,5,2,2,1,1,2,5,0,0,0,0,1,1,2,1,1,5,3,1,3,1,3,0,0,1,3,2,3,1,3,1,0,2,1,2,4,2,4,2,0,0,1,2,1,1,1,0,1,4,0,3,0,1,1,4,2,2,0,2,0,0,8,1,1,1,3,1,0,2,0,2,0,1,0,0
23,17,11,14,23,19,28,22,18,6,15,7,38,11,13,20,11,1,9,17,8,25,19,7,13,6,7,18,26,32,14,33,43,17,20,4,18,21,17,10,20,20,1,9,9,2,25,15,11,13,19,16,8,10,23,14,17,66,8,8,16,15,13,21,11,2,12,5,12,20,7,5,21,12,14,39,8,15,15,13,20,22,15,13,12,6,9,13,3,9,16,8,16,17,17,18,23,9,28,6,0
22,33,13,24,24,16,31,31,21,26,24,16,30,11,11,28,36,15,38,14,5,48,20,68,7,11,14,31,37,18,26,43,77,26,12,11,14,15,18,6,34,26,9,45,8,15,40,43,32,1,24,28,11,6,26,36,30,31,71,21,34,12,12,54,19,22,3,16,46,27,10,31,47,19,40,37,11,5,18,16,30,12,23,36,21,18,16,31,42,44,6,6,10,13,33,36,36,14,38,8,0
2,2,1,2,0,1,9,0,1,3,1,1,5,4,0,0,3,1,1,0,0,1,2,2,5,3,3,3,1,1,3,1,0,2,1,0,0,2,6,2,1,2,0,9,1,7,1,2,1,2,2,3,2,2,2,2,2,0,5,2,1,13,3,2,1,5,4,6,1,0,13,3,0,1,0,3,5,1,3,1,2,3,0,7,1,2,8,5,0,3,0,0,9,2,1,3,3,0,2,1,0
2,0,2,1,0,0,1,0,0,1,1,1,0,2,3,1,0,0,0,1,3,0,0,0,2,2,1,1,0,1,1,0,0,1,0,1,1,1,0,2,0,0,0,1,0,1,2,0,0,2,1,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,2,1,1,1,2,0,0,3,1,0,0,0,4,0,1,0,0,0,0,1,1,0,4,0,0,1,1,1,1,0,1,0
2,1,3,2,4,0,3,0,4,0,1,0,1,1,0,2,0,1,0,3,3,1,4,8,1,2,5,2,3,2,3,1,1,4,0,1,3,2,3,0,1,0,0,1,3,2,1,3,2,0,4,0,1,2,2,2,4,2,5,4,5,2,0,0,0,6,0,2,0,4,0,6,2,2,1,1,1,0,0,0,0,3,0,3,4,3,2,2,2,2,0,0,0,2,2,4,2,3,0,3,0
3,5,1,4,2,5,1,7,26,2,4,0,1,2,1,5,0,0,1,3,3,3,4,3,6,2,0,1,12,5,3,0,2,6,7,1,3,10,4,2,1,10,0,2,4,1,2,3,0,2,5,1,8,4,10,1,1,4,0,6,3,2,2,3,0,4,2,2,0,4,3,0,1,2,3,1,2,2,4,8,0,0,2,0,4,0,9,0,0,3,4,1,3,6,1,3,2,3,7,2,0
0,0,0,0,0,0,9,0,0,2,0,0,0,6,2,1,7,1,2,0,2,0,0,0,0,0,15,13,0,0,2,0,3,0,0,0,1,3,6,1,1,0,0,3,0,1,2,1,3,0,0,1,0,1,1,1,6,0,0,0,0,5,0,0,0,0,0,0,3,2,0,2,2,0,2,1,1,0,0,0,5,1,0,0,4,0,2,1,4,2,0,5,18,0,1,0,3,0,0,0,0
3,3,4,2,1,6,6,1,6,11,4,3,2,5,1,2,4,0,7,2,8,5,5,10,7,3,2,5,6,4,3,2,1,3,4,0,1,3,6,3,3,1,4,1,2,7,3,7,5,0,1,3,2,4,2,2,4,2,6,3,2,3,5,6,4,0,2,4,5,1,5,2,4,2,3,2,6,6,5,3,0,4,0,1,2,3,1,0,0,2,1,3,2,3,8,4,6,7,3,0,0
9,3,3,1,1,2,2,1,3,7,1,3,0,1,5,4,4,2,0,1,2,1,2,4,5,1,2,3,2,0,4,1,2,1,1,0,1,4,7,1,1,5,1,3,1,7,1,2,2,0,0,1,3,2,6,4,2,2,2,1,1,4,0,0,0,1,2,7,0,0,1,0,1,2,2,2,0,0,1,0,1,2,1,10,2,1,0,0,1,12,0,3,2,0,4,2,2,0,1,0,0
3,1,0,0,4,0,2,0,1,5,0,7,0,5,9,0,0,3,0,0,8,0,1,0,1,4,0,5,1,2,2,0,0,1,1,0,0,1,3,2,0,0,0,0,0,4,0,0,1,1,0,0,0,4,0,3,2,0,1,0,3,4,0,1,0,1,0,5,1,4,4,2,1,1,5,0,8,0,1,0,0,1,0,1,4,1,2,0,1,2,0,0,2,1,1,1,6,0,1,0,0
0,1,0,1,0,1,4,0,0,10,0,9,1,20,5,0,0,14,0,1,1,0,0,0,2,2,4,2,0,2,2,0,0,0,0,0,0,0,0,3,1,0,0,3,0,7,5,6,8,0,0,1,0,0,0,2,3,0,0,0,0,4,0,3,0,1,1,5,2,3,1,3,0,1,0,12,2,0,0,0,0,0,0,0,2,1,0,10,1,2,1,9,18,0,2,0,13,0,0,0,0
0,0,0,0,1,0,0,1,1,2,0,5,0,3,0,0,3,0,1,0,1,0,0,0,0,0,5,1,1,0,2,0,1,1,0,0,0,1,0,0,2,1,0,2,0,3,3,0,2,1,0,1,0,0,0,7,0,0,0,0,3,1,0,1,0,0,0,3,0,5,0,4,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,1,5,0,2,1,0,2,1,5,0,0,0,0
0,2,0,2,1,0,0,1,0,1,1,1,2,0,2,1,1,0,5,1,3,3,1,3,2,2,2,1,3,2,0,2,2,2,4,0,1,0,2,2,0,0,1,2,1,0,0,2,0,0,1,1,0,0,1,1,1,3,0,2,1,4,0,2,5,3,1,0,5,0,1,2,2,2,2,4,2,1,1,5,0,2,4,0,1,1,4,0,0,0,0,0,0,1,4,4,0,1,2,0,0
7,0,1,2,1,5,11,1,0,33,0,7,0,39,10,0,19,28,1,2,14,0,5,3,8,10,142,28,0,4,11,0,0,5,0,1,1,6,6,8,1,2,0,28,0,16,7,16,26,0,3,4,1,16,2,5,19,0,1,2,3,34,1,7,0,12,1,22,1,1,13,27,3,3,8,8,23,0,3,0,2,0,0,2,3,0,2,40,12,23,0,42,47,4,1,1,40,2,0,1,0
0,0,1,2,0,0,6,1,1,2,0,1,0,7,1,0,31,4,6,0,1,0,1,3,0,1,256,11,0,0,3,1,2,0,0,1,4,1,0,2,0,1,0,30,3,13,1,4,5,6,3,0,0,2,0,3,3,1,4,3,0,5,0,4,0,6,1,13,3,0,1,3,0,1,1,3,1,3,1,0,1,5,1,4,1,0,1,137,3,11,3,0,15,0,0,1,7,1,0,2,0
4,3,2,2,2,3,1,3,1,1,0,2,0,4,1,0,6,0,1,4,1,0,4,2,1,0,0,2,3,5,4,1,5,0,2,1,1,4,4,1,2,3,0,0,0,1,0,1,0,4,3,0,1,1,0,1,3,1,0,0,0,1,2,0,4,1,0,1,0,1,1,0,3,1,0,4,2,1,2,1,8,2,8,0,0,0,3,0,0,1,0,0,2,2,1,2,2,0,1,1,0
37,21,24,10,27,14,26,33,27,13,16,7,38,7,6,23,31,2,15,39,18,29,29,23,15,16,11,33,39,20,14,36,13,45,66,17,18,50,41,10,10,18,84,23,21,12,22,16,24,5,42,22,15,14,12,19,35,18,27,22,10,15,43,21,46,29,24,9,26,31,11,11,15,15,10,11,17,10,22,80,30,33,21,41,14,4,14,20,18,26,10,6,6,73,34,51,17,16,39,12,0
29,24,21,15,37,26,9,51,31,17,26,10,40,13,15,37,25,5,23,35,11,65,19,41,11,11,120,55,29,26,20,48,33,50,43,8,17,32,31,4,44,20,72,19,8,8,34,41,36,17,52,14,30,5,17,18,52,44,40,19,28,16,12,68,54,8,8,6,27,26,9,24,49,16,60,58,18,20,22,52,23,34,23,14,15,14,23,233,19,32,13,15,44,51,30,51,57,10,38,13,0
4,8,3,0,2,1,4,0,1,3,0,1,2,2,2,5,1,2,3,0,1,6,6,1,1,1,0,1,1,2,0,3,3,7,1,0,2,5,3,4,5,1,0,0,2,0,8,4,8,0,2,0,3,2,1,0,1,1,0,0,7,4,2,3,0,1,0,2,6,3,1,1,4,1,2,2,0,0,2,0,4,0,1,0,4,1,3,0,1,2,0,2,1,1,5,6,1,0,4,3,0
1,3,1,2,0,0,19,0,3,16,0,6,0,10,4,1,3,9,12,0,2,5,10,0,3,1,5,7,0,0,11,0,13,3,0,1,7,4,6,2,6,4,0,5,1,17,5,9,8,1,3,4,0,2,2,5,5,0,0,6,6,14,3,5,0,0,1,19,12,4,6,4,3,0,7,9,4,3,1,0,14,3,6,9,4,0,8,0,5,89,1,12,16,1,3,4,5,1,1,1,0
0,0,0,0,0,0,1,0,1,4,0,5,0,5,6,0,0,2,0,0,2,0,1,0,1,2,3,1,0,0,1,0,0,2,0,0,2,2,3,1,0,0,0,2,0,3,1,1,5,0,0,1,0,3,0,0,0,0,0,0,3,2,1,2,0,6,1,5,0,2,3,6,0,0,1,1,3,0,0,0,1,0,0,6,8,0,1,0,0,1,1,5,2,0,1,0,6,0,0,0,0
5,4,5,0,3,2,4,9,4,4,3,0,5,1,1,8,1,7,1,6,3,2,2,6,3,3,0,2,6,3,0,3,4,5,8,2,4,4,5,4,3,1,1,2,1,0,2,8,3,2,7,0,2,1,4,3,3,2,5,5,0,1,7,7,8,7,5,1,2,2,0,2,6,0,9,9,4,4,5,8,2,4,2,4,1,1,2,0,0,1,0,1,2,6,1,5,1,1,8,4,0
