0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,target
1,0,11,5,4,1,6,18,1,3,1,7,2,2,4,3,8,5,6,8,1,1,0,2,6,4,4,7,2,2,2,5,5,24,4,0,1,15,6,1,1,2,8,9,0,4,2,0,5,5,3,6,7,2,13,6,1,6,13,0,0
1,1,1,4,3,1,2,2,0,2,1,1,0,1,0,2,1,1,2,0,8,1,1,1,0,2,0,3,1,2,3,5,0,0,0,6,1,2,0,1,2,0,1,0,3,0,4,4,1,3,0,1,1,1,1,2,3,0,5,3,0
73,42,68,64,57,70,78,112,79,86,93,97,95,87,97,90,87,88,127,66,92,56,75,82,51,118,48,53,64,70,96,86,29,95,97,68,64,63,76,103,108,96,56,116,54,41,76,90,81,124,112,45,82,43,58,55,99,60,87,74,0
1,1,2,3,4,2,3,2,4,1,2,4,4,3,3,2,3,3,6,3,4,2,7,2,2,2,1,3,3,0,1,8,0,0,8,0,3,9,2,2,7,5,2,0,5,2,2,5,0,6,1,2,3,1,2,2,6,1,8,1,0
3,6,3,3,2,11,0,0,10,3,1,6,2,1,1,0,10,8,9,6,1,6,0,0,4,5,3,4,13,17,0,5,5,0,14,0,9,5,0,12,9,3,11,7,9,4,3,20,1,7,17,7,1,5,2,3,15,19,1,13,0
4,0,3,8,0,2,5,3,15,5,1,2,1,6,1,2,4,6,7,3,9,5,7,16,6,3,8,3,13,5,7,4,15,6,25,5,8,5,3,16,1,10,11,5,12,2,4,14,4,11,45,4,4,7,5,4,6,8,3,2,0
1,2,2,0,1,2,1,1,9,2,12,2,2,0,2,0,1,6,1,0,2,2,3,3,4,1,6,1,9,3,3,0,3,2,8,0,0,0,1,6,1,5,11,21,8,0,2,1,1,0,20,0,1,0,1,0,3,6,1,2,0
5,6,0,6,4,8,11,4,11,4,3,11,6,9,10,7,8,4,9,2,13,6,12,7,7,14,2,4,9,19,6,7,4,4,4,11,7,3,5,4,25,2,9,0,17,1,8,24,8,14,2,0,11,4,1,2,15,2,3,15,0
10,0,10,11,4,1,3,8,9,1,2,5,9,3,5,27,6,4,13,2,11,5,4,23,3,6,0,6,2,3,31,11,23,9,2,13,3,14,8,1,11,57,10,1,4,10,13,26,10,9,0,9,7,3,10,5,8,7,14,5,0
3,6,0,49,29,0,5,0,2,2,0,7,0,7,13,7,0,5,15,0,20,6,13,17,24,0,17,68,6,1,34,10,19,0,2,24,0,45,2,1,11,6,16,0,13,0,5,0,0,4,1,2,9,72,0,0,9,0,1,1,0
2,0,0,0,4,2,2,3,0,1,0,2,1,3,2,1,0,1,2,0,1,2,6,0,2,2,1,2,2,1,2,3,0,0,1,1,7,0,3,5,2,1,0,0,2,1,1,1,4,3,4,0,2,0,1,3,2,0,2,1,0
0,0,1,0,0,0,2,1,6,0,2,1,1,0,0,4,0,0,0,1,0,1,1,4,1,4,0,2,0,1,4,0,5,1,2,0,2,0,0,2,0,3,0,38,0,1,3,1,0,1,1,0,2,3,5,0,2,0,1,0,0
3,1,11,19,8,1,10,4,11,3,7,7,12,12,15,13,8,3,22,16,8,1,8,16,20,1,15,17,7,1,17,27,8,5,11,8,4,35,8,4,9,31,15,6,10,7,6,23,10,19,9,12,5,17,7,15,7,14,24,3,0
0,15,0,8,3,0,3,1,11,2,0,2,0,1,3,2,0,3,3,0,4,6,11,14,5,0,6,8,5,2,9,2,0,0,2,8,4,10,2,1,6,0,28,0,12,0,0,8,1,2,1,0,3,3,0,0,7,0,1,6,0
3,2,7,4,2,1,1,0,4,1,2,1,1,6,4,5,4,3,4,3,3,6,9,6,1,0,0,1,1,3,5,9,6,2,1,3,5,13,1,0,6,1,3,0,10,3,0,20,1,1,2,4,2,3,3,5,2,7,4,3,0
2,3,0,3,4,4,4,1,6,4,4,3,3,4,5,2,3,5,3,1,0,1,1,4,9,0,4,0,6,0,1,7,0,8,5,3,7,3,3,3,5,2,7,1,2,0,4,2,1,2,5,1,1,0,4,2,9,4,13,1,0
0,0,1,5,9,2,4,0,0,1,0,5,1,5,4,0,0,0,10,2,3,1,0,2,2,1,1,8,0,0,0,5,0,3,3,1,0,5,0,0,3,0,0,0,1,4,1,0,0,4,2,4,2,1,1,0,1,1,9,1,0
10,9,1,4,4,21,7,8,9,16,30,6,31,4,12,12,22,3,19,3,2,7,7,7,3,9,2,0,2,24,5,3,0,2,4,2,31,2,19,31,25,5,1,5,4,3,7,24,29,21,9,1,4,2,4,3,23,6,2,22,0
0,0,3,17,8,1,0,0,1,0,0,1,0,0,5,5,0,3,1,6,0,0,0,3,1,0,0,16,0,0,7,3,2,1,0,1,0,17,0,0,0,7,1,0,0,2,0,0,0,1,0,2,1,15,0,2,0,0,1,0,0
13,15,10,47,24,3,34,2,9,7,3,8,5,20,28,10,1,52,12,9,6,5,16,23,38,8,37,72,29,1,34,27,80,13,12,9,2,151,3,0,10,35,76,8,2,2,12,2,10,5,16,2,6,77,5,4,10,8,55,3,0
1,0,0,2,0,0,1,0,0,0,0,0,0,6,7,4,0,2,8,0,1,0,1,1,5,0,5,0,0,0,9,0,1,0,0,1,0,7,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,2,0,1,2,3,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0
0,0,0,15,6,0,0,0,0,0,0,1,0,1,3,1,0,1,3,0,3,0,1,7,0,0,1,5,2,0,5,1,3,0,0,3,0,8,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0
1,2,0,2,0,1,3,1,5,2,1,1,3,2,0,1,3,2,3,2,6,1,3,2,1,3,2,2,1,3,6,5,2,3,4,7,1,1,1,2,4,0,3,3,1,1,5,3,3,8,0,2,3,3,4,0,3,1,0,3,0
6,0,4,22,10,1,2,2,0,3,12,5,3,2,11,5,0,1,24,2,2,0,2,2,9,4,11,15,1,5,5,2,4,7,7,5,0,12,5,2,0,5,0,1,2,3,1,3,2,21,16,5,2,11,1,4,1,6,5,4,0
2,5,0,1,0,12,5,0,5,2,3,0,8,4,4,9,1,0,6,0,5,3,9,3,2,4,0,0,1,7,1,2,1,3,3,2,18,3,4,10,10,6,0,5,5,1,1,9,1,4,4,1,0,1,1,0,13,2,0,4,0
5,1,0,4,4,2,1,1,3,2,3,4,0,2,6,2,4,0,5,4,2,3,8,5,1,1,1,3,1,0,6,1,0,1,1,4,6,1,1,2,7,3,1,0,7,0,1,6,2,0,2,3,1,0,1,4,5,0,0,9,0
5,1,9,5,9,8,6,9,4,7,15,3,12,3,8,3,13,1,22,6,1,6,9,5,7,19,6,2,0,6,7,8,0,9,12,2,6,14,8,3,15,8,1,195,8,1,10,17,9,16,6,5,7,3,4,5,17,6,6,9,0
1,0,1,3,1,1,3,0,0,0,2,0,0,5,9,3,2,1,6,1,0,2,1,0,19,0,19,2,3,4,5,0,0,1,0,3,0,5,0,1,3,2,0,0,0,0,0,3,3,1,0,3,1,2,1,2,4,1,3,0,0
7,0,2,6,2,2,9,3,1,4,18,34,4,10,10,8,4,1,11,4,3,25,30,4,23,0,24,2,1,5,10,6,1,1,36,3,0,25,0,1,4,9,0,0,149,3,5,15,5,9,10,4,22,4,6,4,6,5,10,1,0
0,2,0,1,0,1,1,0,15,1,4,1,1,0,3,4,0,15,4,2,0,1,1,4,0,2,0,2,3,1,5,4,3,0,1,6,6,5,0,4,0,1,1,3,2,0,2,5,2,4,1,0,3,0,0,0,2,1,0,0,0
2,3,1,0,0,2,1,4,1,0,1,2,2,3,5,1,1,2,2,1,0,6,6,2,1,0,0,0,1,3,5,4,0,1,6,1,5,3,1,8,3,0,2,7,9,2,0,9,1,6,3,4,0,0,4,5,10,3,0,2,0
1,0,0,0,0,0,2,0,0,3,0,0,1,0,1,4,3,0,18,0,1,3,1,0,0,1,0,0,0,5,10,0,0,0,1,0,1,2,2,0,2,1,0,0,4,0,3,7,1,13,0,4,0,0,0,0,4,1,0,1,0
1,1,2,0,0,2,7,2,0,4,3,0,6,3,0,1,2,0,1,0,0,0,0,0,2,2,2,0,0,0,2,0,1,1,1,1,0,0,3,0,0,2,0,14,0,1,1,0,3,1,0,0,0,0,0,0,0,1,4,0,0
1,10,2,5,1,1,3,0,5,3,1,0,0,2,0,0,1,3,2,0,1,2,6,1,3,2,3,6,9,1,3,6,1,2,4,5,6,2,3,2,3,0,8,7,3,1,1,6,1,1,1,0,2,5,1,0,2,1,2,1,0
25,14,22,10,17,36,31,28,34,37,29,26,29,22,26,27,25,15,46,23,31,29,23,17,24,49,15,6,21,58,12,30,9,32,15,18,41,13,25,48,25,17,16,14,39,11,25,63,34,42,14,20,18,5,18,20,26,30,30,46,0
36,37,13,45,14,58,41,25,64,27,49,39,27,32,30,35,43,65,38,16,63,52,59,64,13,62,9,22,51,44,51,36,54,22,88,52,61,18,34,51,54,73,38,27,68,14,39,95,29,37,81,15,38,22,10,25,54,17,22,62,0
5,7,1,3,2,2,5,1,2,1,1,3,1,5,3,2,1,8,4,2,1,1,3,2,3,2,2,10,4,1,3,19,3,5,7,2,3,9,1,5,14,13,3,1,2,1,4,0,5,3,2,5,3,6,0,2,10,4,18,0,0
1,0,2,0,4,0,2,0,0,1,0,2,1,2,4,2,1,1,2,1,2,0,2,1,4,2,2,1,0,0,1,1,4,5,1,0,0,6,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,1,0,3,5,1,0
2,3,0,2,2,0,3,2,5,1,0,4,5,3,3,6,2,2,10,4,3,0,3,3,0,2,3,3,0,2,11,2,1,5,5,3,1,0,4,2,2,6,8,0,1,4,6,3,3,5,11,5,2,3,0,3,4,3,1,3,0
5,1,7,1,3,4,2,9,6,7,17,9,9,3,4,4,1,3,13,4,3,2,2,3,3,12,5,4,1,1,6,3,3,2,3,3,0,3,7,2,9,4,0,3,1,4,37,8,6,12,3,1,11,2,6,3,6,4,7,6,0
0,2,0,3,3,0,1,0,7,0,0,0,0,1,3,2,0,3,3,1,1,0,3,10,1,0,0,2,8,0,9,12,4,0,0,0,9,16,2,0,4,0,17,0,2,1,1,18,0,8,0,0,1,0,0,0,2,0,0,1,0
5,1,7,12,11,4,7,5,8,6,0,8,3,7,8,6,1,6,7,2,3,1,5,6,4,6,4,10,5,4,5,7,3,8,7,8,6,6,6,2,4,2,6,5,4,3,8,6,5,4,11,2,5,5,3,7,11,0,18,7,0
3,1,1,4,2,1,10,1,3,2,2,4,3,4,4,7,0,2,14,1,0,0,1,3,4,2,3,7,5,3,5,5,14,2,3,3,1,3,3,0,1,12,3,1,1,1,4,3,4,13,7,2,5,9,2,0,2,0,3,2,0
1,0,1,9,11,0,3,1,4,3,0,3,2,2,5,1,0,0,6,0,5,0,0,3,5,2,4,11,0,0,9,3,1,1,1,11,1,10,1,0,3,3,1,0,3,0,3,2,2,2,0,0,1,5,0,0,1,1,4,2,0
1,11,1,18,3,0,0,0,6,3,0,0,1,5,9,2,0,3,0,0,6,1,5,13,5,0,5,10,0,0,7,5,3,0,0,6,0,39,3,2,1,0,8,0,17,0,1,8,0,2,0,0,0,6,0,0,1,0,1,0,0
1,2,1,3,1,0,0,0,2,0,1,2,0,0,0,2,0,4,2,0,4,0,3,6,0,1,1,4,5,0,4,1,7,0,0,7,0,4,1,0,1,3,6,0,0,0,1,3,1,1,0,0,1,4,0,0,0,1,0,3,0
2,0,2,0,3,3,1,6,5,3,2,3,1,2,3,4,0,3,1,2,1,0,1,2,2,5,0,2,1,6,1,3,1,4,0,3,0,1,0,4,7,2,2,8,5,2,4,3,1,1,3,4,1,0,0,1,6,1,3,4,0
3,46,1,42,21,0,12,2,36,8,3,6,4,8,17,5,2,35,9,1,6,6,17,55,18,0,15,28,19,0,33,46,24,0,3,5,3,118,13,1,10,6,161,0,17,0,0,15,3,5,2,1,5,33,0,3,9,1,17,1,0
1,144,3,4,2,0,0,0,10,0,1,0,0,1,3,2,2,26,3,4,0,2,6,11,3,0,2,10,31,0,6,7,14,2,6,0,2,11,0,0,6,7,276,0,2,4,1,10,0,1,3,3,0,16,6,4,3,9,1,0,0
0,1,4,1,2,1,5,4,5,6,3,1,5,7,4,1,2,2,5,2,0,0,1,1,2,1,1,1,6,1,3,1,3,2,3,2,10,1,5,0,2,1,0,1,4,2,1,6,2,10,3,1,1,1,2,0,4,8,3,3,0
34,20,37,18,23,31,54,126,48,32,44,57,76,26,30,24,42,31,49,18,33,14,47,32,15,77,20,20,39,24,26,34,35,78,48,33,53,11,34,55,50,73,28,130,9,24,37,15,58,50,41,25,54,13,17,26,55,37,59,12,0
36,238,35,22,24,69,42,74,89,42,69,70,54,23,21,32,38,34,51,21,47,65,81,67,11,54,13,21,32,47,34,21,39,73,50,29,57,58,37,54,41,30,137,135,114,12,50,76,77,59,53,28,62,13,18,19,47,41,28,72,0
1,0,1,7,2,5,6,0,3,2,0,8,3,1,0,2,2,1,7,3,9,7,5,10,5,3,4,3,2,2,4,6,1,0,1,5,6,4,2,3,10,0,1,0,3,2,2,5,6,7,1,7,10,5,2,0,8,0,2,3,0
2,2,5,24,7,2,3,1,8,2,0,3,0,5,5,5,5,5,10,8,7,5,8,13,6,0,3,17,5,2,14,30,98,2,1,11,19,24,3,1,21,15,5,0,7,3,4,29,0,10,0,4,1,22,3,2,21,3,9,7,0
1,0,1,5,2,0,0,0,3,0,1,3,1,2,2,3,1,4,4,2,3,3,0,9,1,0,3,9,0,0,11,5,1,0,0,4,1,8,2,0,2,10,3,0,1,0,1,1,0,6,0,0,1,5,1,0,1,0,2,0,0
4,0,9,13,3,1,4,8,4,3,9,9,9,0,2,2,6,6,6,4,1,10,8,4,8,14,3,2,2,6,4,6,1,8,10,0,6,4,4,5,3,10,0,11,12,2,8,7,6,12,9,4,7,3,1,4,3,8,7,5,0
0,1,2,1,0,4,2,6,1,1,5,5,6,2,1,3,2,0,2,0,2,0,3,0,1,0,1,1,0,4,0,1,5,1,12,1,2,0,1,7,0,0,0,2,3,1,0,1,0,1,6,0,2,0,1,0,2,0,1,2,0
3,3,5,2,1,8,5,1,8,0,3,2,6,1,4,5,4,3,7,1,4,10,4,3,2,2,3,1,3,6,2,7,0,1,1,4,7,4,3,4,4,2,3,1,4,2,3,2,5,7,5,2,5,1,6,2,6,7,7,11,0
6,41,21,90,13,4,3,1,14,2,1,14,2,6,7,6,11,37,8,10,2,6,6,32,10,2,8,16,44,0,16,73,12,7,2,4,4,274,1,2,4,28,113,0,11,22,1,32,1,7,0,12,6,21,16,8,5,14,19,1,0
12,2,8,24,17,10,16,13,7,13,11,8,10,16,22,20,14,4,23,8,9,9,6,9,15,18,18,15,3,3,29,17,5,16,7,11,9,30,16,5,6,10,3,11,19,6,13,19,11,12,13,9,13,11,6,9,10,7,19,10,0
9,13,8,8,9,25,9,19,30,9,11,11,9,8,9,12,24,13,11,5,10,10,10,24,3,7,7,7,15,6,11,9,7,12,28,11,46,4,3,19,22,19,11,19,10,3,8,14,5,14,22,10,6,6,2,5,23,9,16,9,0
9,2,3,8,8,4,5,1,9,4,15,7,5,4,6,7,9,7,11,1,7,10,5,11,16,1,12,3,3,5,5,8,0,3,11,6,3,7,3,19,22,3,5,4,6,2,8,19,7,15,29,7,4,2,5,3,16,9,16,13,0
2,0,0,2,4,0,2,1,0,1,0,2,0,3,0,3,2,2,0,0,2,0,2,6,1,1,0,3,1,2,5,1,1,0,0,2,0,3,0,0,5,1,0,0,1,0,3,1,0,1,0,0,2,1,0,1,1,0,3,3,0
4,10,3,18,11,7,22,8,15,10,6,16,8,10,14,5,8,5,14,7,14,22,15,7,10,7,14,9,8,10,11,27,4,4,2,19,19,20,6,5,18,9,11,13,12,0,6,22,7,14,3,3,16,4,0,2,19,0,6,17,0
3,5,2,2,1,6,2,3,0,1,4,0,7,5,5,2,1,0,5,1,3,2,2,1,0,11,1,1,0,2,1,0,0,0,0,2,3,0,7,0,2,0,2,0,0,0,6,0,6,7,4,1,3,3,1,0,1,1,0,0,0
4,2,0,6,6,3,9,2,8,3,0,5,1,4,4,2,2,11,14,0,9,10,5,13,5,2,4,13,2,6,9,9,7,2,1,10,0,21,2,0,15,6,9,0,6,0,7,12,1,10,0,1,7,7,0,0,11,0,5,9,0
3,6,0,3,1,0,3,0,1,1,0,3,0,1,3,3,0,14,8,0,1,1,0,1,2,1,4,7,4,1,5,5,5,0,1,1,0,2,0,1,2,9,25,0,1,0,5,1,2,5,1,1,2,7,3,0,0,0,4,0,0
6,250,4,110,19,2,2,4,43,3,9,8,1,9,18,7,6,136,19,1,28,7,12,53,19,0,13,57,126,0,32,19,204,2,0,15,22,207,12,13,16,40,664,3,18,9,3,6,3,6,2,7,10,68,1,6,7,3,15,5,0
11,12,8,9,7,8,6,12,14,4,16,11,6,5,3,10,3,25,7,8,12,2,7,18,2,10,4,10,21,9,11,5,120,8,12,12,15,16,4,17,10,30,61,10,7,8,21,6,6,7,11,4,6,9,3,5,7,11,2,3,0
0,3,2,55,13,1,6,0,5,2,0,9,1,0,5,5,1,4,11,1,5,13,17,15,5,1,2,18,2,1,11,29,3,3,1,3,1,63,2,1,8,3,1,2,32,0,5,9,0,6,1,3,9,12,1,2,9,3,12,7,0
2,0,3,50,1,0,2,0,13,2,1,0,1,3,3,1,0,2,9,4,2,1,2,16,0,1,0,6,0,1,5,17,0,1,2,0,3,94,2,0,6,2,4,0,5,2,12,18,2,5,0,1,1,8,3,2,6,1,1,2,0
1,2,2,0,0,1,7,3,1,1,0,0,1,0,1,1,4,1,4,1,0,0,1,3,1,1,1,1,3,0,0,1,1,0,4,0,2,12,0,1,5,2,12,1,2,0,9,0,2,1,1,2,0,1,0,1,7,1,4,0,0
5,1,2,4,2,6,12,5,6,12,15,5,10,5,7,7,6,7,5,2,1,9,4,6,10,5,7,3,5,4,3,9,9,1,7,3,12,5,9,4,10,4,0,0,4,2,12,5,8,5,1,4,0,5,3,5,12,4,4,9,0
2,0,0,8,4,2,1,0,1,4,2,3,0,5,4,3,1,2,4,2,4,2,1,2,5,2,7,6,0,0,9,7,1,3,2,2,0,6,1,0,0,3,0,0,2,1,5,0,0,1,0,1,3,5,2,2,2,0,6,1,0
0,0,1,44,2,1,7,0,2,3,0,6,2,4,3,0,0,0,5,0,1,2,1,1,2,0,2,3,1,0,3,4,0,0,1,2,0,49,2,0,1,0,2,0,4,0,4,0,0,1,0,0,4,3,0,0,1,0,1,0,0
0,8,0,2,4,1,1,0,2,1,2,0,0,1,3,2,1,3,7,1,3,1,6,3,2,0,3,6,2,1,9,5,0,0,2,3,3,3,0,1,5,1,1,0,5,1,5,3,0,9,2,8,2,1,11,0,7,3,0,2,0
1,0,2,5,1,1,0,0,5,1,0,0,0,0,0,3,3,10,0,2,0,0,0,3,0,0,0,3,1,0,4,4,0,1,2,0,2,0,0,0,1,2,1,0,2,2,2,3,0,0,0,0,0,4,2,2,0,5,3,0,0
4,5,2,0,0,3,1,1,3,0,3,4,0,0,4,2,4,0,12,3,2,0,0,4,0,5,0,0,3,4,7,1,4,3,2,6,17,6,3,13,9,10,1,12,1,0,4,6,0,9,10,6,2,0,2,3,6,2,1,0,0
8,1,7,2,10,10,12,4,4,13,9,7,6,10,15,8,8,4,10,2,6,8,5,7,8,12,6,7,0,11,11,9,6,6,7,7,5,7,8,2,9,12,1,6,4,7,4,9,11,5,9,2,3,1,4,5,7,8,10,7,0
10,2,7,10,8,10,8,11,19,6,5,3,9,12,7,11,5,8,9,7,11,5,8,14,5,11,5,9,6,14,8,6,2,7,7,8,7,6,10,3,9,5,4,7,8,5,11,4,14,12,10,7,8,6,7,5,11,8,13,4,0
9,77,6,17,8,5,11,2,37,12,9,13,9,15,12,18,8,32,17,7,11,8,14,46,20,6,10,19,31,4,24,26,30,10,19,14,10,28,16,8,9,23,191,4,20,4,15,11,12,20,25,6,7,20,5,3,10,7,16,10,0
5,3,2,0,1,4,12,8,7,9,7,8,3,5,6,11,3,11,8,3,5,7,2,4,7,12,3,6,3,4,14,5,4,4,7,5,8,1,8,1,9,9,8,3,4,1,15,2,6,12,15,6,2,0,4,3,9,6,2,7,0
6,0,3,0,4,4,6,6,7,9,6,7,8,6,9,6,3,9,13,2,8,5,10,5,7,20,1,4,3,10,6,3,2,3,5,9,18,3,10,4,7,10,6,5,11,4,4,12,10,12,4,6,7,2,2,4,11,4,6,10,0
31,15,50,140,60,48,100,45,55,40,34,103,36,41,54,47,69,23,104,49,45,61,57,39,45,52,46,53,16,58,39,62,21,56,69,48,53,89,44,20,87,40,14,56,91,62,74,161,43,115,65,56,60,33,51,43,79,72,54,73,0
0,0,2,0,2,0,1,1,0,0,1,0,0,0,0,4,0,1,3,2,3,0,1,1,4,1,1,8,0,0,2,0,0,3,1,2,0,2,1,0,1,2,0,0,0,0,0,0,1,2,4,0,0,5,1,1,0,3,4,1,0
1,0,0,0,3,0,2,0,1,2,2,0,3,0,2,2,0,1,2,1,5,1,1,5,1,1,3,5,0,1,3,0,0,0,0,2,0,0,1,0,1,1,3,0,0,0,2,1,5,2,2,0,1,2,1,0,2,0,1,0,0
3,6,1,1,1,1,2,3,11,5,11,4,2,2,5,0,1,18,5,1,1,2,0,1,25,6,26,6,16,0,1,8,2,2,10,3,7,2,0,10,0,5,9,8,0,2,4,0,0,2,6,2,4,7,0,3,1,4,10,2,0
2,6,0,16,0,0,2,0,9,2,0,1,1,5,6,10,0,12,5,1,5,0,3,33,0,1,1,8,6,2,24,10,43,1,1,13,3,30,1,0,4,7,25,1,1,1,1,3,1,1,0,1,2,10,1,3,5,1,3,1,0
4,3,4,2,0,2,1,2,2,0,1,4,1,2,5,3,1,1,0,0,4,0,2,0,0,3,0,1,0,5,1,1,0,1,1,4,0,0,1,0,1,2,3,0,2,2,0,10,2,0,0,1,1,0,2,0,4,0,0,4,0
7,0,1,10,6,4,15,3,8,13,5,13,8,19,11,14,3,6,11,4,10,13,9,8,21,13,21,16,4,7,15,12,33,6,4,12,3,9,16,3,6,5,11,1,14,3,13,7,13,16,23,2,20,10,4,0,10,1,13,14,0
1,1,1,6,1,1,7,0,2,1,1,2,2,5,5,5,2,1,4,0,5,6,3,1,13,5,8,6,4,0,5,7,7,0,1,8,1,4,3,4,2,1,4,0,3,2,4,1,7,8,13,1,4,1,0,0,6,3,4,3,0
2,0,1,0,3,0,1,2,2,1,1,3,0,0,5,2,0,1,5,1,3,1,3,1,5,2,6,2,4,0,2,2,3,1,2,3,3,1,0,1,0,2,2,4,0,0,1,2,3,3,2,1,5,3,0,1,2,0,10,1,0
3,0,0,4,0,0,0,1,1,2,2,0,0,1,0,1,1,1,3,3,0,0,0,0,1,1,5,3,2,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
1,1,0,0,2,0,5,0,4,6,2,1,2,3,4,2,1,4,2,0,1,0,2,4,2,2,0,2,3,0,3,0,0,0,2,1,2,0,1,0,0,1,1,0,0,1,3,1,2,1,3,0,2,1,0,0,2,1,0,2,0
1,0,1,11,6,6,6,2,6,4,6,8,7,4,7,6,2,2,10,1,7,4,8,9,1,4,2,5,3,8,7,10,2,5,1,11,6,2,3,3,10,2,0,10,10,0,7,9,4,6,4,2,6,2,2,3,9,2,1,6,0
1,1,0,0,1,1,5,0,3,5,0,1,4,2,0,1,3,1,2,2,0,1,1,0,2,2,2,0,8,2,0,0,0,4,2,0,4,1,1,6,1,2,3,2,0,0,4,2,2,0,4,0,1,0,0,0,0,0,1,3,0
88,34,31,106,66,88,71,62,96,81,93,119,54,65,81,83,69,64,121,34,108,132,138,127,35,68,23,56,54,124,125,127,61,59,50,87,90,65,68,98,154,146,48,99,165,37,60,253,69,127,49,41,114,46,49,44,162,54,38,142,0
0,6,0,3,1,1,2,0,4,4,0,8,0,1,0,0,0,6,2,2,3,6,8,4,1,0,2,1,4,1,2,5,0,0,0,3,3,0,0,0,7,1,2,1,3,1,0,15,0,6,0,1,4,1,1,0,8,0,0,3,0
2,5,8,12,5,8,17,9,7,5,9,13,7,7,11,5,7,3,14,7,12,10,7,8,16,11,9,0,2,10,11,13,8,7,7,10,7,2,9,16,6,9,15,9,8,7,8,8,4,18,10,4,14,1,2,2,5,8,15,7,0
3,0,5,3,3,2,8,14,3,12,11,6,10,7,4,4,4,2,6,2,3,2,0,1,6,5,8,7,4,3,3,4,2,5,4,3,6,4,2,3,7,4,7,12,4,3,6,4,7,5,8,4,10,3,5,3,7,6,10,1,0
9,10,2,4,3,4,6,0,7,3,8,5,2,12,10,2,4,2,3,2,5,6,2,4,3,2,1,5,4,1,8,5,3,0,3,3,9,1,5,3,6,4,3,1,1,2,0,6,3,3,3,1,1,5,1,1,6,2,0,5,0
