0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,target
0,3,0,0,1,0,0,2,0,0,0,0,5,0,1,4,1,0,0,0,0,6,3,0,1,0,2,0,1,1,3,0,0,0,0,0,0,3,1,1,2,2,2,0,2,1,5,1,3,1,2,3,0,2,0,0,0,1,1,1,0,3,1,2,0,0,2,4,1,2,1,4,0,4,1,1,0,0,2,2,0
58,46,64,70,35,53,59,47,47,57,93,43,63,58,75,55,88,37,105,76,69,69,61,36,66,31,62,73,65,43,52,42,48,65,30,57,62,43,58,40,26,70,75,50,68,58,41,71,48,89,99,75,53,48,57,52,66,61,58,48,41,50,66,49,61,72,52,50,52,47,31,90,56,45,64,70,94,98,52,45,0
4,1,2,0,1,5,8,1,1,1,1,0,4,1,3,5,0,0,1,2,1,1,1,1,1,2,4,3,0,3,4,3,2,2,0,1,0,3,1,2,1,2,2,0,1,1,6,0,8,4,2,5,0,1,2,2,4,2,2,6,1,1,6,2,1,3,2,2,2,1,1,4,2,0,1,6,8,1,2,3,0
0,4,9,4,5,0,1,1,2,0,4,0,3,0,7,1,11,0,0,5,0,0,15,2,9,3,10,3,3,10,5,2,11,1,4,2,0,2,0,5,4,4,1,19,0,1,0,1,4,5,0,4,4,0,0,5,6,7,3,1,4,0,9,7,1,8,3,0,2,0,6,4,12,19,14,10,11,16,3,3,0
4,1,9,3,4,6,4,5,5,13,2,2,3,3,7,2,14,5,1,3,0,7,7,1,2,1,6,10,0,7,4,6,11,2,4,1,0,8,4,2,7,1,3,5,2,3,2,5,5,1,3,1,4,4,1,3,8,0,8,4,4,2,10,11,3,3,4,0,2,5,17,2,10,4,1,4,22,45,7,4,0
1,0,7,1,0,1,3,0,0,0,3,1,7,3,0,1,3,6,1,1,6,0,1,0,1,0,2,3,1,0,5,4,7,2,2,1,6,2,0,1,0,9,1,6,0,1,1,0,0,2,0,0,17,0,1,0,1,1,5,0,1,2,0,5,0,7,0,0,2,1,2,0,6,0,1,4,11,16,2,0,0
2,6,8,7,0,10,7,5,1,6,7,3,11,3,6,11,5,3,3,12,3,16,14,1,8,1,6,1,5,3,3,6,6,7,0,2,3,8,6,3,0,2,11,1,5,1,2,7,3,12,3,13,0,6,3,2,12,11,2,7,1,3,7,13,5,3,2,6,0,2,4,12,4,16,14,9,3,3,9,2,0
8,2,4,13,6,21,2,7,7,18,3,7,6,7,8,6,1,7,5,4,1,8,4,7,1,4,3,45,4,4,2,0,10,2,2,1,3,9,2,9,4,3,9,4,22,0,5,8,8,5,5,9,0,3,5,1,17,2,0,13,6,30,5,6,2,3,2,9,9,15,20,8,2,10,1,4,3,0,4,5,0
0,30,1,1,0,12,9,26,0,25,0,0,16,3,9,7,1,5,0,6,0,5,1,0,1,0,7,6,10,0,0,12,14,6,0,0,0,46,4,59,22,0,17,0,1,1,1,0,28,3,0,7,0,7,0,0,0,0,16,7,0,13,4,7,1,4,0,4,0,19,23,4,7,0,0,4,2,1,6,78,0
1,3,0,0,0,3,4,0,1,0,1,0,0,0,1,1,3,1,1,2,0,2,0,1,1,1,0,1,0,4,2,1,0,2,0,0,0,0,2,2,0,0,1,0,1,1,2,2,1,2,2,2,0,5,1,0,0,3,2,2,0,0,3,2,1,1,3,1,0,1,0,1,0,1,2,3,1,4,3,2,0
0,0,3,2,0,0,1,1,5,4,3,0,0,0,0,0,1,1,4,0,0,1,0,2,0,1,0,4,1,0,4,0,0,0,0,1,2,0,2,3,0,6,0,0,3,0,0,0,0,1,0,1,33,0,0,1,2,1,0,0,0,1,1,0,0,0,0,1,1,1,4,0,0,0,0,1,3,0,1,2,0
11,9,6,3,11,9,7,21,8,17,1,7,6,7,15,5,4,4,1,3,6,5,3,2,3,5,2,25,5,2,8,14,13,9,6,7,2,11,7,15,20,3,2,8,8,1,25,8,17,2,2,8,4,5,5,15,2,1,15,14,5,9,10,13,4,2,13,11,8,23,7,9,4,19,2,7,11,9,6,14,0
1,3,2,0,0,10,9,2,0,9,0,0,6,0,1,6,2,2,0,6,0,6,1,0,0,0,7,0,3,2,0,3,26,3,0,0,1,9,1,5,0,0,2,0,1,1,1,0,4,4,0,2,0,12,0,0,0,0,5,9,0,2,1,7,0,2,0,1,0,17,0,4,17,4,0,5,1,1,1,4,0
1,1,3,0,4,3,11,5,3,6,0,3,1,0,1,1,0,0,0,5,0,2,3,1,2,3,2,1,1,7,0,0,2,2,9,2,1,1,0,1,5,0,2,0,2,1,5,1,4,3,0,2,0,5,1,2,6,1,0,19,3,3,0,8,1,0,4,1,5,5,7,1,1,14,0,2,0,2,7,2,0
2,3,7,4,0,2,1,1,4,1,0,5,0,3,2,1,2,3,2,4,1,2,1,2,1,0,1,1,4,8,3,7,5,5,0,2,4,3,3,0,0,3,0,5,1,3,7,0,7,0,1,1,1,0,1,1,1,1,6,0,1,2,2,2,4,4,2,7,0,1,0,4,6,0,2,7,5,5,1,1,0
5,6,0,4,2,1,0,1,1,3,1,2,1,2,4,2,0,2,0,1,0,0,1,0,2,2,2,0,5,0,2,1,0,2,0,0,0,4,4,1,2,0,3,0,1,1,3,0,1,5,2,1,0,1,0,2,0,0,1,4,0,0,3,2,2,0,0,4,0,1,0,6,0,0,0,0,2,2,2,4,0
1,1,9,2,1,5,3,4,2,5,6,2,10,9,15,3,32,3,4,22,26,4,23,9,21,2,6,4,7,23,4,1,0,10,2,25,3,2,8,0,3,11,4,5,10,14,1,28,1,5,6,13,0,3,18,2,7,7,1,1,2,4,12,11,4,3,4,2,1,1,0,7,6,21,24,19,3,6,3,1,0
0,4,1,0,1,2,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,2,0,6,2,0,0,0,1,1,0,0,0,5,0,12,17,0,0,0,5,0,2,0,10,1,0,0,0,0,0,5,2,0,0,2,1,2,0,0,0,2,2,5,3,5,2,3,0,0,0,0,0,0,0,20,0
21,16,7,6,2,18,17,17,6,23,4,11,3,3,4,6,0,10,3,5,3,7,0,7,2,2,5,18,4,2,1,31,75,14,5,3,12,40,31,71,30,4,7,3,6,3,32,7,94,5,3,6,5,6,3,9,2,1,36,15,0,19,4,5,10,48,5,45,10,48,74,10,32,1,1,2,12,16,10,82,0
0,0,0,0,0,0,1,16,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,6,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,1,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,8,0,0,0,1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,0,2,0,0,0,0,0,0,2,0
0,2,0,0,0,0,1,5,0,7,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,4,2,1,0,0,0,2,0,0,0,0,11,0,5,7,0,0,0,1,0,0,0,6,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,3,2,0,0,0,0,0,0,2,8,0
1,2,5,2,2,5,2,2,3,2,2,0,3,1,3,2,2,1,3,1,1,4,2,1,1,0,1,0,3,0,2,1,0,0,0,2,1,2,3,0,2,0,4,2,0,0,3,3,1,1,2,5,1,1,1,2,1,2,1,2,1,3,6,1,1,4,1,0,0,2,2,2,0,2,1,3,3,1,1,5,0
1,8,0,2,4,2,1,10,1,0,1,8,3,1,24,3,1,1,0,0,12,4,5,3,1,2,0,3,4,0,3,11,0,7,2,1,3,10,1,9,11,0,7,3,3,4,1,3,11,2,2,2,1,5,5,2,7,1,11,1,0,1,3,1,4,0,5,5,4,5,6,2,1,0,1,0,7,16,1,12,0
0,1,3,0,1,2,6,0,1,1,3,1,1,2,3,3,8,1,2,9,2,2,9,3,14,0,1,5,0,14,3,0,0,3,0,6,0,1,4,1,0,4,1,3,9,2,0,1,2,2,0,2,1,2,4,0,3,2,0,2,0,0,3,4,4,0,0,1,0,0,1,8,3,11,4,10,1,4,5,1,0
0,4,2,2,0,3,1,0,0,5,0,0,8,1,3,1,2,2,0,5,4,2,2,2,3,0,3,2,1,3,1,0,1,3,0,0,1,4,1,1,0,0,3,0,1,1,0,1,0,8,1,5,0,1,1,3,0,1,1,3,1,2,0,10,1,0,4,1,0,4,1,3,1,4,3,3,1,3,7,1,0
4,2,2,3,4,8,9,3,4,2,16,4,4,7,18,1,4,0,8,14,11,2,5,6,6,1,2,5,10,4,4,5,0,3,3,6,4,6,4,2,2,22,0,8,1,4,3,7,12,6,6,8,178,5,5,4,6,7,7,4,10,1,13,7,2,1,5,7,5,10,0,6,1,15,11,11,10,5,3,3,0
2,0,0,0,2,0,2,8,1,6,0,1,0,0,1,1,1,0,0,0,2,1,3,1,1,0,0,0,0,0,0,19,0,6,1,0,3,5,1,3,3,0,1,0,1,0,0,3,4,0,0,4,0,1,0,1,1,1,18,0,2,2,0,1,0,1,1,2,1,3,0,3,2,3,1,0,0,0,0,2,0
5,0,0,4,2,2,0,10,5,8,2,0,2,0,7,1,1,0,1,1,8,1,5,6,3,2,2,5,14,0,0,23,0,9,5,5,9,7,9,3,3,6,1,2,8,4,6,4,8,35,3,4,0,5,0,3,10,2,25,76,3,3,6,121,3,1,7,5,2,8,0,4,1,10,3,1,38,7,11,5,0
0,0,11,1,0,3,1,1,0,4,0,0,0,2,2,0,6,0,1,0,1,5,1,0,1,0,1,1,1,6,0,0,0,2,0,1,2,2,0,3,0,4,1,2,3,0,0,3,6,1,1,1,0,1,0,2,2,3,0,5,0,0,0,3,0,16,0,1,0,4,1,2,2,2,0,1,2,1,0,1,0
0,1,1,0,2,4,3,0,4,0,0,0,1,1,1,1,8,0,3,2,0,1,2,2,1,2,5,0,3,5,0,0,1,5,1,0,0,0,0,1,0,4,0,3,1,0,1,1,3,1,4,5,3,1,0,1,5,4,0,4,1,0,3,3,3,0,4,1,1,2,0,1,0,5,4,10,6,2,9,0,0
1,0,0,1,2,0,0,13,0,1,1,0,4,1,14,0,0,1,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,1,1,0,1,0,0,0,1,12,1,0,3,0,5,7,6,0,0,0,0,0,0,0,1,0,4,1,3,2,0,0,0,0
7,0,0,1,0,0,0,0,0,1,1,0,0,6,1,1,0,1,2,0,1,0,0,0,1,1,0,2,0,0,1,3,0,0,0,3,2,1,1,0,0,3,0,1,0,2,0,2,0,0,2,0,12,1,3,0,0,0,1,1,1,2,1,0,1,0,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0
2,5,2,1,1,2,2,0,1,0,1,2,1,1,2,4,2,1,1,3,0,2,2,1,1,1,3,0,0,5,3,2,5,1,0,0,4,3,3,4,3,2,2,0,0,1,3,1,3,0,0,1,4,2,1,0,1,1,3,4,0,1,1,1,0,5,0,0,1,3,2,1,16,6,1,2,3,0,3,2,0
22,9,21,22,11,13,22,16,17,19,35,21,26,24,25,19,46,10,25,14,19,18,59,6,30,9,25,11,16,29,16,14,10,18,12,21,20,11,27,3,5,19,25,22,18,24,11,29,15,26,22,23,4,20,18,18,38,33,16,15,7,17,25,36,20,12,15,10,16,16,10,19,12,42,36,20,9,8,22,7,0
14,13,39,21,11,40,51,16,9,34,43,11,48,16,33,34,43,47,20,55,32,59,39,14,53,9,64,50,30,37,27,8,28,22,1,20,37,29,28,20,23,23,46,30,31,20,14,27,11,41,19,20,13,38,18,12,36,29,10,28,14,18,24,40,23,48,29,13,10,41,51,18,43,82,42,53,80,74,47,16,0
5,4,2,5,3,4,2,1,0,1,2,2,1,3,3,4,5,0,1,6,0,2,0,1,2,1,1,11,1,2,0,2,3,2,2,0,3,6,2,6,3,2,1,3,2,0,18,4,0,3,1,11,1,1,0,1,0,1,2,13,0,2,1,2,3,13,2,5,1,4,3,10,4,0,2,5,6,2,1,7,0
1,3,0,1,1,2,2,0,0,1,0,5,0,0,0,3,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,2,2,0,3,3,2,1,0,0,0,1,0,1,3,0,4,2,0,0,0,0,1,2,0,1,1,2,1,0,0,0,2,1,1,3,2,3,2,1,0,0,0,0,1,0,0,1,0
1,2,5,4,6,8,3,2,0,1,4,2,4,4,3,0,1,2,0,1,0,3,1,3,2,3,1,4,2,1,0,0,7,2,1,2,1,1,3,2,2,0,1,3,5,0,0,2,1,6,1,2,0,3,1,5,7,0,3,1,2,5,1,0,2,1,4,1,0,2,0,3,1,1,1,4,4,11,5,2,0
3,4,2,3,1,2,1,2,5,1,9,2,3,6,15,4,1,0,3,3,14,3,3,5,2,4,2,2,6,0,2,2,0,3,1,7,0,2,3,4,0,4,0,3,3,6,7,5,1,5,11,7,3,6,5,3,6,8,4,2,1,12,18,1,2,2,3,2,4,2,4,8,0,6,4,3,8,4,2,3,0
0,1,8,2,0,14,2,1,0,4,0,1,0,0,1,2,0,5,0,2,0,0,0,0,0,0,1,0,0,7,0,0,14,0,0,0,0,2,1,1,2,0,4,0,0,0,0,0,10,1,0,3,0,0,0,0,6,0,1,22,0,2,0,2,0,3,0,1,0,10,1,5,9,6,1,2,0,0,0,1,0
14,6,5,8,1,3,6,3,2,3,5,5,3,2,3,7,3,1,3,4,2,5,3,2,5,2,7,0,6,3,3,3,5,3,1,2,4,7,6,4,1,2,6,3,4,3,7,4,4,7,4,4,1,6,4,1,4,2,4,3,0,3,3,2,5,5,8,4,4,5,2,7,4,3,2,12,8,13,5,7,0
2,1,2,3,1,3,1,5,3,3,2,2,1,2,8,3,1,2,1,1,2,4,2,0,1,1,0,10,2,1,2,2,2,1,0,1,3,7,11,7,3,0,2,0,2,0,4,3,2,2,2,1,0,0,2,1,4,3,3,2,0,3,11,1,3,3,1,4,1,3,12,6,4,1,0,0,2,5,1,8,0
0,9,4,1,0,7,0,5,0,7,2,1,4,1,1,2,0,1,0,1,0,3,1,0,0,0,2,2,2,1,0,2,1,4,1,0,1,6,3,4,3,0,3,1,1,3,5,2,3,2,1,3,0,3,1,0,0,0,4,5,0,1,0,2,1,1,0,4,0,7,1,1,0,0,0,0,2,1,1,12,0
0,2,5,1,0,8,7,4,0,9,0,0,3,0,0,1,1,1,0,2,0,3,0,0,0,0,1,0,0,0,0,3,4,6,0,1,2,11,0,9,17,0,2,0,1,3,0,0,11,0,0,0,0,2,2,0,3,0,1,20,0,3,0,10,3,3,0,3,1,22,5,0,10,1,0,1,0,0,6,4,0
0,2,1,0,0,2,3,4,0,7,1,0,5,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,6,0,2,0,7,2,0,4,0,0,1,0,2,0,0,0,2,2,0,0,0,4,0,0,4,0,1,1,0,1,0,0,0,5,0,0,0,3,5,0,5,0,0,0,0,0,2,4,0
1,2,2,0,1,2,1,1,0,1,1,2,3,0,3,3,2,0,5,4,1,3,5,2,1,1,3,1,3,1,4,2,2,3,0,1,2,1,1,1,0,3,0,3,3,2,2,1,0,2,5,4,3,0,0,2,4,2,0,1,0,2,0,3,2,3,1,2,1,2,1,1,0,1,3,5,0,3,0,2,0
6,23,26,2,1,41,19,12,0,29,0,0,3,9,5,5,1,16,0,2,1,3,0,1,0,0,7,6,4,3,0,8,149,6,0,2,2,18,10,19,33,1,2,0,2,7,16,2,71,4,1,7,0,9,8,1,0,1,16,64,1,1,2,16,6,36,3,11,1,62,28,12,43,1,0,3,2,4,18,26,0
1,1,6,2,3,9,10,0,5,5,0,4,0,0,0,1,0,2,0,5,0,0,0,0,0,5,3,6,1,0,1,2,272,2,7,0,2,2,0,11,6,0,0,0,1,0,1,0,3,0,0,3,0,1,0,4,4,0,2,14,1,0,1,2,0,54,3,4,3,9,13,2,140,2,0,6,5,4,5,10,0
3,2,4,8,1,2,0,2,2,1,1,0,2,6,1,3,0,3,1,0,3,1,2,0,0,1,1,1,1,6,7,1,0,3,4,4,1,2,4,1,1,0,1,4,0,2,1,2,0,0,1,9,0,3,3,1,1,1,1,1,2,0,4,0,3,1,0,0,2,1,3,9,6,2,0,1,3,2,3,1,0
47,22,38,35,20,35,34,5,18,18,58,27,16,29,28,28,47,33,113,33,18,42,16,11,31,20,22,50,50,38,31,12,19,12,6,45,27,18,48,13,3,60,29,61,16,19,20,53,5,41,95,36,74,22,26,19,12,25,20,8,20,17,27,10,20,24,23,18,23,11,33,55,35,13,26,40,42,31,28,8,0
13,20,63,39,17,77,50,19,16,21,27,25,38,32,37,30,51,27,59,31,47,39,59,17,76,10,65,16,56,32,31,8,129,17,19,39,20,20,37,16,6,72,38,57,27,28,14,59,10,67,59,38,67,44,26,21,24,34,10,60,11,20,25,86,15,36,23,12,30,53,35,34,216,39,48,28,56,46,54,13,0
2,2,1,3,3,2,1,1,2,4,3,0,8,0,4,7,2,2,0,6,0,5,1,1,5,2,7,0,6,6,2,6,1,0,0,2,0,4,4,1,3,0,3,1,3,2,1,6,6,5,0,5,0,9,1,3,5,5,4,2,0,2,1,3,0,1,1,1,1,3,2,7,0,3,4,7,0,1,1,2,0
4,4,5,3,4,11,4,9,2,10,0,3,8,3,2,4,1,5,0,13,0,7,4,0,4,1,3,10,4,19,6,3,5,3,3,0,6,15,3,21,15,0,6,0,4,0,6,0,28,3,0,9,0,3,2,7,15,0,2,18,1,4,5,12,1,5,3,2,5,11,94,13,3,12,1,17,0,0,4,14,0
1,5,0,1,0,4,0,3,1,7,0,0,4,3,2,0,0,0,0,2,0,2,0,0,0,0,2,9,1,1,0,1,3,0,0,0,1,2,0,5,6,0,0,0,3,0,2,0,7,2,0,2,0,0,0,1,1,0,3,6,0,7,1,3,1,3,0,2,1,8,0,3,0,0,0,0,0,0,0,7,0
9,5,4,10,4,2,3,1,2,2,10,3,3,2,7,6,6,1,9,3,6,0,4,2,2,1,8,10,5,6,0,7,0,0,2,8,2,5,4,0,7,8,6,8,1,2,0,3,2,6,9,3,6,4,2,3,2,7,2,3,4,1,5,13,0,4,3,4,5,3,1,1,2,4,4,5,10,9,3,1,0
1,0,1,3,0,0,2,0,0,0,1,0,2,3,1,2,8,1,2,1,2,1,2,0,4,1,2,0,1,1,1,1,0,2,0,4,0,2,3,1,0,4,1,0,2,1,2,0,0,0,4,1,1,1,1,1,1,0,1,0,1,0,0,2,1,0,0,0,0,0,3,1,2,0,1,2,11,5,2,0,0
2,3,5,5,0,1,3,2,5,2,3,0,4,2,3,2,5,1,2,3,3,5,8,0,6,1,6,1,4,7,3,3,3,3,4,4,1,0,3,0,0,1,5,4,5,0,1,4,4,3,1,3,0,6,1,0,1,1,4,4,1,1,2,6,1,2,1,1,5,5,0,7,2,2,12,4,2,4,3,1,0
4,5,8,10,10,19,14,6,14,14,0,7,3,3,1,13,1,16,1,2,1,3,1,1,3,20,11,23,6,0,4,6,113,1,12,1,6,62,2,16,30,0,16,5,3,1,30,1,260,11,0,4,0,14,0,10,10,3,5,33,7,6,1,5,3,48,9,12,15,33,10,13,58,12,1,4,1,0,8,14,0
9,11,2,12,3,12,4,18,6,15,13,7,12,8,19,7,7,7,4,4,4,10,1,5,7,3,16,6,11,9,5,16,2,18,2,3,8,14,17,10,11,11,5,8,12,6,6,9,14,6,13,8,9,19,8,8,12,5,15,14,5,10,8,16,9,2,10,12,9,22,4,7,2,9,7,4,7,11,13,12,0
4,4,19,9,2,12,10,0,1,11,7,2,5,8,8,10,19,14,13,18,3,9,6,6,23,1,16,6,10,34,18,2,9,4,0,3,10,6,6,3,8,17,14,13,9,8,10,5,1,12,12,7,10,4,1,3,8,8,8,13,9,11,8,6,6,15,4,6,5,9,6,7,14,12,13,22,29,15,10,5,0
9,7,8,4,2,6,5,3,5,2,1,2,7,4,6,12,16,6,1,9,8,5,5,3,6,1,9,3,6,0,5,11,4,3,1,6,2,8,2,3,4,4,10,9,6,3,9,7,11,7,1,23,3,1,3,1,10,5,11,5,4,5,4,10,2,5,3,4,3,1,0,11,2,9,3,10,11,27,4,1,0
1,3,0,0,0,4,0,2,0,4,1,0,4,0,1,2,0,0,0,2,0,4,1,0,0,0,1,1,2,0,1,1,2,0,0,0,1,2,1,2,1,0,2,0,2,1,3,0,1,1,0,2,0,0,0,0,1,0,2,2,0,0,3,3,1,1,0,0,0,1,1,2,1,0,2,0,0,0,0,1,0
4,6,6,8,2,8,18,4,0,8,4,1,21,5,4,7,3,4,4,12,3,16,11,0,10,0,11,6,17,17,2,9,8,12,0,5,11,18,21,4,2,3,9,0,2,3,1,6,13,19,2,15,12,15,5,3,14,6,14,19,1,6,5,15,8,4,1,5,3,20,3,18,7,5,6,10,4,3,15,4,0
0,0,0,0,1,3,1,0,1,1,7,2,3,3,4,3,2,0,0,0,4,1,0,1,4,0,4,0,4,3,0,0,1,1,0,4,4,1,2,1,0,2,4,0,1,2,0,4,1,0,3,2,0,5,4,1,0,6,0,0,0,0,7,1,3,0,0,2,1,0,0,1,4,0,1,0,4,2,1,0,0
5,7,4,2,0,6,3,5,0,12,2,0,10,3,6,4,0,1,0,7,0,5,6,2,4,0,2,3,9,0,0,2,5,2,0,0,2,12,9,11,1,0,5,0,2,1,3,3,12,5,2,11,0,6,2,0,10,2,2,8,0,8,5,8,2,8,1,0,0,15,8,10,4,4,2,7,1,0,3,10,0
1,2,1,1,0,4,0,2,3,1,0,0,0,1,6,2,0,2,0,2,0,1,0,0,0,0,1,7,3,0,1,1,20,0,0,0,4,1,1,8,2,0,2,0,5,0,3,1,1,3,0,2,0,1,0,0,1,2,2,8,0,3,0,1,0,16,0,3,0,3,4,3,5,0,0,0,5,0,2,6,0
2,15,37,3,7,41,25,24,3,18,0,2,6,1,5,7,13,30,0,14,0,11,0,0,2,6,16,19,11,10,2,12,562,12,2,1,109,43,0,62,50,12,17,3,0,5,11,1,160,7,0,5,0,28,2,1,2,1,14,34,2,3,2,16,0,172,8,9,2,95,165,22,319,1,3,11,1,2,31,40,0
1,5,13,5,4,6,10,4,2,9,10,6,3,2,7,2,13,19,6,4,7,12,5,3,5,6,13,21,7,9,8,1,57,1,3,6,24,6,5,16,3,7,6,12,7,4,4,6,8,8,12,4,5,5,4,7,2,5,3,4,1,14,8,3,5,27,5,4,5,6,112,7,21,2,2,7,14,9,4,9,0
3,8,5,8,2,12,10,5,1,9,1,0,8,3,1,10,1,6,1,4,0,3,1,0,3,0,9,0,5,1,1,5,0,3,4,0,2,13,3,11,32,0,2,0,5,0,14,0,36,7,0,9,1,13,1,0,4,1,4,24,0,7,4,32,0,3,6,9,0,16,3,13,3,2,0,3,0,1,15,13,0
1,1,6,6,1,14,1,5,3,13,1,1,2,2,6,0,0,1,0,3,1,0,2,1,0,2,3,2,0,1,0,0,2,1,1,1,3,6,2,7,51,0,1,0,0,2,1,1,32,0,0,5,0,2,1,4,8,0,0,69,1,0,6,1,1,0,2,1,3,14,0,4,0,6,0,3,6,0,3,1,0
4,0,1,1,1,2,2,0,0,0,0,0,0,1,2,1,0,1,1,4,0,0,0,2,1,0,1,2,0,1,1,0,12,0,1,1,0,0,8,3,0,0,0,0,0,0,1,2,9,1,1,2,1,0,0,1,1,2,1,1,3,0,3,0,0,2,1,2,1,4,0,1,2,0,1,7,7,1,1,1,0
7,4,4,1,2,3,2,1,3,3,3,1,8,1,8,5,3,2,2,6,15,1,2,3,5,1,5,3,1,10,4,5,0,7,3,9,0,5,10,1,1,0,4,0,5,11,0,8,7,8,0,4,0,1,9,1,3,6,10,1,1,5,6,6,4,7,4,1,2,2,9,4,5,10,2,13,9,1,3,5,0
