0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,target
10,1,3,9,4,5,1,2,4,0,4,2,4,0,0,1,10,1,2,0,12,4,1,3,3,0,2,6,0,3,10,7,0,1,4,1,3,5,0,1,1,4,2,4,13,2,1,2,0,8,1,7,3,1,17,1,5,3,2,5,1,1,1,4,1,2,1,5,3,0,2,2,1,1,9,0,7,1,1,0,0,1,0,5,2,6,4,1,3,5,0
0,3,0,0,0,6,0,1,1,1,1,0,1,0,0,0,1,1,0,0,2,1,2,3,0,3,1,0,4,0,3,0,0,2,1,0,0,1,1,2,0,0,1,0,1,1,1,1,3,1,0,0,2,2,0,1,1,1,3,1,2,1,0,2,2,0,0,0,0,1,7,1,1,0,1,0,2,1,0,1,4,0,2,0,1,1,6,0,0,0,0
38,38,39,73,25,27,66,53,59,82,63,43,43,64,53,59,64,61,53,29,90,51,55,48,58,37,55,78,37,53,37,54,44,49,39,69,31,45,40,58,97,38,61,32,78,51,48,41,62,47,62,41,40,52,84,84,38,26,60,45,62,54,56,53,54,41,26,54,34,59,57,49,65,49,63,59,47,35,61,41,55,49,58,70,31,46,51,49,54,70,0
2,2,0,1,0,5,6,2,1,1,0,0,4,2,2,3,3,0,2,0,1,1,6,3,0,1,2,4,0,0,7,5,2,4,2,4,0,2,5,1,1,1,1,0,2,1,1,1,3,1,3,1,4,1,0,0,2,0,1,4,2,9,2,4,2,2,2,0,3,6,1,2,1,3,1,0,2,4,1,3,3,2,0,0,0,2,1,2,0,2,0
2,4,0,2,3,0,11,0,0,11,0,0,11,8,6,2,2,0,0,0,0,7,7,0,8,6,0,3,20,0,5,0,0,2,0,3,6,5,5,21,17,3,6,3,2,0,3,4,4,0,7,6,2,2,0,0,4,3,0,4,9,3,5,1,7,3,7,18,3,3,0,4,5,13,1,12,3,1,1,5,0,0,0,1,1,1,0,1,0,7,0
3,1,2,0,1,2,22,3,4,14,0,5,1,9,3,1,0,7,1,0,1,8,7,2,3,11,1,3,5,10,4,2,9,4,7,7,16,2,6,3,45,2,1,4,0,3,2,5,9,3,6,4,0,1,3,1,9,6,0,3,1,6,3,1,8,7,5,6,6,0,2,3,4,9,2,3,4,1,2,3,0,4,10,4,3,2,4,5,1,3,0
0,0,2,1,0,1,9,0,0,3,6,3,2,6,1,1,0,1,1,0,0,2,0,0,19,3,2,3,0,0,0,1,0,5,0,4,2,1,3,1,14,0,4,1,1,0,0,0,5,2,0,1,0,3,1,9,11,0,3,5,0,2,1,0,4,6,0,4,5,0,0,0,1,7,0,2,0,0,0,1,0,0,1,1,0,4,0,0,0,6,0
1,6,0,4,1,0,3,10,3,5,4,4,1,6,12,4,8,3,3,2,1,4,7,7,0,12,6,5,15,3,2,3,2,3,10,1,4,2,9,11,2,1,12,0,5,1,3,3,10,0,4,0,6,12,2,2,5,0,9,4,5,7,6,2,13,3,5,1,3,11,8,6,12,2,6,12,1,5,4,7,9,5,9,6,0,4,7,8,1,3,0
4,2,8,11,2,5,2,19,3,1,2,12,1,3,0,2,5,11,4,7,5,14,4,12,0,5,11,1,4,19,6,7,16,2,10,51,23,6,3,1,0,1,3,3,4,1,10,4,5,7,9,6,2,1,2,2,6,3,4,6,4,5,1,3,1,0,2,6,0,5,4,4,2,2,10,1,2,13,2,13,7,5,13,4,7,5,15,7,1,3,0
0,30,0,0,0,0,2,0,2,0,0,11,4,1,1,0,5,25,0,0,0,4,5,7,0,10,4,0,0,20,37,0,7,0,25,3,18,55,5,1,0,0,0,0,5,0,0,61,8,0,4,0,29,6,0,0,15,33,7,18,4,11,1,9,9,15,0,0,14,5,21,1,0,6,3,0,0,5,0,4,9,5,5,0,0,2,7,0,1,4,0
0,1,0,2,0,0,1,0,3,3,0,0,1,0,3,0,2,1,1,0,1,1,1,0,0,2,0,1,0,0,0,1,1,2,0,1,0,1,2,1,4,0,1,0,2,1,2,1,0,0,1,0,3,1,0,0,0,0,0,1,0,1,3,1,1,2,2,0,2,1,3,4,0,1,1,2,3,3,1,1,0,5,1,2,0,1,3,0,3,0,0
4,0,0,0,0,0,0,3,3,0,2,1,0,4,0,1,0,3,0,0,6,2,1,1,30,0,3,2,0,4,0,0,0,4,0,3,4,3,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,1,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,0,0
8,9,6,6,5,22,8,1,7,4,2,7,4,7,2,9,3,16,5,4,4,13,7,12,3,8,4,2,15,15,8,11,33,6,11,26,6,14,7,2,8,10,0,6,6,3,2,12,4,7,9,5,8,5,1,6,5,21,4,7,4,3,3,11,4,13,0,8,15,4,3,10,1,4,12,5,13,7,5,5,7,5,4,4,12,7,6,2,6,2,0
0,4,0,0,0,1,2,0,2,1,0,13,0,4,1,0,0,3,0,0,0,3,2,1,0,6,1,0,3,7,3,1,12,0,7,0,0,4,3,1,1,0,0,0,1,0,0,3,10,0,0,0,4,4,0,0,24,0,6,8,2,4,1,4,7,4,1,0,4,0,4,2,4,17,3,2,0,5,0,2,4,13,1,0,0,0,0,2,1,1,0
3,1,2,1,3,5,0,5,0,0,1,1,0,2,4,1,0,4,1,2,0,0,1,3,0,8,0,1,8,2,4,1,14,0,1,0,5,2,4,2,2,2,0,9,1,0,3,3,4,5,1,2,1,3,0,1,2,7,0,3,0,3,2,5,7,0,2,0,0,1,1,10,3,1,1,1,5,4,2,7,1,1,3,1,4,0,4,1,0,2,0
3,2,4,3,0,7,5,2,3,3,5,1,0,6,2,1,0,1,1,1,1,9,1,3,1,3,2,0,0,1,3,2,0,2,3,1,0,0,3,0,4,1,1,0,1,2,1,1,0,0,2,1,2,1,2,2,1,2,1,4,3,1,3,1,1,5,3,6,7,3,2,5,2,5,3,2,1,4,4,0,1,1,0,1,0,7,0,3,3,4,0
1,6,1,3,2,3,2,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,2,0,1,0,3,0,3,1,2,4,0,0,2,0,0,2,1,0,0,0,0,0,0,2,1,3,0,9,2,0,0,0,3,1,4,3,1,2,3,2,0,0,0,1,1,3,1,1,0,1,1,0,3,1,1,0,1,1,0,2,6,6,2,2,0,0
2,1,3,8,2,1,4,3,7,24,3,2,3,9,20,25,7,4,17,3,4,5,14,2,2,3,2,5,21,4,1,1,2,8,1,5,0,1,20,27,6,1,6,1,5,15,6,3,7,0,10,2,4,2,2,28,2,2,5,4,6,2,18,2,5,0,18,4,1,12,3,1,14,5,10,27,3,5,3,7,6,3,2,27,1,2,2,1,12,4,0
0,4,1,0,1,5,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,2,0,3,0,0,0,0,0,1,9,0,6,0,2,6,2,11,0,0,0,5,0,0,1,0,0,17,0,2,0,1,6,0,0,0,1,17,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,2,2,0,1,0,0,0,0,0,0,7,1,1,2,0
6,13,12,2,1,28,7,1,30,0,12,27,5,5,0,2,5,19,1,3,1,14,1,27,6,2,10,1,2,14,98,17,26,1,30,19,71,73,3,1,15,4,4,5,9,3,4,68,0,9,2,0,19,4,1,3,71,32,4,27,6,17,4,11,14,32,2,3,26,6,9,6,1,28,15,2,4,11,10,2,3,4,2,8,1,32,22,4,11,50,0
0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,10,1,0,3,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,8,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0
0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,2,0,1,1,0,0,7,5,0,1,0,7,2,5,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,8,1,2,0,4,0,2,2,1,0,0,0,0,2,0,0,0,3,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0
2,2,0,0,0,3,4,2,3,2,1,2,3,4,2,3,0,3,1,0,2,1,4,1,1,1,4,2,1,1,0,0,1,2,3,0,3,1,2,0,0,1,2,0,0,0,0,6,4,0,0,2,0,0,3,1,2,1,4,0,3,0,1,5,1,2,0,2,1,1,4,1,4,0,1,1,0,2,1,3,1,1,3,3,0,3,0,1,0,3,0
1,8,8,1,3,1,4,1,1,1,2,3,2,0,0,2,2,2,5,0,1,0,14,4,1,0,1,2,2,5,11,2,0,2,6,3,4,9,0,5,16,0,3,3,0,3,6,12,2,3,16,0,7,3,0,12,0,14,1,3,1,0,1,1,1,12,0,6,9,0,3,0,2,1,1,0,4,1,2,12,2,6,2,2,4,4,2,3,3,0,0
1,0,0,0,0,0,1,0,4,6,0,0,1,3,7,5,1,1,4,5,1,3,2,1,4,3,1,4,7,0,3,0,2,3,1,5,1,2,10,8,4,0,1,0,0,3,2,1,3,0,2,0,1,2,1,2,0,0,0,1,6,1,16,0,7,0,11,2,1,6,0,3,5,1,0,5,0,6,3,3,1,2,6,1,0,0,3,1,3,0,0
0,6,0,1,0,0,1,0,1,1,2,3,7,3,4,0,4,3,1,1,0,2,0,0,0,4,1,0,3,2,0,0,6,1,0,2,0,0,3,0,2,2,2,0,1,1,4,0,3,0,3,1,3,5,0,2,1,0,1,0,2,2,3,2,7,1,2,0,0,2,3,0,4,1,1,4,4,1,1,4,3,3,2,1,0,1,0,1,5,0,0
3,1,4,5,1,3,10,1,5,1,2,8,5,2,10,7,1,0,6,2,3,0,12,5,190,8,5,14,10,3,6,3,11,4,4,5,0,2,6,6,6,3,8,3,3,3,5,2,3,8,18,9,9,5,10,11,1,2,3,0,12,3,7,3,7,6,3,7,5,9,2,5,5,0,5,10,5,5,2,7,2,5,1,9,3,6,2,1,3,1,0
1,0,1,0,1,0,0,0,1,1,2,2,1,0,0,0,0,6,0,2,0,0,1,0,0,3,0,0,3,3,3,1,2,0,6,0,1,2,0,4,0,1,0,1,0,0,1,1,0,1,0,2,1,0,0,2,0,3,0,9,3,0,0,1,0,18,0,0,20,2,1,0,0,2,2,0,1,0,4,1,2,0,0,3,1,3,0,0,0,0,0
5,0,2,1,2,5,34,7,8,1,8,2,1,0,1,4,0,11,0,7,2,1,5,1,0,120,4,1,9,7,7,4,96,0,7,4,1,2,1,4,7,3,3,3,2,2,5,4,0,2,3,3,2,11,1,14,0,3,0,11,4,0,3,4,19,23,0,1,23,1,2,2,1,1,3,2,4,2,7,6,2,2,2,5,2,5,3,26,2,0,0
1,1,0,2,0,0,1,1,1,5,3,3,1,12,0,1,0,4,0,2,3,0,0,0,2,2,1,0,0,4,3,0,3,0,0,1,0,1,1,0,1,1,3,0,0,0,0,1,1,0,2,0,0,0,1,3,2,0,1,3,1,1,2,0,1,0,6,1,0,1,2,4,0,2,2,0,0,2,0,3,4,0,2,0,0,0,0,0,3,15,0
4,1,0,1,2,0,6,2,0,8,1,2,1,0,3,1,0,1,0,0,2,1,3,0,3,7,0,0,5,0,1,0,3,0,0,0,0,0,10,4,2,0,1,1,3,0,2,0,0,1,1,1,1,4,4,1,2,0,2,1,1,6,3,1,4,0,4,3,0,3,0,3,1,1,1,3,5,2,2,2,0,1,1,1,1,1,2,2,3,1,0
0,0,0,0,0,0,1,1,1,0,0,0,4,0,1,1,0,7,1,2,0,0,15,0,0,7,1,1,3,3,0,1,3,0,0,2,0,0,3,4,0,0,0,0,0,1,1,0,0,0,12,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,11,0,0,0,1,0,0,1,3,0,0,0
0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,3,2,2,2,0,2,1,1,0,13,0,0,1,0,2,0,9,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,1,1,0,0,1,2,0,0,1,0,0,0,1,0,0,1,0,1,2,0,1,0,0,1,2,0,0,0,0,0,0,1,0,2,0,2,5,0,0,0,0
1,5,2,1,1,2,4,1,3,1,3,0,0,1,4,0,0,0,1,0,0,1,1,1,6,1,1,3,5,1,1,2,2,2,1,0,2,3,4,0,0,0,1,0,0,0,0,2,2,0,1,0,0,1,1,0,6,4,1,3,0,5,0,1,5,3,5,1,2,1,4,1,1,15,1,1,0,2,0,1,2,2,1,2,1,2,2,0,0,4,0
18,11,21,21,8,6,9,14,26,41,19,7,15,21,13,20,17,6,20,9,22,15,22,16,3,35,18,30,44,18,14,14,12,16,9,11,10,5,11,56,8,13,30,12,18,24,10,7,16,16,19,7,8,15,18,25,6,1,17,16,18,23,30,16,28,13,21,20,12,10,18,22,21,10,18,35,11,22,17,22,21,19,29,24,12,16,16,14,12,12,0
7,17,13,12,4,10,73,33,27,38,39,36,18,33,42,19,24,22,22,20,14,53,22,16,12,35,27,40,63,30,9,11,32,31,32,55,46,26,46,38,74,5,35,0,36,15,25,19,41,8,23,15,12,32,19,36,29,13,39,16,13,56,48,15,56,6,28,29,7,12,20,27,45,39,17,51,23,21,22,23,38,38,42,23,9,13,16,21,20,43,0
0,4,3,2,1,16,6,1,2,6,3,2,2,2,0,0,2,2,1,2,1,1,2,3,0,0,2,1,0,1,1,4,11,0,4,11,3,6,2,0,2,0,2,2,3,0,2,6,1,2,2,0,1,1,1,1,2,3,3,0,2,4,2,6,1,2,1,3,2,9,0,11,0,3,4,1,2,7,2,0,1,1,0,3,3,5,2,5,2,13,0
0,3,4,0,0,1,1,0,2,0,3,1,2,0,0,1,1,0,1,0,0,1,0,2,0,0,0,0,0,1,3,1,1,0,1,0,1,0,0,0,0,0,1,2,1,1,1,1,0,2,0,1,3,1,1,0,2,0,0,4,0,0,0,0,1,2,0,0,2,0,1,0,1,0,1,0,1,1,2,0,1,0,2,0,1,1,2,2,1,1,0
0,1,4,0,3,0,5,3,4,1,1,5,4,5,1,4,2,2,2,5,1,6,0,3,0,1,4,3,1,2,1,0,2,0,1,3,1,2,1,1,9,3,0,0,4,2,1,3,2,0,1,2,3,1,0,0,4,0,3,0,4,0,1,3,2,1,0,2,0,2,3,3,3,1,2,1,3,1,3,4,2,2,3,3,3,1,2,4,2,1,0
4,2,2,10,3,5,1,7,3,1,1,1,2,4,0,7,5,1,5,1,9,0,7,5,1,0,28,9,3,3,1,2,1,2,3,2,4,2,1,2,3,1,8,1,6,7,5,2,1,4,11,1,4,3,0,14,0,0,5,1,5,2,3,0,3,3,0,4,2,8,3,2,1,0,5,1,3,2,1,6,2,6,3,4,1,2,4,4,4,2,0
0,1,0,0,0,0,0,1,1,0,1,4,0,6,3,0,0,4,1,0,0,10,0,1,0,2,0,0,0,3,8,0,28,0,3,0,2,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,10,1,0,3,0,1,1,7,2,1,6,0,1,2,0,7,1,6,4,0,0,7,0,6,1,0,1,0,0,0,0,2,0,3,0
3,7,5,4,2,3,5,3,3,3,2,1,3,5,4,2,6,4,4,3,2,3,1,2,3,1,7,3,2,3,3,14,4,1,8,1,2,7,12,2,11,2,3,1,4,3,3,5,2,5,3,1,5,4,4,0,5,2,6,4,6,8,5,6,5,4,1,2,2,1,4,4,5,2,4,3,7,3,2,1,4,7,3,4,0,6,2,3,4,2,0
1,2,1,1,0,0,2,3,9,0,5,0,2,2,0,1,1,3,2,1,1,2,10,1,0,0,4,1,1,5,2,2,1,2,9,10,13,7,1,2,5,1,1,0,3,0,2,8,4,0,6,0,2,1,2,2,3,2,3,2,2,0,1,5,2,1,1,0,2,2,2,1,2,2,6,1,1,2,2,1,2,0,2,3,1,1,6,0,0,3,0
0,8,1,1,0,3,1,0,3,0,1,2,0,3,0,0,0,6,1,0,1,2,0,2,0,0,1,1,0,6,2,0,8,0,6,2,0,5,0,0,0,0,0,1,1,1,0,10,3,0,0,0,7,2,0,0,0,4,2,2,1,0,0,5,1,4,0,1,3,2,7,3,1,0,3,0,0,4,1,2,1,3,3,2,0,3,3,0,1,0,0
0,4,0,1,0,1,0,1,0,1,3,6,0,4,2,1,0,4,2,0,0,3,0,1,0,15,0,0,0,7,9,0,35,0,6,0,2,7,0,0,0,0,0,0,0,2,0,5,1,0,0,0,3,0,0,0,6,15,2,14,0,3,0,1,8,2,0,0,3,0,7,2,0,9,0,0,0,2,2,3,0,3,1,0,0,1,5,0,0,3,0
0,0,0,0,0,0,0,0,0,1,6,3,0,1,2,0,1,4,0,0,0,1,1,0,0,0,1,1,0,3,1,0,3,0,2,0,6,3,2,0,0,0,0,2,0,0,1,3,1,0,0,0,1,1,0,1,4,0,1,1,0,1,0,0,1,0,0,0,0,1,8,0,3,4,0,0,0,1,0,4,2,4,2,0,0,0,1,0,0,4,0
0,2,1,2,1,1,0,2,0,2,1,2,2,2,6,1,1,1,0,1,4,0,0,2,3,2,1,3,0,0,0,1,0,4,1,2,0,1,4,7,3,1,2,0,4,2,2,1,3,1,2,0,2,1,5,2,2,0,0,3,2,1,1,3,1,0,0,3,2,2,2,0,2,0,0,2,1,3,2,2,5,0,2,1,1,0,0,1,1,2,0
0,26,0,3,0,10,2,3,8,1,3,41,3,19,1,3,4,21,8,0,1,41,0,7,0,22,0,0,0,19,55,5,73,0,8,3,25,19,1,0,3,0,0,0,2,3,1,22,3,0,2,1,15,4,0,1,152,39,4,19,5,17,0,26,19,15,2,0,11,3,3,14,1,37,12,1,3,13,3,1,0,8,2,3,1,8,10,3,0,33,0
4,1,6,1,4,1,3,3,0,0,2,6,2,4,3,0,0,1,0,0,0,16,1,3,0,4,1,0,0,3,0,1,14,0,0,7,13,12,7,1,3,3,0,7,0,0,0,12,0,2,0,1,3,0,0,1,261,5,0,3,0,6,1,2,9,2,0,0,3,1,0,7,0,138,1,1,2,5,0,3,1,1,0,0,2,2,2,1,1,55,0
1,2,1,5,1,1,0,0,5,0,1,1,2,5,0,4,1,2,3,0,0,2,2,0,0,0,1,1,4,0,0,2,1,7,1,1,1,1,0,1,3,3,1,4,2,5,0,1,1,4,1,1,1,0,1,3,0,1,3,0,3,0,1,6,1,1,6,5,0,3,2,2,3,6,4,1,0,0,5,4,0,3,0,1,0,2,3,1,1,1,0
9,16,22,63,21,13,33,21,40,39,28,11,11,34,19,48,35,15,20,3,95,45,11,25,88,10,28,51,7,17,3,46,4,27,14,43,26,19,21,20,33,12,39,6,63,21,24,10,9,22,22,18,18,34,86,33,17,2,26,10,32,21,35,23,19,13,31,53,9,19,28,31,13,33,42,39,23,29,18,10,29,23,19,43,16,21,21,23,16,23,0
12,14,23,33,7,9,44,25,34,40,24,40,14,53,21,43,46,15,24,14,66,56,15,16,83,74,40,31,31,18,10,16,121,30,24,16,33,10,23,52,46,13,36,16,60,26,23,10,43,29,19,11,22,51,59,65,120,5,23,14,27,77,73,25,67,5,26,54,5,20,27,11,46,203,32,54,15,16,17,14,33,42,25,59,10,9,13,35,21,34,0
2,0,0,2,1,1,0,2,4,2,1,2,4,1,4,2,6,1,1,2,0,4,2,3,0,5,1,2,3,5,3,2,1,2,4,0,2,1,4,1,1,1,3,0,5,2,0,1,5,2,2,1,2,4,0,0,1,0,8,0,5,2,7,3,3,2,4,1,3,4,5,5,3,0,2,3,0,3,1,4,5,9,2,5,1,2,1,3,0,1,0
2,4,2,1,1,8,0,12,1,1,7,7,4,5,8,0,4,9,0,0,0,8,3,8,0,9,2,1,10,8,12,4,14,7,12,8,91,18,12,0,0,5,0,2,4,0,2,17,6,3,1,2,3,2,0,0,3,15,7,8,7,5,3,8,7,2,15,1,2,8,5,18,4,2,6,0,2,11,2,12,1,7,3,0,3,0,9,5,2,4,0
1,4,0,1,0,4,0,0,0,0,1,7,2,0,0,0,2,11,0,0,0,4,0,0,0,4,1,0,0,6,5,1,9,0,1,8,0,3,1,0,0,1,0,0,0,0,0,7,1,1,2,0,2,1,0,0,2,5,1,4,0,3,0,2,1,3,0,0,1,1,2,2,0,0,2,0,0,1,1,1,0,0,1,0,0,1,0,2,0,2,0
1,4,4,11,1,0,6,2,4,5,2,2,7,3,2,6,6,0,2,1,9,3,0,3,3,10,5,11,2,1,0,8,4,2,5,10,1,1,3,1,8,1,10,1,3,1,3,2,4,9,3,3,4,5,8,9,0,9,2,0,2,6,3,3,8,2,3,8,6,3,1,5,4,2,1,4,3,2,0,1,1,3,2,4,1,9,0,3,2,2,0
1,0,0,3,0,1,11,1,2,7,0,1,1,0,1,4,3,0,1,2,2,0,0,0,1,0,0,2,0,0,0,1,0,1,2,0,5,1,3,2,6,0,0,0,2,0,0,1,2,0,1,0,1,1,2,5,0,0,0,0,0,1,3,0,2,0,0,1,1,1,2,1,2,0,1,4,0,1,1,1,0,2,0,0,0,1,1,0,2,0,0
4,2,1,1,1,1,0,1,3,5,1,1,1,7,3,4,5,2,2,4,0,2,1,0,1,5,1,4,2,0,1,2,4,1,1,2,0,1,4,7,4,1,1,3,6,1,1,0,4,4,2,1,2,4,2,2,3,0,4,1,3,4,4,3,4,3,3,5,1,2,1,8,7,2,5,10,0,3,1,2,0,6,2,4,0,3,1,1,5,1,0
14,6,8,2,17,24,2,7,2,1,9,6,7,6,3,1,7,8,0,0,0,27,0,13,0,7,1,0,8,8,227,2,35,3,28,22,11,13,7,0,0,9,2,9,4,0,1,13,4,13,1,9,7,4,0,0,105,50,0,28,3,19,5,24,12,5,0,7,6,0,11,26,1,54,13,3,7,17,1,6,7,19,2,1,7,8,14,11,0,49,0
5,12,8,10,2,8,6,9,18,3,9,13,10,3,2,4,4,18,8,2,9,5,6,8,8,9,12,10,6,12,17,7,20,5,7,4,3,9,3,3,11,6,12,3,7,5,5,7,11,9,14,5,13,9,5,8,1,13,14,25,8,7,2,7,9,14,5,6,12,4,8,10,9,2,7,8,7,13,8,8,11,15,7,6,2,9,11,3,5,2,0
1,1,3,10,2,8,26,5,5,12,8,12,5,21,8,5,6,6,0,3,7,21,4,5,15,6,5,6,8,11,0,4,9,18,3,11,3,7,24,6,18,0,10,0,16,7,6,4,5,6,8,8,6,11,12,6,6,7,4,0,6,9,20,5,15,3,28,15,3,8,10,5,6,13,8,25,3,10,6,6,13,3,9,3,2,7,8,9,5,11,0
2,3,2,1,2,4,7,13,3,13,3,4,0,6,7,4,3,2,2,2,1,7,8,3,3,10,6,2,8,1,7,7,3,7,7,3,1,1,5,3,26,1,3,1,5,2,7,1,7,3,3,4,8,6,1,14,3,4,7,5,11,4,7,7,8,8,0,9,13,16,4,5,11,2,8,3,2,4,2,6,3,1,3,5,5,7,7,3,3,4,0
0,2,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,3,0,1,0,1,1,0,0,0,3,1,0,3,2,0,2,1,2,1,0,1,0,0,0,0,0,0,1,1,1,1,3,0,0,0,3,3,0,0,1,1,2,0,1,1,0,2,1,0,0,0,1,3,3,0,1,0,1,3,1,1,0,1,2,1,2,0,0,2,2,0,0,1,0
